index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,cluster-8_location-0,54.02583525,6.567589624999999,2018-02-23 01:02:12+00:00,2018-03-14 12:00:59+00:00,466.9797222222222,1776.2218147078822
1,cluster-8_location-1,54.01845255319149,6.567753361702128,2018-03-04 11:08:50+00:00,2018-03-07 17:00:16+00:00,77.85722222222222,2450.7739423999
2,cluster-8_location-2,54.018730000000005,6.555397599999999,2018-03-08 05:06:17+00:00,2018-03-09 20:12:27+00:00,39.102777777777774,2138.724911005936
5,cluster-8_location-5,54.004032765957454,6.5676848297872334,2018-03-27 02:02:39+00:00,2018-04-07 23:00:43+00:00,284.96777777777777,3924.478755575751
6,cluster-8_location-6,54.035567,6.543268,2018-03-28 06:14:48+00:00,2018-03-29 13:23:56+00:00,31.15222222222222,451.2223027560509
7,cluster-8_location-7,54.02674910447761,6.530306522388059,2018-03-29 18:04:29+00:00,2018-04-01 22:15:41+00:00,76.18666666666667,1728.641592613675
9,cluster-8_location-9,54.0157,6.516046666666667,2018-04-09 12:19:21+00:00,2018-04-13 11:51:11+00:00,95.53055555555555,3261.606816878132
10,cluster-8_location-10,54.04214727272727,6.5544330909090895,2018-04-14 05:14:37+00:00,2018-04-15 05:06:05+00:00,23.857777777777777,607.4133298698786
11,cluster-8_location-11,54.0430037037037,6.5410507777777775,2018-04-15 12:39:59+00:00,2018-04-17 05:16:10+00:00,40.60305555555556,802.2242376515004
13,cluster-8_location-13,54.04327894736842,6.528104228070176,2018-04-21 22:02:04+00:00,2018-04-27 08:21:14+00:00,130.31944444444446,1516.099905701485
14,cluster-8_location-14,54.042398181818186,6.515956181818183,2018-04-27 10:01:44+00:00,2018-04-28 10:14:50+00:00,24.218333333333334,2236.597281561291
15,cluster-8_location-15,54.05155583333334,6.527460833333333,2018-04-28 14:04:45+00:00,2018-04-29 13:00:00+00:00,22.920833333333334,2102.664044936616
16,cluster-8_location-16,54.05829104166667,6.527889708333333,2018-04-29 15:17:06+00:00,2018-05-05 22:07:19+00:00,150.83694444444444,2687.765489991996
17,cluster-8_location-17,54.0452684375,6.57807384375,2018-05-06 01:21:28+00:00,2018-05-07 08:21:43+00:00,31.004166666666666,2066.542520522104
18,cluster-8_location-18,54.04323875,6.590850708333334,2018-05-07 10:05:31+00:00,2018-05-10 04:13:10+00:00,66.1275,2788.6235557165937
19,cluster-8_location-19,54.04351575757576,6.604779,2018-05-08 01:15:56+00:00,2018-05-09 15:10:09+00:00,37.90361111111111,3685.940386288107
