index,location_key,latitude,longitude,begin,end,duration,distance_centroid
3,cluster-6_location-3,54.038885,5.907752875,2015-08-23 08:23:36+00:00,2015-08-24 04:00:12+00:00,19.61,1953.7503278111508
5,cluster-6_location-5,54.049685,5.86903925,2015-08-28 16:01:44+00:00,2015-08-28 23:16:58+00:00,7.253888888888889,2050.7021532682106
6,cluster-6_location-6,54.01965,5.8900950000000005,2015-08-30 06:18:07+00:00,2015-08-30 16:15:25+00:00,9.955,1564.059863322595
7,cluster-6_location-7,54.05782,5.91098,2015-08-30 19:12:25+00:00,2015-08-31 16:01:04+00:00,20.810833333333335,3478.2555637884766
8,cluster-6_location-8,54.03928714285714,5.878759285714286,2015-09-08 15:15:14+00:00,2015-09-09 00:00:33+00:00,8.755277777777778,770.6778388996066
10,cluster-6_location-10,54.03667,5.92320125,2015-09-11 14:25:48+00:00,2015-09-11 18:34:55+00:00,4.151944444444444,2864.12583291824
16,cluster-6_location-16,54.04105333333333,5.848557333333333,2015-10-03 13:06:41+00:00,2015-10-03 20:12:54+00:00,7.103611111111111,2265.0995547161765
17,cluster-6_location-17,54.00502666666667,5.903951666666667,2015-10-05 15:08:50+00:00,2015-10-05 18:02:54+00:00,2.901111111111111,3423.04044950069
21,cluster-6_location-21,54.02498,5.900005666666668,2015-10-08 18:19:46+00:00,2015-10-09 01:29:02+00:00,7.154444444444445,1547.4731299423509
22,cluster-6_location-22,54.020206,5.8592038,2015-10-09 06:50:11+00:00,2015-10-09 14:17:28+00:00,7.454722222222222,1916.4389257161808
23,cluster-6_location-23,54.03197571428571,5.886617357142858,2015-12-16 17:01:37+00:00,2015-12-18 05:23:45+00:00,36.36888888888889,437.7228100855953
24,cluster-6_location-24,54.03658399999998,5.895913266666666,2016-06-01 16:04:44+00:00,2016-06-04 01:13:41+00:00,57.149166666666666,1141.80319078091
25,cluster-6_location-25,54.045185,5.886988,2016-06-11 16:08:32+00:00,2016-06-12 12:09:11+00:00,20.010833333333334,1494.883249568956
26,cluster-6_location-26,54.05032100000001,5.882994300000001,2016-06-12 15:24:14+00:00,2016-06-13 09:21:56+00:00,17.961666666666666,2003.5079740367607
27,cluster-6_location-27,54.05535666666666,5.879050666666667,2016-06-13 10:15:57+00:00,2016-06-14 00:13:22+00:00,13.956944444444444,2554.2594150700806
28,cluster-6_location-28,54.05566789473685,5.894621052631579,2016-06-14 06:13:32+00:00,2016-06-15 13:02:29+00:00,30.815833333333334,2759.6947999346094
29,cluster-6_location-29,54.04427727272727,5.902317181818182,2016-06-15 15:24:19+00:00,2016-06-16 09:03:52+00:00,17.659166666666668,1969.6100111474625
30,cluster-6_location-30,54.038426923076926,5.864018153846154,2016-06-21 23:13:30+00:00,2016-06-22 18:23:07+00:00,19.16027777777778,1238.1907877491822
31,cluster-6_location-31,54.04477666666666,5.861151083333333,2016-06-23 03:05:23+00:00,2016-06-23 22:33:02+00:00,19.460833333333333,1844.925478844258
32,cluster-6_location-32,54.035873,5.8827021,2016-06-24 01:48:04+00:00,2016-06-24 20:09:43+00:00,18.360833333333332,426.7129606923583
33,cluster-6_location-33,54.04477727272727,5.872710545454546,2016-06-24 23:03:48+00:00,2016-06-25 15:01:12+00:00,15.956666666666667,1456.1293678742584
34,cluster-6_location-34,54.05910166666666,5.859839083333333,2016-06-25 18:18:45+00:00,2016-06-26 16:22:28+00:00,22.061944444444446,3247.3502522815147
35,cluster-6_location-35,54.061508333333336,5.875325416666667,2016-06-26 18:07:28+00:00,2016-06-28 02:11:39+00:00,32.069722222222225,3251.677645866323
36,cluster-6_location-36,54.04821470588235,5.854225588235295,2016-07-01 15:18:27+00:00,2016-07-04 03:11:19+00:00,59.88111111111111,2432.590323515192
37,cluster-6_location-37,54.05352166666666,5.849185333333334,2016-07-04 07:44:33+00:00,2016-07-04 15:17:42+00:00,7.5525,3091.2334918754077
38,cluster-6_location-38,54.01486866666666,5.864345466666667,2016-07-07 06:12:18+00:00,2016-07-08 07:10:08+00:00,24.96388888888889,2199.075187229192
39,cluster-6_location-39,54.010206,5.870200066666666,2016-07-08 10:06:16+00:00,2016-07-09 18:13:17+00:00,32.11694444444444,2547.885597345766
40,cluster-6_location-40,54.020066666666665,5.872945,2016-07-18 11:01:00+00:00,2016-07-19 03:04:28+00:00,16.057777777777776,1444.9062635834382
41,cluster-6_location-41,54.014425,5.8926085,2016-07-21 11:09:18+00:00,2016-07-21 23:33:40+00:00,12.40611111111111,2162.1151877428847
42,cluster-6_location-42,54.03127444444445,5.895415888888888,2016-07-22 03:10:44+00:00,2016-07-23 01:17:29+00:00,22.1125,1017.5103270857486
43,cluster-6_location-43,54.028687777777776,5.911482111111111,2016-07-23 05:02:33+00:00,2016-07-23 22:16:18+00:00,17.229166666666668,2100.0119968614868
44,cluster-6_location-44,54.033051538461535,5.9084034615384615,2016-07-26 06:20:48+00:00,2016-07-27 07:19:24+00:00,24.976666666666667,1859.5075845321696
