index,location_key,latitude,longitude,begin,end,duration,distance_centroid
1,cluster-2_location-1,54.35541111111111,5.983667,2013-04-26 08:08:00+00:00,2013-04-27 21:19:00+00:00,37.18333333333333,21891.58790425421
2,cluster-2_location-2,54.36383,5.980161257142856,2013-05-02 04:16:00+00:00,2013-05-06 14:33:00+00:00,106.28333333333333,21611.76228073336
3,cluster-2_location-3,54.37217,5.976833,2013-05-06 20:16:00+00:00,2013-05-18 05:09:00+00:00,272.8833333333333,21365.344434728857
4,cluster-2_location-4,54.40201416666668,5.9745,2013-05-21 16:24:00+00:00,2013-05-26 16:07:00+00:00,119.71666666666667,20228.75075550737
5,cluster-2_location-5,54.40700894736842,5.985667000000001,2013-05-27 06:13:00+00:00,2013-05-28 18:06:00+00:00,35.88333333333333,19370.786825524305
6,cluster-2_location-6,54.362837555555565,5.961166999999999,2013-06-04 15:02:00+00:00,2013-06-11 21:18:00+00:00,174.26666666666668,22744.407257976247
7,cluster-2_location-7,54.371,5.957833,2013-06-08 03:33:00+00:00,2013-06-10 16:29:00+00:00,60.93333333333333,22526.29794975308
8,cluster-2_location-8,54.38750000000001,5.941099297297298,2013-06-16 17:33:00+00:00,2013-07-01 16:01:00+00:00,358.46666666666664,22803.92347941571
9,cluster-2_location-9,54.37933204819276,5.941,2013-06-20 04:16:00+00:00,2013-06-30 14:09:00+00:00,249.88333333333333,23142.500574777947
10,cluster-2_location-10,54.39230818181817,5.952159409090911,2013-07-05 04:00:00+00:00,2013-07-07 02:09:00+00:00,46.15,21947.72551177844
11,cluster-2_location-11,54.371684411764704,5.941004911764706,2013-07-07 05:03:00+00:00,2013-07-09 17:00:00+00:00,59.95,23481.169496304185
12,cluster-2_location-12,54.35591529411765,5.947348176470588,2013-07-12 12:23:00+00:00,2013-07-24 05:38:00+00:00,281.25,23897.973532711007
13,cluster-2_location-13,54.33717000000001,5.954231956521738,2013-07-14 23:15:00+00:00,2013-07-17 05:02:00+00:00,53.78333333333333,24591.751728492996
14,cluster-2_location-14,54.35111333333333,5.92475,2013-07-24 20:19:00+00:00,2013-07-25 05:06:00+00:00,8.783333333333333,25440.02942396394
15,cluster-2_location-15,54.3495,5.941,2013-07-25 07:28:00+00:00,2013-07-26 10:26:00+00:00,26.966666666666665,24604.98029984649
17,cluster-2_location-17,54.49166,6.399833,2014-01-21 18:00:00+00:00,2014-02-20 05:15:00+00:00,707.25,9056.107807917984
18,cluster-2_location-18,54.4855,6.396481675675675,2014-01-30 10:46:00+00:00,2014-02-10 21:04:00+00:00,274.3,8597.773447104495
22,cluster-2_location-22,54.49181111111111,6.371833,2014-03-02 06:20:00+00:00,2014-03-03 12:16:00+00:00,29.933333333333334,7447.129779755947
23,cluster-2_location-23,54.4612841935484,6.3870162580645164,2014-03-09 13:34:00+00:00,2014-03-12 12:07:00+00:00,70.55,7458.092984885501
27,cluster-2_location-27,54.4982894117647,6.326970411764706,2014-04-02 20:15:00+00:00,2014-05-01 06:03:00+00:00,681.8,5674.197041434529
40,cluster-2_location-40,54.42583333333334,6.3288,2019-04-06 06:02:47+00:00,2019-04-06 11:05:13+00:00,5.040555555555556,5188.171902977312
41,cluster-2_location-41,54.40750444444445,6.341986666666667,2019-04-07 03:17:12+00:00,2019-04-08 11:14:13+00:00,31.950277777777778,7277.6038417633
42,cluster-2_location-42,54.39928,6.3559872,2019-04-11 20:16:42+00:00,2019-04-13 10:14:37+00:00,37.96527777777778,8558.785325068482
43,cluster-2_location-43,54.43837952380952,6.347474952380954,2019-04-18 00:48:02+00:00,2019-04-19 23:05:52+00:00,46.297222222222224,5390.332735517161
44,cluster-2_location-44,54.4349291044776,6.3716318955223885,2019-04-20 03:06:40+00:00,2019-04-26 10:15:29+00:00,151.14694444444444,6976.526535374912
45,cluster-2_location-45,54.43513375,6.3248244375,2019-04-29 04:17:00+00:00,2019-04-30 11:09:34+00:00,30.87611111111111,4314.069368958565
46,cluster-2_location-46,54.418624375,6.342610499999999,2019-04-30 14:05:33+00:00,2019-05-01 19:00:50+00:00,28.921388888888888,6387.37161651822
47,cluster-2_location-47,54.4091587878788,6.356343136363637,2019-05-01 23:03:30+00:00,2019-05-08 14:07:42+00:00,159.07,7759.314617349647
48,cluster-2_location-48,54.44031941176471,6.333092235294118,2019-05-11 03:10:59+00:00,2019-05-12 08:12:33+00:00,29.02611111111111,4459.397737579363
49,cluster-2_location-49,54.43292176470588,6.339791,2019-05-12 10:14:29+00:00,2019-05-13 09:02:04+00:00,22.793055555555554,5247.766602429768
50,cluster-2_location-50,54.424937692307694,6.355754153846154,2019-05-13 16:19:03+00:00,2019-05-14 11:01:34+00:00,18.70861111111111,6599.854499064335
51,cluster-2_location-51,54.41872352941176,6.359668411764707,2019-05-14 12:01:33+00:00,2019-05-15 15:11:21+00:00,27.163333333333334,7213.293649913818
