index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,cluster-1_location-0,54.99381117647059,13.199466470588234,2015-01-17 17:00:00+00:00,2015-01-18 22:07:00+00:00,29.116666666666667,3583.5002797647912
1,cluster-1_location-1,54.97916299999999,13.128091,2015-01-19 01:13:00+00:00,2015-01-21 00:11:00+00:00,46.96666666666667,1969.557871094764
2,cluster-1_location-2,55.000778571428576,13.231532857142854,2015-01-23 14:07:39+00:00,2015-01-25 01:21:59+00:00,35.23888888888889,5688.716175074704
3,cluster-1_location-3,55.001968181818185,13.219447272727272,2015-01-25 11:18:18+00:00,2015-01-26 00:09:57+00:00,12.860833333333334,5143.185670779488
4,cluster-1_location-4,54.96623972222223,13.158421944444443,2015-01-31 14:05:50+00:00,2015-02-03 11:07:50+00:00,69.03333333333333,735.3820848657947
5,cluster-1_location-5,54.97715000000001,13.151396,2015-02-06 05:27:42+00:00,2015-02-06 17:19:42+00:00,11.866666666666667,597.8996789472968
6,cluster-1_location-6,54.96988957446808,13.168395,2015-02-06 22:06:42+00:00,2015-02-12 07:16:43+00:00,129.16694444444445,802.2226334195497
7,cluster-1_location-7,54.97110443037975,13.10891746835443,2015-02-19 17:19:35+00:00,2015-02-26 01:10:03+00:00,151.8411111111111,3067.511902021445
8,cluster-1_location-8,54.984266363636365,13.12792303030303,2015-02-26 03:07:44+00:00,2015-02-28 01:06:55+00:00,45.98638888888889,2245.879149934014
9,cluster-1_location-9,54.97789714285715,13.117319047619048,2015-03-04 19:42:19+00:00,2015-03-05 22:19:39+00:00,26.622222222222224,2588.276891195028
10,cluster-1_location-10,54.97241970149255,13.119900447761196,2015-03-06 07:26:40+00:00,2015-03-09 18:11:09+00:00,82.74138888888889,2361.107763526371
11,cluster-1_location-11,54.97407470588235,13.178933529411765,2015-03-09 22:04:32+00:00,2015-03-12 01:19:21+00:00,51.246944444444445,1414.049463989183
12,cluster-1_location-12,54.97266899159664,13.15799319327731,2015-03-28 01:23:18+00:00,2015-04-03 20:17:38+00:00,162.90555555555557,71.79830545325746
13,cluster-1_location-13,54.96684761904761,13.126001904761909,2015-04-03 22:19:10+00:00,2015-04-04 22:18:48+00:00,23.99388888888889,2079.408528955389
14,cluster-1_location-14,55.00671161290323,13.206392258064517,2015-04-05 03:12:30+00:00,2015-04-07 03:05:50+00:00,47.888888888888886,4919.02288822821
15,cluster-1_location-15,54.97178727272729,13.144072727272729,2015-04-07 10:00:14+00:00,2015-04-08 21:01:00+00:00,35.01277777777778,825.6435069519456
16,cluster-1_location-16,54.97797,13.155445909090908,2015-04-09 00:13:14+00:00,2015-04-10 02:09:18+00:00,25.934444444444445,582.8285261431572
17,cluster-1_location-17,55.00865375000001,13.2308825,2015-04-10 07:06:29+00:00,2015-04-11 00:19:18+00:00,17.21361111111111,6179.010937739376
18,cluster-1_location-18,54.962364736842105,13.162794736842107,2015-04-17 20:01:45+00:00,2015-04-18 21:26:15+00:00,25.408333333333335,1219.4435946913802
19,cluster-1_location-19,54.96538742857143,13.172482857142857,2015-04-19 01:04:25+00:00,2015-04-20 22:05:24+00:00,45.01638888888889,1291.8744841126056
20,cluster-1_location-20,54.977740909090905,13.18613363636364,2015-04-21 00:18:56+00:00,2015-04-21 17:18:45+00:00,16.996944444444445,1945.661474632197
21,cluster-1_location-21,54.95900451612904,13.149922903225807,2015-04-22 10:03:45+00:00,2015-04-24 17:02:35+00:00,54.980555555555554,1596.554262979255
22,cluster-1_location-22,54.990371875,13.212125625,2015-04-24 20:23:35+00:00,2015-04-25 17:53:05+00:00,21.491666666666667,4030.1756919471454
23,cluster-1_location-23,54.98785666666666,13.20702111111111,2015-04-26 01:02:36+00:00,2015-04-26 21:00:23+00:00,19.963055555555556,3610.824597223232
24,cluster-1_location-24,54.99827304347827,13.224562173913045,2015-04-29 20:05:24+00:00,2015-05-01 01:01:44+00:00,28.93888888888889,5164.146195838594
25,cluster-1_location-25,54.97341105263158,13.191236315789473,2015-05-01 04:34:25+00:00,2015-05-02 03:00:34+00:00,22.435833333333335,2193.1325339418254
26,cluster-1_location-26,54.975899047619045,13.198203809523807,2015-05-02 06:16:25+00:00,2015-05-03 04:06:45+00:00,21.83888888888889,2659.159497901984
27,cluster-1_location-27,54.9606215,13.126774,2015-05-03 10:07:24+00:00,2015-05-06 12:24:15+00:00,74.28083333333333,2351.068066961164
28,cluster-1_location-28,54.99360041666666,13.226809166666667,2015-05-08 18:05:50+00:00,2015-05-10 02:16:42+00:00,32.181111111111115,5025.455284649325
29,cluster-1_location-29,54.983185294117646,13.197742352941177,2015-05-10 08:08:51+00:00,2015-05-11 08:12:19+00:00,24.057777777777776,2851.538281194093
30,cluster-1_location-30,54.96267190476191,13.137192142857142,2015-05-11 12:17:49+00:00,2015-05-14 13:08:11+00:00,72.83944444444444,1687.5145558834474
31,cluster-1_location-31,54.9853488235294,13.219428676470589,2015-05-14 16:29:51+00:00,2015-05-18 13:02:10+00:00,92.53861111111111,4227.867681082016
32,cluster-1_location-32,54.97991870967742,13.207672903225806,2015-05-18 15:06:50+00:00,2015-05-20 06:13:20+00:00,39.108333333333334,3336.2244109913263
