MMSI;LAT;LON;SPEED;HEADING;COURSE;STATUS;TIMESTAMP
246777000;53.24634;0.4869967;1;7;213;5;2012-05-08 19:59:00
218389000;53.44903;6.829067;0;22;194;3;2012-05-08 20:07:00
245924000;51.47167;3.706167;1;151;47;3;2012-05-08 20:08:00
246777000;53.24635;0.4870183;1;7;345;5;2012-05-08 20:20:00
246777000;53.24635;0.4870067;1;7;233;5;2012-05-08 21:02:00
218389000;53.44903;6.829085;0;22;194;3;2012-05-08 21:12:00
245924000;51.47167;3.706167;1;151;288;3;2012-05-08 21:19:00
245924000;51.47167;3.706167;1;151;139;3;2012-05-08 22:06:00
246777000;53.24636;0.4870117;2;7;254;5;2012-05-08 22:07:00
218389000;53.44908;6.829393;0;22;194;3;2012-05-08 22:18:00
218389000;53.44918;6.829255;0;22;194;3;2012-05-08 23:03:00
245924000;51.47167;3.706167;0;151;129;3;2012-05-08 23:15:00
246777000;53.24635;0.4870067;1;7;126;5;2012-05-08 23:21:00
246777000;53.24635;0.4870017;1;7;325;5;2012-05-09 00:03:00
218389000;53.44907;6.828983;0;22;194;3;2012-05-09 00:09:00
245924000;51.47167;3.706167;1;151;268;3;2012-05-09 00:22:00
245924000;51.47167;3.706167;1;151;334;3;2012-05-09 01:07:00
246777000;53.24636;0.4870133;1;7;76;5;2012-05-09 01:08:00
218389000;53.44909;6.829073;0;22;194;3;2012-05-09 01:15:00
246777000;53.24635;0.4870117;0;7;0;5;2012-05-09 02:13:00
245924000;51.47167;3.706167;1;151;345;3;2012-05-09 02:14:00
218389000;53.44908;6.829248;0;22;194;3;2012-05-09 02:18:00
218389000;53.44898;6.829097;0;22;194;6;2012-05-09 03:02:00
246777000;53.24635;0.4870117;1;7;268;5;2012-05-09 03:16:00
245924000;51.47167;3.706167;1;151;87;3;2012-05-09 03:20:00
246777000;53.24635;0.487015;2;7;238;5;2012-05-09 04:03:00
218389000;53.44908;6.829107;0;22;194;6;2012-05-09 04:05:00
245924000;51.47167;3.706167;1;151;359;3;2012-05-09 04:05:00
218389000;53.44915;6.829174;0;22;194;6;2012-05-09 05:08:00
246777000;53.24636;0.4870017;3;7;212;5;2012-05-09 05:11:00
245924000;51.47167;3.706167;1;151;257;3;2012-05-09 05:11:00
246777000;53.24635;0.4870067;1;7;205;5;2012-05-09 06:05:00
218389000;53.44906;6.829097;0;22;194;6;2012-05-09 06:11:00
245924000;51.47167;3.706167;0;151;157;3;2012-05-09 06:17:00
245924000;51.47167;3.706167;1;151;311;3;2012-05-09 07:00:00
218389000;53.44898;6.82906;0;22;194;6;2012-05-09 07:14:00
246777000;53.24636;0.4870117;2;7;166;5;2012-05-09 07:16:00
246777000;53.24635;0.4869917;1;7;218;5;2012-05-09 08:00:00
245924000;51.47167;3.706167;0;151;8;3;2012-05-09 08:05:00
218389000;53.44909;6.829073;0;21;194;6;2012-05-09 08:17:00
245924000;51.47167;3.706167;1;151;8;3;2012-05-09 09:11:00
246777000;53.248;0.4875533;1;7;54;0;2012-05-09 09:15:00
218389000;53.44903;6.82911;0;21;194;6;2012-05-09 09:20:00
218389000;53.44899;6.829073;0;21;194;6;2012-05-09 10:02:00
246777000;53.20741;0.5361384;68;181;176;0;2012-05-09 10:03:00
245924000;51.47167;3.706167;1;151;129;3;2012-05-09 10:14:00
218389000;53.44904;6.829118;0;22;194;6;2012-05-09 11:05:00
245924000;51.47167;3.706167;1;151;235;3;2012-05-09 11:19:00
246777000;53.17585;0.5213633;1;20;335;0;2012-05-09 11:34:00
245924000;51.47167;3.706167;0;151;282;3;2012-05-09 12:02:00
218389000;53.44901;6.829002;0;22;194;3;2012-05-09 12:09:00
246777000;53.17594;0.5209433;6;19;291;0;2012-05-09 12:35:00
246777000;53.1755;0.5178567;2;7;355;0;2012-05-09 13:02:00
218389000;53.44909;6.82906;0;22;284;3;2012-05-09 13:15:00
245924000;51.47167;3.706167;2;151;29;3;2012-05-09 13:15:00
245924000;51.47183;3.706333;0;151;170;0;2012-05-09 14:01:00
218389000;53.4783;6.828807;50;0;348;3;2012-05-09 14:01:00
246777000;53.17535;0.5178233;1;6;323;0;2012-05-09 14:18:00
218389000;53.54939;6.69822;74;314;308;3;2012-05-09 15:01:00
246777000;53.17535;0.5178334;0;7;0;0;2012-05-09 15:03:00
245924000;51.45617;3.721167;2;59;331;0;2012-05-09 15:04:00
246777000;53.17535;0.51782;1;7;355;0;2012-05-09 16:07:00
218389000;53.61329;6.492283;61;273;274;3;2012-05-09 16:13:00
245924000;51.45633;3.720833;1;59;40;0;2012-05-09 16:18:00
218389000;53.64335;6.378098;49;346;335;3;2012-05-09 17:04:00
245924000;51.45633;3.720833;1;59;337;0;2012-05-09 17:09:00
246777000;53.17533;0.5178167;2;7;47;0;2012-05-09 17:11:00
218389000;53.71648;6.331785;49;356;343;3;2012-05-09 18:02:00
246777000;53.17534;0.5178317;2;7;293;0;2012-05-09 18:18:00
245924000;51.45633;3.720833;1;60;109;5;2012-05-09 18:19:00
246777000;53.17536;0.51783;2;7;209;0;2012-05-09 19:00:00
218389000;53.79386;6.292827;49;351;344;3;2012-05-09 19:02:00
245924000;51.45633;3.720833;1;60;151;5;2012-05-09 20:03:00
218389000;53.87623;6.263075;49;344;348;3;2012-05-09 20:04:00
246777000;53.17535;0.5178233;1;7;322;0;2012-05-09 20:07:00
246777000;53.17561;0.517945;9;8;21;0;2012-05-09 21:03:00
245924000;51.45633;3.720833;1;60;352;5;2012-05-09 22:01:00
246777000;53.18679;0.5177867;1;7;116;0;2012-05-09 22:04:00
245924000;51.45633;3.720833;1;60;44;5;2012-05-09 23:02:00
246777000;53.18678;0.5178083;1;6;123;0;2012-05-09 23:09:00
246777000;53.18679;0.5178;2;6;45;0;2012-05-10 00:17:00
246777000;53.18678;0.5178016;1;6;171;5;2012-05-10 01:08:00
245924000;51.45633;3.720833;0;60;244;5;2012-05-10 01:16:00
246777000;53.18679;0.5178133;2;6;233;5;2012-05-10 02:13:00
245924000;51.45633;3.720833;1;60;207;5;2012-05-10 02:26:00
246777000;53.18678;0.5177934;3;6;289;5;2012-05-10 03:19:00
245924000;51.45633;3.720833;1;60;287;5;2012-05-10 03:28:00
246777000;53.18678;0.5178033;2;6;68;5;2012-05-10 04:03:00
245924000;51.45633;3.720833;0;60;314;5;2012-05-10 04:21:00
246777000;53.18678;0.5177967;1;6;49;5;2012-05-10 05:11:00
245924000;51.45633;3.720833;1;60;318;5;2012-05-10 05:48:00
246777000;53.18678;0.5178;2;6;261;5;2012-05-10 06:16:00
245924000;51.45633;3.720833;1;60;319;5;2012-05-10 06:56:00
246777000;53.18679;0.5178083;1;6;200;5;2012-05-10 07:19:00
245924000;51.45633;3.720833;2;60;135;5;2012-05-10 07:26:00
246777000;53.18678;0.517795;2;6;93;5;2012-05-10 08:09:00
246777000;53.18678;0.5178;0;6;0;5;2012-05-10 09:14:00
245924000;51.45633;3.720833;1;60;321;5;2012-05-10 09:30:00
245924000;51.45633;3.720833;1;60;87;5;2012-05-10 10:20:00
246777000;53.18679;0.517795;2;6;289;5;2012-05-10 10:26:00
246777000;53.18678;0.5177934;3;6;184;5;2012-05-10 11:10:00
245924000;51.45633;3.720833;0;60;190;5;2012-05-10 11:27:00
246777000;53.18679;0.5177884;3;6;73;5;2012-05-10 12:18:00
245924000;51.45633;3.720833;1;60;206;5;2012-05-10 12:29:00
246777000;53.18678;0.5178016;2;6;298;5;2012-05-10 13:06:00
245924000;51.45633;3.720833;1;60;9;5;2012-05-10 13:23:00
