MMSI;LAT;LON;SPEED;HEADING;COURSE;STATUS;TIMESTAMP
245924000;55.20876;6.828388;0;119;294;9;2017-01-03 10:08:50
218389000;53.45812;6.818665;0;106;259;6;2017-01-03 10:10:02
253366000;51.6638;2.824017;0;188;188;6;2017-01-03 10:10:29
229044000;54.481;13.58667;1;46;121;5;2017-01-03 10:11:13
229080000;55.45016;8.468333;0;111;109;15;2017-01-03 10:15:36
235090598;55.71683;4.749005;0;24;284;5;2017-01-03 10:16:15
219019002;53.74083;-0.3036667;0;85;161;5;2017-01-03 10:20:39
245179000;51.47066;3.717667;0;204;186;5;2017-01-03 10:20:52
246777000;54.58419;-1.19429;0;227;240;5;2017-01-03 10:28:40
219019002;53.74083;-0.3036667;1;85;95;5;2017-01-03 11:02:43
245179000;51.47066;3.717667;0;205;352;5;2017-01-03 11:02:53
246777000;54.5842;-1.194268;0;227;176;5;2017-01-03 11:10:11
218389000;53.45807;6.818573;0;106;259;6;2017-01-03 11:13:02
229044000;54.481;13.58667;1;46;28;5;2017-01-03 11:14:14
253366000;51.66383;2.824;0;188;188;6;2017-01-03 11:14:41
245924000;55.20876;6.828385;0;120;303;9;2017-01-03 11:15:01
235090598;55.71685;4.748997;1;24;284;5;2017-01-03 11:19:18
229080000;55.45016;8.468333;1;111;0;15;2017-01-03 11:21:26
253366000;51.66382;2.824017;0;188;188;6;2017-01-03 12:00:02
229080000;55.45016;8.468333;0;111;121;15;2017-01-03 12:01:26
235090598;55.71674;4.748991;0;24;38;5;2017-01-03 12:04:19
245179000;51.47066;3.717667;1;204;16;5;2017-01-03 12:05:55
219019002;53.74083;-0.3036667;1;85;269;5;2017-01-03 12:08:47
246777000;54.58419;-1.19428;0;227;109;5;2017-01-03 12:12:30
218389000;53.45813;6.818727;0;106;259;6;2017-01-03 12:16:02
229044000;54.481;13.58667;1;46;200;5;2017-01-03 12:17:17
245924000;55.20876;6.828375;0;120;256;9;2017-01-03 12:20:11
245924000;55.20876;6.828365;0;119;289;9;2017-01-03 13:04:30
229080000;55.45016;8.468333;0;111;353;15;2017-01-03 13:04:47
253366000;51.66382;2.824;0;188;188;6;2017-01-03 13:06:12
235090598;55.71672;4.749007;0;24;38;5;2017-01-03 13:07:16
245179000;51.47066;3.717667;1;204;296;5;2017-01-03 13:08:58
219019002;53.74067;-0.3036667;1;85;16;5;2017-01-03 13:11:43
246777000;54.58418;-1.194278;0;227;20;5;2017-01-03 13:14:48
218389000;53.45819;6.818666;0;106;259;6;2017-01-03 13:19:02
229044000;54.481;13.58667;1;45;116;5;2017-01-03 13:20:18
218389000;53.45813;6.818713;0;106;259;6;2017-01-03 14:01:02
229044000;54.481;13.58667;1;46;145;5;2017-01-03 14:02:20
253366000;51.66382;2.824017;0;188;188;6;2017-01-03 14:08:02
245924000;55.20876;6.8284;0;119;205;9;2017-01-03 14:08:21
229080000;55.45016;8.4685;1;111;130;15;2017-01-03 14:10:05
235090598;55.71673;4.748977;0;24;38;5;2017-01-03 14:10:16
245179000;51.47066;3.717667;1;204;311;5;2017-01-03 14:11:59
219019002;53.74083;-0.3036667;1;85;41;5;2017-01-03 14:14:50
246777000;54.58419;-1.194282;0;227;17;5;2017-01-03 14:17:06
219019002;53.74083;-0.3036667;1;85;29;5;2017-01-03 15:02:51
218389000;53.45817;6.818672;0;106;259;6;2017-01-03 15:04:02
229044000;54.481;13.58683;1;46;213;5;2017-01-03 15:05:22
245924000;55.20875;6.828372;0;120;249;9;2017-01-03 15:12:10
