,turbine_cluster,begin,end,duration,lat,lon,n_samples
0,turbine_cluster_1,2014-08-08 20:05:00+00:00,2016-06-26 08:19:22+00:00,59400862.0,53.80875648648651,0.17915463243243238,111
1,turbine_cluster_2,2014-08-16 00:07:00+00:00,2014-08-20 22:19:00+00:00,425520.0,53.80199999999999,0.18733329999999998,35
2,turbine_cluster_3,2014-08-21 08:13:00+00:00,2016-06-28 19:05:17+00:00,58531937.0,53.7932594117647,0.1951568470588235,34
3,turbine_cluster_4,2014-10-19 16:03:00+00:00,2014-10-24 19:18:00+00:00,443700.0,53.81367,0.19155556666666662,30
4,turbine_cluster_5,2014-10-25 01:21:00+00:00,2014-10-30 01:09:00+00:00,431280.0,53.7995,0.20851667000000002,40
5,turbine_cluster_6,2014-10-30 08:18:00+00:00,2014-11-01 00:08:00+00:00,143400.0,53.81433,0.16916669999999998,10
6,turbine_cluster_7,2014-11-12 20:21:00+00:00,2014-11-16 10:03:00+00:00,308520.0,53.82167000000001,0.16049999999999998,29
7,turbine_cluster_8,2014-11-16 14:16:00+00:00,2014-11-21 03:22:00+00:00,392760.0,53.828325789473695,0.15253509473684207,38
8,turbine_cluster_9,2014-11-21 07:08:00+00:00,2014-11-23 04:16:00+00:00,162480.0,53.82083944444443,0.18283311666666668,18
9,turbine_cluster_10,2014-11-23 22:03:00+00:00,2014-11-25 05:03:00+00:00,111600.0,53.80633,0.20032023076923078,13
10,turbine_cluster_11,2014-12-27 08:20:00+00:00,2016-07-05 02:02:24+00:00,48015744.0,53.82771576923078,0.17464744999999995,52
11,turbine_cluster_12,2014-12-29 05:15:00+00:00,2014-12-30 17:05:00+00:00,129000.0,53.833999999999996,0.167,11
12,turbine_cluster_13,2014-12-31 04:04:00+00:00,2015-01-04 02:16:00+00:00,339120.0,53.817330000000005,0.1275,26
13,turbine_cluster_14,2015-01-04 19:10:00+00:00,2015-01-05 18:01:00+00:00,82260.0,53.824,0.1193333,8
14,turbine_cluster_15,2015-01-20 12:15:00+00:00,2015-01-22 01:06:38+00:00,132698.0,53.830000000000005,0.13349999999999998,12
15,turbine_cluster_16,2015-01-22 05:21:08+00:00,2015-01-23 03:10:05+00:00,78537.0,53.835966,0.1475,5
16,turbine_cluster_17,2015-01-23 13:16:41+00:00,2015-01-26 11:07:51+00:00,251470.0,53.84133,0.15833329999999998,18
17,turbine_cluster_18,2015-01-26 18:00:03+00:00,2015-01-29 11:16:36+00:00,234993.0,53.803999999999995,0.11816687368421057,19
18,turbine_cluster_19,2015-02-04 16:03:50+00:00,2015-02-06 03:01:59+00:00,125889.0,53.79750000000001,0.10584473571428574,14
19,turbine_cluster_20,2015-02-06 10:05:23+00:00,2015-02-07 12:09:24+00:00,93841.0,53.806000000000004,0.09733333000000001,14
20,turbine_cluster_21,2015-02-07 16:03:53+00:00,2015-02-09 06:19:39+00:00,137746.0,53.81083,0.08883277499999999,18
21,turbine_cluster_22,2015-02-09 14:23:03+00:00,2015-02-10 09:14:34+00:00,67891.0,53.817,0.10248147777777777,9
22,turbine_cluster_23,2015-02-15 04:11:01+00:00,2015-02-16 00:02:48+00:00,71507.0,53.810500000000005,0.1103333,10
23,turbine_cluster_24,2015-02-16 07:12:08+00:00,2015-02-17 03:03:50+00:00,71502.0,53.798,0.127,6
24,turbine_cluster_25,2015-02-17 11:07:08+00:00,2015-02-18 00:01:40+00:00,46472.0,53.7895,0.1355,5
25,turbine_cluster_26,2015-02-18 15:01:15+00:00,2015-02-20 20:02:33+00:00,190878.0,53.78233,0.1431667,19
26,turbine_cluster_27,2015-03-07 00:13:01+00:00,2015-03-09 12:09:03+00:00,215762.0,53.7911619047619,0.11249999999999998,21
27,turbine_cluster_28,2015-03-09 21:06:21+00:00,2015-03-10 19:13:07+00:00,79606.0,53.784,0.1211667,8
28,turbine_cluster_29,2015-03-11 08:04:30+00:00,2015-03-12 14:02:28+00:00,107878.0,53.778,0.1321667,12
29,turbine_cluster_30,2015-03-16 11:06:15+00:00,2015-03-17 06:06:44+00:00,68429.0,53.796330000000005,0.15283329999999998,7
30,turbine_cluster_31,2015-03-17 14:03:14+00:00,2015-03-18 11:07:56+00:00,75882.0,53.78983,0.1583333,7
31,turbine_cluster_32,2015-03-18 21:00:26+00:00,2015-03-19 16:06:12+00:00,68746.0,53.782830000000004,0.169,10
32,turbine_cluster_33,2015-03-23 19:14:23+00:00,2015-03-24 21:10:34+00:00,93371.0,53.77517,0.15281478888888889,9
33,turbine_cluster_34,2015-03-25 01:14:03+00:00,2015-03-25 23:14:34+00:00,79231.0,53.77030714285714,0.14152381428571426,7
34,turbine_cluster_35,2015-03-26 04:22:03+00:00,2015-03-28 02:09:05+00:00,164822.0,53.787819999999996,0.1803333,16
