,turbine_cluster,begin,end,duration,lat,lon,n_samples
0,turbine_cluster_1,2015-08-06 13:11:20+00:00,2015-08-08 15:24:26+00:00,180786.0,54.08067,6.983236166666667,12
1,turbine_cluster_2,2015-08-08 22:20:11+00:00,2015-08-09 17:02:53+00:00,67362.0,54.086830000000006,6.972499999999998,7
2,turbine_cluster_3,2015-08-10 00:07:09+00:00,2015-08-11 00:05:17+00:00,86288.0,54.09317,6.962,8
3,turbine_cluster_4,2015-08-11 03:21:38+00:00,2015-08-11 23:16:19+00:00,71681.0,54.08683,6.95147925,8
4,turbine_cluster_5,2015-08-18 10:09:53+00:00,2015-08-19 17:10:13+00:00,111620.0,54.09316999999999,6.941055666666666,6
5,turbine_cluster_6,2015-08-19 23:00:14+00:00,2015-08-21 04:12:18+00:00,105124.0,54.05716999999999,6.985360833333334,6
6,turbine_cluster_7,2015-08-21 13:07:55+00:00,2015-08-22 08:08:30+00:00,68435.0,54.063,6.97445825,8
7,turbine_cluster_8,2015-08-22 14:17:43+00:00,2015-08-24 08:15:56+00:00,151093.0,54.06799999999999,6.965000000000001,11
8,turbine_cluster_9,2015-08-29 09:44:02+00:00,2015-08-30 20:02:21+00:00,123499.0,54.080670000000005,6.941000000000001,13
9,turbine_cluster_10,2015-08-31 07:00:33+00:00,2015-09-16 12:16:04+00:00,1401331.0,54.07367,6.958833,36
11,turbine_cluster_12,2015-09-19 12:22:06+00:00,2015-09-20 07:33:07+00:00,69061.0,54.04517,7.0075,4
13,turbine_cluster_14,2015-09-24 06:19:02+00:00,2015-09-25 16:23:05+00:00,122643.0,54.08697166666667,7.015,6
14,turbine_cluster_15,2015-09-25 21:24:41+00:00,2015-09-26 10:22:08+00:00,46647.0,54.08149999999999,7.048167000000001,5
17,turbine_cluster_18,2015-09-30 16:25:00+00:00,2015-10-01 07:19:26+00:00,53666.0,54.05717,7.027833,4
19,turbine_cluster_20,2015-10-02 12:08:04+00:00,2015-10-03 06:20:41+00:00,65557.0,54.068830000000005,7.0054666,5
20,turbine_cluster_21,2015-10-03 10:12:31+00:00,2015-10-04 19:22:30+00:00,119399.0,54.07483,6.9951002,10
21,turbine_cluster_22,2015-10-09 20:47:12+00:00,2015-10-10 17:11:51+00:00,73479.0,54.05117,7.017667,4
22,turbine_cluster_23,2015-10-10 23:07:30+00:00,2015-10-16 19:02:56+00:00,503726.0,54.057170000000006,7.006666999999998,21
23,turbine_cluster_24,2015-10-17 17:13:31+00:00,2015-10-18 07:17:00+00:00,50609.0,54.063,6.995333,4
24,turbine_cluster_25,2015-10-18 17:03:18+00:00,2015-10-19 05:24:46+00:00,44488.0,54.06883,6.984334,4
25,turbine_cluster_26,2015-10-22 00:27:05+00:00,2015-10-23 20:28:30+00:00,158485.0,54.07483,6.973332999999999,5
28,turbine_cluster_29,2015-10-30 08:18:38+00:00,2015-11-01 08:12:44+00:00,172446.0,54.08067,7.025667,9
29,turbine_cluster_30,2015-11-01 13:59:20+00:00,2015-11-02 11:03:06+00:00,75826.0,54.09312142857142,7.004357,7
30,turbine_cluster_31,2015-11-02 16:14:53+00:00,2015-11-03 15:18:59+00:00,83046.0,54.06317000000001,7.0379999999999985,7
31,turbine_cluster_32,2015-11-03 19:21:33+00:00,2015-11-04 11:10:05+00:00,56912.0,54.069298,7.0273330000000005,5
32,turbine_cluster_33,2015-11-07 11:54:57+00:00,2015-11-12 03:39:16+00:00,402259.0,54.07483333333334,7.015634333333334,12
33,turbine_cluster_34,2015-11-13 10:47:43+00:00,2015-11-23 04:52:06+00:00,842663.0,54.080670000000005,7.004500000000001,26
34,turbine_cluster_35,2015-11-29 12:07:12+00:00,2015-12-01 17:14:59+00:00,191267.0,54.09317,6.983333,4
36,turbine_cluster_37,2015-12-17 18:08:08+00:00,2015-12-27 18:25:35+00:00,865047.0,54.08767,7.079833999999999,7
37,turbine_cluster_38,2016-01-06 23:43:23+00:00,2016-01-11 19:08:21+00:00,415498.0,54.09383,7.069,17
39,turbine_cluster_40,2016-01-13 10:23:56+00:00,2016-01-14 03:16:05+00:00,60729.0,54.04333,6.99029225,4
40,turbine_cluster_41,2016-01-14 07:13:30+00:00,2016-01-15 01:20:14+00:00,65204.0,54.047000000000004,6.9835,6
41,turbine_cluster_42,2016-01-17 23:05:36+00:00,2016-01-18 14:15:06+00:00,54570.0,54.05583,6.9669165,4
42,turbine_cluster_43,2016-01-19 13:54:16+00:00,2016-01-21 06:25:33+00:00,145877.0,54.06067000000001,6.957166999999999,6
43,turbine_cluster_44,2016-01-21 16:14:24+00:00,2016-01-23 11:18:56+00:00,155072.0,54.03183000000001,7.008809285714286,7
44,turbine_cluster_45,2016-01-24 18:09:43+00:00,2016-02-05 03:07:48+00:00,982685.0,54.039329999999985,6.978987153846154,13
45,turbine_cluster_46,2016-02-12 23:23:20+00:00,2016-02-13 13:20:37+00:00,50237.0,54.04382999999999,6.972333,3
46,turbine_cluster_47,2016-02-13 18:12:31+00:00,2016-02-16 13:15:11+00:00,241360.0,54.04910199999999,6.965466599999999,10
49,turbine_cluster_50,2016-02-29 08:02:22+00:00,2016-02-29 21:26:43+00:00,48261.0,54.0435,6.956167,7
54,turbine_cluster_55,2016-03-11 19:19:37+00:00,2016-03-12 08:09:39+00:00,46202.0,53.99616999999999,7.044667,5
57,turbine_cluster_58,2016-03-16 12:06:07+00:00,2016-03-17 01:21:30+00:00,47723.0,54.009898,7.0464332,5
58,turbine_cluster_59,2016-03-17 06:25:58+00:00,2016-03-18 00:20:33+00:00,64475.0,54.00169285714286,7.055166999999999,7
59,turbine_cluster_60,2016-03-21 07:03:44+00:00,2016-03-22 10:22:34+00:00,98330.0,53.99932999999999,7.066809285714286,7
60,turbine_cluster_61,2016-03-23 07:15:10+00:00,2016-03-24 01:05:13+00:00,64203.0,54.0265,6.958833,4
63,turbine_cluster_64,2016-04-01 17:20:52+00:00,2016-04-02 15:18:37+00:00,79065.0,54.021,6.942333,4
65,turbine_cluster_66,2016-04-03 17:04:13+00:00,2016-04-04 12:28:50+00:00,69877.0,54.0215,6.967062625,8
66,turbine_cluster_67,2016-04-06 16:17:00+00:00,2016-04-08 12:00:24+00:00,157404.0,54.021623636363636,6.955136636363637,11
67,turbine_cluster_68,2016-04-08 16:18:46+00:00,2016-04-09 07:01:15+00:00,52949.0,54.01683,6.959167,2
68,turbine_cluster_69,2016-04-09 10:13:39+00:00,2016-04-10 02:05:11+00:00,57092.0,54.01183000000001,6.950999999999999,5
70,turbine_cluster_71,2016-04-13 15:03:21+00:00,2016-04-14 21:14:55+00:00,108694.0,53.99417,6.940333,5
72,turbine_cluster_73,2016-04-16 06:10:41+00:00,2016-04-16 20:07:58+00:00,50237.0,53.98982999999999,6.965190714285714,7
73,turbine_cluster_74,2016-04-17 03:08:15+00:00,2016-04-18 01:08:57+00:00,79242.0,53.9945,6.9568330000000005,5
74,turbine_cluster_75,2016-04-22 11:09:20+00:00,2016-04-23 02:18:53+00:00,54573.0,53.984526,6.977324200000001,5
75,turbine_cluster_76,2016-04-23 18:14:06+00:00,2016-04-24 10:17:41+00:00,57815.0,53.98444333333333,6.963499999999999,6
76,turbine_cluster_77,2016-04-24 23:12:30+00:00,2016-04-25 23:07:13+00:00,86083.0,53.982786363636365,6.951984818181817,11
78,turbine_cluster_79,2016-05-01 03:12:04+00:00,2016-05-01 23:03:47+00:00,71503.0,53.998659999999994,7.003999999999999,6
79,turbine_cluster_80,2016-05-02 06:01:27+00:00,2016-05-02 21:04:59+00:00,54212.0,53.99005666666667,7.0153886666666665,3
80,turbine_cluster_81,2016-05-03 01:11:41+00:00,2016-05-04 12:03:49+00:00,125528.0,53.988655833333326,6.998999999999999,12
82,turbine_cluster_83,2016-05-12 04:00:58+00:00,2016-05-13 21:08:16+00:00,148038.0,53.996518888888886,6.980333,9
83,turbine_cluster_84,2016-05-16 20:20:34+00:00,2016-05-17 11:15:04+00:00,53670.0,54.0225,6.9909666,5
85,turbine_cluster_86,2016-05-18 18:06:11+00:00,2016-05-19 07:09:36+00:00,47005.0,54.00633,6.9635,3
87,turbine_cluster_88,2018-11-09 03:34:40+00:00,2018-11-15 05:39:22+00:00,525882.0,54.087,6.993916999999999,10
