MMSI;LAT;LON;SPEED;HEADING;COURSE;STATUS;TIMESTAMP
218389000;53.44977;6.819597;0;286;288;3;2011-05-06 00:01:00
246777000;52.57961;1.742655;1;272;22;5;2011-05-06 00:06:00
218389000;53.45005;6.81965;0;286;288;3;2011-05-06 01:02:00
246777000;52.57961;1.742648;2;273;48;5;2011-05-06 01:05:00
218389000;53.45001;6.81974;0;286;288;3;2011-05-06 02:02:00
246777000;52.57961;1.742665;2;272;351;5;2011-05-06 02:04:00
218389000;53.45004;6.819497;0;286;288;3;2011-05-06 03:03:00
246777000;52.57961;1.742648;1;272;112;5;2011-05-06 03:04:00
246777000;52.57961;1.742625;0;272;0;5;2011-05-06 04:03:00
218389000;53.45012;6.819398;0;286;288;3;2011-05-06 04:04:00
246777000;52.57962;1.742657;1;272;261;5;2011-05-06 05:02:00
218389000;53.45005;6.81956;0;286;288;3;2011-05-06 05:04:00
218389000;53.45009;6.819489;0;286;288;3;2011-05-06 06:00:00
246777000;52.57961;1.742647;0;273;0;5;2011-05-06 06:02:00
218389000;53.45004;6.819533;0;286;288;3;2011-05-06 07:01:00
246777000;52.57961;1.742668;1;273;324;5;2011-05-06 07:04:00
246777000;52.57961;1.742647;0;272;0;5;2011-05-06 08:00:00
218389000;53.45005;6.819537;0;286;288;3;2011-05-06 08:01:00
246777000;52.57959;1.742648;2;272;152;5;2011-05-06 09:00:00
218389000;53.45006;6.819551;0;286;288;3;2011-05-06 09:02:00
246777000;52.57961;1.742645;2;272;100;5;2011-05-06 10:02:00
218389000;53.44997;6.819773;0;286;288;3;2011-05-06 10:03:00
218389000;53.4501;6.81964;0;287;288;3;2011-05-06 11:03:00
246777000;52.57961;1.742652;1;272;276;5;2011-05-06 11:04:00
246777000;52.57961;1.742652;2;273;70;5;2011-05-06 12:01:00
218389000;53.45004;6.81941;0;287;288;3;2011-05-06 12:03:00
246777000;52.57961;1.742665;0;272;0;5;2011-05-06 13:00:00
218389000;53.45003;6.81953;0;287;288;3;2011-05-06 13:04:00
218389000;53.45008;6.819475;0;287;288;3;2011-05-06 14:00:00
246777000;52.57961;1.742673;2;272;223;5;2011-05-06 14:05:00
218389000;53.44995;6.819597;0;287;288;3;2011-05-06 15:00:00
246777000;52.57963;1.742663;2;272;29;5;2011-05-06 15:05:00
218389000;53.45011;6.819563;0;287;288;3;2011-05-06 16:01:00
246777000;52.57961;1.742648;1;273;66;5;2011-05-06 16:04:00
218389000;53.45009;6.819608;0;287;288;3;2011-05-06 17:01:00
246777000;52.57961;1.742652;1;273;105;5;2011-05-06 17:03:00
218389000;53.45005;6.8195;0;287;288;3;2011-05-06 18:01:00
246777000;52.57961;1.742658;2;272;0;5;2011-05-06 18:03:00
218389000;53.45005;6.819398;0;287;288;3;2011-05-06 19:01:00
246777000;52.57962;1.742655;1;273;98;5;2011-05-06 19:02:00
246777000;52.57961;1.74265;3;272;318;5;2011-05-06 20:01:00
218389000;53.45007;6.81947;0;287;288;3;2011-05-06 20:02:00
246777000;52.57961;1.74266;1;272;177;5;2011-05-06 21:01:00
218389000;53.45022;6.819692;0;287;288;3;2011-05-06 21:02:00
218389000;53.45006;6.819507;0;287;288;3;2011-05-06 22:02:00
246777000;52.57962;1.742653;1;272;61;5;2011-05-06 22:06:00
218389000;53.44993;6.819627;0;286;288;3;2011-05-06 23:03:00
246777000;52.57961;1.742658;2;273;8;5;2011-05-06 23:08:00
218389000;53.45007;6.819637;0;286;288;3;2011-05-07 00:03:00
246777000;52.57961;1.742665;1;273;20;5;2011-05-07 00:11:00
246777000;52.57961;1.74264;1;272;47;5;2011-05-07 01:01:00
218389000;53.45005;6.819698;0;286;288;3;2011-05-07 01:04:00
218389000;53.44987;6.81979;0;286;288;3;2011-05-07 02:00:00
246777000;52.57961;1.742665;1;272;32;5;2011-05-07 02:03:00
218389000;53.45006;6.819515;0;286;288;3;2011-05-07 03:00:00
246777000;52.57961;1.742653;1;273;92;5;2011-05-07 03:06:00
218389000;53.45004;6.819578;0;286;288;3;2011-05-07 04:01:00
246777000;52.57961;1.742663;1;272;67;5;2011-05-07 04:05:00
246777000;52.57961;1.742657;3;272;150;5;2011-05-07 05:02:00
218389000;53.45005;6.819765;0;286;288;3;2011-05-07 05:02:00
218389000;53.45012;6.819533;0;286;288;3;2011-05-07 06:03:00
246777000;52.57961;1.742652;1;272;154;5;2011-05-07 06:09:00
246777000;52.57961;1.742665;2;272;320;5;2011-05-07 07:00:00
218389000;53.45008;6.81953;0;286;288;3;2011-05-07 07:04:00
218389000;53.44994;6.819571;0;286;288;3;2011-05-07 08:00:00
246777000;52.57961;1.74267;2;273;187;5;2011-05-07 08:05:00
218389000;53.45011;6.819519;0;286;288;3;2011-05-07 09:00:00
246777000;52.57961;1.742643;2;273;83;5;2011-05-07 09:02:00
218389000;53.45003;6.81962;0;286;288;3;2011-05-07 10:01:00
246777000;52.5796;1.742645;1;272;139;5;2011-05-07 10:04:00
218389000;53.45001;6.819638;0;286;288;3;2011-05-07 11:01:00
246777000;52.57961;1.742648;0;273;76;5;2011-05-07 11:03:00
218389000;53.45004;6.819425;0;286;288;3;2011-05-07 12:02:00
246777000;52.57961;1.74265;2;273;222;5;2011-05-07 12:03:00
246777000;52.57959;1.742658;1;272;130;5;2011-05-07 13:02:00
218389000;53.45005;6.819726;0;287;288;3;2011-05-07 13:03:00
246777000;52.57961;1.742667;2;273;188;5;2011-05-07 14:01:00
218389000;53.45001;6.819746;0;287;288;3;2011-05-07 14:03:00
245924000;48.67083;-5.712;115;28;32;0;2011-05-07 14:16:00
246777000;52.57963;1.742672;1;273;351;5;2011-05-07 15:01:00
218389000;53.44999;6.819535;0;287;288;3;2011-05-07 15:04:00
245924000;48.83867;-5.479833;120;64;58;0;2011-05-07 15:28:00
246777000;52.57962;1.742652;1;273;116;5;2011-05-07 16:00:00
218389000;53.45003;6.819525;0;287;288;3;2011-05-07 16:04:00
245924000;48.91917;-5.2725;121;67;59;0;2011-05-07 16:16:00
245924000;48.988;-5.057;127;63;58;0;2011-05-07 17:04:00
218389000;53.45007;6.819545;0;287;204;3;2011-05-07 17:05:00
246777000;52.57961;1.742652;2;273;132;5;2011-05-07 17:05:00
218389000;53.45011;6.819458;0;287;204;3;2011-05-07 18:01:00
246777000;52.57961;1.742647;1;272;219;5;2011-05-07 18:05:00
218389000;53.45001;6.819482;0;287;204;3;2011-05-07 19:02:00
246777000;52.57962;1.742647;1;272;337;5;2011-05-07 19:04:00
218389000;53.45024;6.819483;0;287;204;3;2011-05-07 20:02:00
246777000;52.57962;1.742643;2;273;217;5;2011-05-07 20:03:00
246777000;52.57959;1.742645;1;273;295;5;2011-05-07 21:03:00
218389000;53.44996;6.81968;0;287;323;3;2011-05-07 21:03:00
245924000;49.446;-3.917667;118;61;59;0;2011-05-07 21:14:00
245924000;49.52683;-3.706833;121;63;61;0;2011-05-07 22:02:00
246777000;52.57962;1.742655;2;273;329;5;2011-05-07 22:02:00
218389000;53.45007;6.819505;0;287;323;3;2011-05-07 22:04:00
218389000;53.44992;6.819515;0;287;323;3;2011-05-07 23:00:00
246777000;52.57961;1.742663;2;272;1;5;2011-05-07 23:01:00
245924000;49.62767;-3.4405;99;63;59;0;2011-05-07 23:04:00
245924000;49.72117;-3.197167;115;63;60;0;2011-05-08 00:00:00
218389000;53.45006;6.819705;0;287;323;3;2011-05-08 00:00:00
246777000;52.57962;1.742647;1;272;23;5;2011-05-08 00:06:00
218389000;53.45009;6.81946;0;287;323;3;2011-05-08 01:01:00
245924000;49.80983;-2.926167;113;78;74;0;2011-05-08 01:01:00
246777000;52.57961;1.742637;2;272;13;5;2011-05-08 01:06:00
218389000;53.45;6.819642;0;287;323;3;2011-05-08 02:02:00
245924000;49.85883;-2.650667;103;77;75;0;2011-05-08 02:02:00
246777000;52.57961;1.742658;2;273;143;5;2011-05-08 02:08:00
218389000;53.45007;6.819445;0;287;323;3;2011-05-08 03:02:00
245924000;49.90283;-2.403333;91;78;75;0;2011-05-08 03:03:00
246777000;52.57961;1.742643;2;273;235;5;2011-05-08 03:10:00
246777000;52.57961;1.742662;3;272;14;5;2011-05-08 04:01:00
218389000;53.45006;6.819535;0;287;323;3;2011-05-08 04:03:00
245924000;49.94233;-2.185667;80;77;73;0;2011-05-08 04:04:00
245924000;49.97567;-1.9985;81;79;77;0;2011-05-08 05:01:00
218389000;53.45002;6.820123;0;287;323;3;2011-05-08 05:03:00
246777000;52.57961;1.742652;1;273;83;5;2011-05-08 05:15:00
245924000;50.01433;-1.781;86;80;76;0;2011-05-08 06:02:00
246777000;52.57961;1.742663;1;272;346;5;2011-05-08 06:03:00
218389000;53.45012;6.819503;0;287;323;3;2011-05-08 06:04:00
218389000;53.45007;6.81954;0;287;323;3;2011-05-08 07:00:00
245924000;50.05517;-1.538333;102;78;75;0;2011-05-08 07:04:00
246777000;52.57961;1.74266;1;273;37;5;2011-05-08 07:05:00
218389000;53.44995;6.819932;0;287;323;3;2011-05-08 08:01:00
246777000;52.57961;1.742648;3;272;2;5;2011-05-08 08:02:00
245924000;50.10417;-1.251;113;78;75;0;2011-05-08 08:08:00
245924000;50.14817;-0.9943333;126;75;74;0;2011-05-08 09:00:00
246777000;52.57961;1.742657;1;272;164;5;2011-05-08 09:01:00
218389000;53.4501;6.819473;0;287;323;3;2011-05-08 09:01:00
246777000;52.57961;1.742642;1;272;62;5;2011-05-08 10:00:00
218389000;53.44994;6.819775;0;287;323;3;2011-05-08 10:02:00
245924000;50.206;-0.6586667;121;73;75;0;2011-05-08 10:04:00
245924000;50.26317;-0.367;127;75;74;0;2011-05-08 11:00:00
218389000;53.45005;6.819538;0;287;323;3;2011-05-08 11:02:00
246777000;52.57961;1.742653;2;272;297;5;2011-05-08 11:05:00
245924000;50.3195;-0.04633333;123;78;75;0;2011-05-08 12:02:00
218389000;53.45005;6.819482;1;287;297;3;2011-05-08 12:03:00
246777000;52.57962;1.742652;2;273;330;5;2011-05-08 12:04:00
218389000;53.45005;6.819602;0;287;297;3;2011-05-08 13:03:00
245924000;50.374;0.2635;128;75;74;0;2011-05-08 13:03:00
246777000;52.57961;1.742647;2;272;274;5;2011-05-08 13:04:00
245924000;50.42583;0.5583333;123;76;75;0;2011-05-08 14:00:00
246777000;52.57961;1.742642;2;273;298;5;2011-05-08 14:03:00
218389000;53.45007;6.8196;0;287;297;3;2011-05-08 14:04:00
246777000;52.57961;1.742652;1;273;98;5;2011-05-08 15:02:00
245924000;50.48183;0.8773333;120;77;74;0;2011-05-08 15:03:00
218389000;53.45006;6.819499;0;287;297;3;2011-05-08 15:04:00
218389000;53.45003;6.819467;0;287;297;3;2011-05-08 16:00:00
246777000;52.57962;1.742647;1;273;68;5;2011-05-08 16:02:00
218389000;53.45007;6.81953;0;287;297;3;2011-05-08 17:00:00
246777000;52.57961;1.742655;1;272;97;5;2011-05-08 17:01:00
246777000;52.57961;1.742642;2;273;229;5;2011-05-08 18:01:00
218389000;53.45009;6.819492;0;287;297;3;2011-05-08 18:03:00
