MMSI;LAT;LON;SPEED;HEADING;COURSE;STATUS;TIMESTAMP
253366000;51.88647;4.4038;0;152;152;6;2021-01-11 08:27:00
219019002;55.44955;8.471191;0;112;37;5;2021-01-11 08:27:56
245179000;51.89317;4.286334;1;342;20;5;2021-01-11 08:27:57
246777000;51.89389;4.44956;0;104;242;5;2021-01-11 08:29:29
215644000;55.45904;8.436044;0;181;172;5;2021-01-11 08:32:57
229080000;57.69417;-4.032;0;87;54;0;2021-01-11 08:34:52
245924000;51.89043;4.298267;0;73;282;5;2021-01-11 08:35:26
229044000;24.26612;120.5199;2;22;288;5;2021-01-11 08:46:02
246777000;51.89389;4.449543;0;104;175;5;2021-01-11 09:05:04
253366000;51.88648;4.403767;0;152;152;6;2021-01-11 09:06:31
219019002;55.4495;8.47121;0;111;265;5;2021-01-11 09:06:42
229044000;24.26611;120.5199;0;22;302;5;2021-01-11 09:10:04
245179000;51.89317;4.286334;1;342;344;5;2021-01-11 09:12:56
215644000;55.45912;8.435925;1;181;172;5;2021-01-11 09:14:59
245924000;51.89043;4.29825;0;73;312;5;2021-01-11 09:17:03
229080000;57.69417;-4.032;1;87;209;0;2021-01-11 09:17:21
229080000;57.69417;-4.032;1;87;221;0;2021-01-11 10:00:32
246777000;51.8939;4.449558;0;104;104;5;2021-01-11 10:10:40
253366000;51.88645;4.4038;0;152;152;6;2021-01-11 10:13:02
219019002;55.44957;8.471147;0;112;304;5;2021-01-11 10:15:59
245179000;51.89317;4.286334;2;342;137;5;2021-01-11 10:16:01
215644000;55.45895;8.436235;0;181;9;5;2021-01-11 10:17:55
245924000;51.89045;4.298234;0;74;283;5;2021-01-11 10:19:34
229044000;24.26612;120.5199;1;22;312;5;2021-01-11 10:22:05
245179000;51.89317;4.286334;0;342;6;5;2021-01-11 11:01:01
245924000;51.89043;4.29825;0;73;79;5;2021-01-11 11:01:15
229080000;57.69417;-4.032;1;87;152;0;2021-01-11 11:03:43
219019002;55.44956;8.471164;0;111;252;5;2021-01-11 11:04:01
229044000;24.26612;120.5199;0;22;15;5;2021-01-11 11:04:06
246777000;51.89389;4.44955;0;104;122;5;2021-01-11 11:15:51
253366000;51.88647;4.403767;0;152;152;6;2021-01-11 11:17:02
215644000;55.45904;8.436064;0;181;9;5;2021-01-11 11:21:00
253366000;51.8865;4.40378;0;152;152;6;2021-01-11 12:00:06
