index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,cluster-2_location-0,53.80875648648651,0.17915463243243238,2014-08-08 13:05:00+00:00,2016-06-26 01:19:22+00:00,687 days 12:14:22,1222.219877295561
1,cluster-2_location-1,53.80199999999999,0.18733329999999998,2014-08-15 17:07:00+00:00,2014-08-20 15:19:00+00:00,4 days 22:12:00,1902.2172324028188
2,cluster-2_location-10,53.82771576923078,0.17464744999999995,2014-12-27 02:20:00+00:00,2016-07-04 19:02:24+00:00,555 days 16:42:24,2327.5237298430175
3,cluster-2_location-11,53.833999999999996,0.167,2014-12-28 23:15:00+00:00,2014-12-30 11:05:00+00:00,1 days 11:50:00,2865.7648457180667
4,cluster-2_location-12,53.817330000000005,0.1275,2014-12-30 22:04:00+00:00,2015-01-03 20:16:00+00:00,3 days 22:12:00,2380.793969385571
5,cluster-2_location-13,53.824,0.1193333,2015-01-04 13:10:00+00:00,2015-01-05 12:01:00+00:00,0 days 22:51:00,3207.1085140845803
6,cluster-2_location-14,53.830000000000005,0.13349999999999998,2015-01-20 06:15:00+00:00,2015-01-21 19:06:38+00:00,1 days 12:51:38,2976.7805783732997
7,cluster-2_location-15,53.835966,0.1475,2015-01-21 23:21:08+00:00,2015-01-22 21:10:05+00:00,0 days 21:48:57,3170.6711003287764
8,cluster-2_location-16,53.84133,0.15833329999999998,2015-01-23 07:16:41+00:00,2015-01-26 05:07:51+00:00,2 days 21:51:10,3652.210811371288
9,cluster-2_location-17,53.803999999999995,0.11816687368421057,2015-01-26 12:00:03+00:00,2015-01-29 05:16:36+00:00,2 days 17:16:33,2827.479266543424
10,cluster-2_location-18,53.79750000000001,0.10584473571428574,2015-02-04 10:03:50+00:00,2015-02-05 21:01:59+00:00,1 days 10:58:09,3794.947200005806
11,cluster-2_location-19,53.806000000000004,0.09733333000000001,2015-02-06 04:05:23+00:00,2015-02-07 06:09:24+00:00,1 days 02:04:01,4159.900054237758
12,cluster-2_location-2,53.7932594117647,0.1951568470588235,2014-08-21 01:13:00+00:00,2016-06-28 12:05:17+00:00,677 days 10:52:17,2835.959375133939
13,cluster-2_location-20,53.81083,0.08883277499999999,2015-02-07 10:03:53+00:00,2015-02-09 00:19:39+00:00,1 days 14:15:46,4715.461071209899
14,cluster-2_location-21,53.817,0.10248147777777777,2015-02-09 08:23:03+00:00,2015-02-10 03:14:34+00:00,0 days 18:51:31,3927.1218807924497
15,cluster-2_location-22,53.810500000000005,0.1103333,2015-02-14 22:11:01+00:00,2015-02-15 18:02:48+00:00,0 days 19:51:47,3304.1625203209915
16,cluster-2_location-23,53.798,0.127,2015-02-16 01:12:08+00:00,2015-02-16 21:03:50+00:00,0 days 19:51:42,2493.642644970855
17,cluster-2_location-24,53.7895,0.1355,2015-02-17 05:07:08+00:00,2015-02-17 18:01:40+00:00,0 days 12:54:32,2678.42027026519
18,cluster-2_location-25,53.78233,0.1431667,2015-02-18 09:01:15+00:00,2015-02-20 14:02:33+00:00,2 days 05:01:18,3126.9354376372025
19,cluster-2_location-26,53.7911619047619,0.11249999999999998,2015-03-06 18:13:01+00:00,2015-03-09 06:09:03+00:00,2 days 11:56:02,3698.2300671678227
20,cluster-2_location-27,53.784,0.1211667,2015-03-09 15:06:21+00:00,2015-03-10 13:13:07+00:00,0 days 22:06:46,3757.2725077977543
21,cluster-2_location-28,53.778,0.1321667,2015-03-11 02:04:30+00:00,2015-03-12 08:02:28+00:00,1 days 05:57:58,3870.972117284009
22,cluster-2_location-29,53.796330000000005,0.15283329999999998,2015-03-16 05:06:15+00:00,2015-03-17 00:06:44+00:00,0 days 19:00:29,1446.0199268801443
23,cluster-2_location-3,53.81367,0.19155556666666662,2014-10-19 09:03:00+00:00,2014-10-24 12:18:00+00:00,5 days 03:15:00,2115.3024699247076
24,cluster-2_location-30,53.78983,0.1583333,2015-03-17 08:03:14+00:00,2015-03-18 05:07:56+00:00,0 days 21:04:42,2082.29105357778
25,cluster-2_location-31,53.782830000000004,0.169,2015-03-18 15:00:26+00:00,2015-03-19 10:06:12+00:00,0 days 19:05:46,2909.0857820927295
26,cluster-2_location-32,53.77517,0.15281478888888889,2015-03-23 13:14:23+00:00,2015-03-24 15:10:34+00:00,1 days 01:56:11,3741.9471439722856
27,cluster-2_location-33,53.77030714285714,0.14152381428571426,2015-03-24 19:14:03+00:00,2015-03-25 17:14:34+00:00,0 days 22:00:31,4428.002970824792
28,cluster-2_location-34,53.787819999999996,0.1803333,2015-03-25 22:22:03+00:00,2015-03-27 20:09:05+00:00,1 days 21:47:02,2642.41582664446
29,cluster-2_location-4,53.7995,0.20851667000000002,2014-10-24 18:21:00+00:00,2014-10-29 19:09:00+00:00,5 days 00:48:00,3305.6508841987984
30,cluster-2_location-5,53.81433,0.16916669999999998,2014-10-30 02:18:00+00:00,2014-10-31 18:08:00+00:00,1 days 15:50:00,859.7277373236961
31,cluster-2_location-6,53.82167000000001,0.16049999999999998,2014-11-12 14:21:00+00:00,2014-11-16 04:03:00+00:00,3 days 13:42:00,1463.2335627541033
32,cluster-2_location-7,53.828325789473695,0.15253509473684207,2014-11-16 08:16:00+00:00,2014-11-20 21:22:00+00:00,4 days 13:06:00,2265.1850588531097
33,cluster-2_location-8,53.82083944444443,0.18283311666666668,2014-11-21 01:08:00+00:00,2014-11-22 22:16:00+00:00,1 days 21:08:00,2005.079274604643
34,cluster-2_location-9,53.80633,0.20032023076923078,2014-11-23 16:03:00+00:00,2014-11-24 23:03:00+00:00,1 days 07:00:00,2622.9348730304223
