index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,cluster-3_location-0,54.08033599999999,6.9834668,2015-08-06 06:11:20+00:00,2016-05-21 11:09:04+00:00,289 days 04:57:44,2639.834317720862
1,cluster-3_location-1,54.086830000000006,6.972499999999998,2015-08-08 15:20:11+00:00,2015-08-09 10:02:53+00:00,0 days 18:42:42,3525.9281368395
2,cluster-3_location-10,54.07533,7.058722333333333,2015-09-18 07:09:14+00:00,2015-09-18 18:03:38+00:00,0 days 10:54:24,4882.321348527352
3,cluster-3_location-11,54.04517,7.0075,2015-09-19 05:22:06+00:00,2015-09-20 00:33:07+00:00,0 days 19:11:01,1709.1769397311114
4,cluster-3_location-12,54.05116999999999,6.9965,2015-09-20 10:21:33+00:00,2015-09-20 18:27:46+00:00,0 days 08:06:13,747.5192630955995
5,cluster-3_location-13,54.08697166666667,7.015,2015-09-23 23:19:02+00:00,2015-09-25 09:23:05+00:00,1 days 10:04:03,3690.9696763916118
6,cluster-3_location-14,54.08149999999999,7.048167000000001,2015-09-25 14:24:41+00:00,2015-09-26 03:22:08+00:00,0 days 12:57:27,4633.459104932638
7,cluster-3_location-15,54.08700000000001,7.036167,2015-09-26 15:27:49+00:00,2015-09-26 22:18:58+00:00,0 days 06:51:09,4463.429884187492
8,cluster-3_location-16,54.09317000000001,7.025667000000001,2015-09-27 10:43:23+00:00,2015-09-27 12:07:26+00:00,0 days 01:24:03,4623.958752100148
9,cluster-3_location-17,54.05717,7.027833,2015-09-30 09:25:00+00:00,2015-10-01 00:19:26+00:00,0 days 14:54:26,2420.6009242351574
10,cluster-3_location-18,54.06316999999999,7.017,2015-10-01 10:10:17+00:00,2015-10-01 20:10:37+00:00,0 days 10:00:20,1846.285686883971
11,cluster-3_location-19,54.068830000000005,7.0054666,2015-10-02 05:08:04+00:00,2015-10-02 23:20:41+00:00,0 days 18:12:37,1630.327155216515
12,cluster-3_location-2,54.09317,6.962,2015-08-09 17:07:09+00:00,2015-08-10 17:05:17+00:00,0 days 23:58:08,4439.445653400866
13,cluster-3_location-20,54.07483,6.9951002,2015-10-03 03:12:31+00:00,2015-10-04 12:22:30+00:00,1 days 09:09:59,2004.709141925867
14,cluster-3_location-21,54.05117,7.017667,2015-10-09 13:47:12+00:00,2015-10-10 10:11:51+00:00,0 days 20:24:39,1872.233440641538
15,cluster-3_location-22,54.057170000000006,7.006666999999998,2015-10-10 16:07:30+00:00,2015-10-16 12:02:56+00:00,5 days 19:55:26,1039.232083338558
16,cluster-3_location-23,54.063,6.995333,2015-10-17 10:13:31+00:00,2015-10-18 00:17:00+00:00,0 days 14:03:29,732.9228941098081
17,cluster-3_location-24,54.06883,6.984334,2015-10-18 10:03:18+00:00,2015-10-18 22:24:46+00:00,0 days 12:21:28,1382.2202938242222
18,cluster-3_location-25,54.07483,6.973332999999999,2015-10-21 17:27:05+00:00,2015-10-23 13:28:30+00:00,1 days 20:01:25,2286.8409792090556
19,cluster-3_location-26,54.08067,6.962167,2015-10-23 23:18:06+00:00,2015-10-24 04:00:17+00:00,0 days 04:42:11,3227.2612275557567
20,cluster-3_location-27,54.08067,7.025667,2015-10-30 02:18:38+00:00,2015-11-01 02:12:44+00:00,1 days 23:54:06,3482.642402917465
21,cluster-3_location-28,54.09312142857142,7.004357,2015-11-01 07:59:20+00:00,2015-11-02 05:03:06+00:00,0 days 21:03:46,4115.324784629147
22,cluster-3_location-29,54.06317000000001,7.0379999999999985,2015-11-02 10:14:53+00:00,2015-11-03 09:18:59+00:00,0 days 23:04:06,3159.683813037012
23,cluster-3_location-3,54.08683,6.95147925,2015-08-10 20:21:38+00:00,2015-08-11 16:16:19+00:00,0 days 19:54:41,4192.742805999044
24,cluster-3_location-30,54.069298,7.0273330000000005,2015-11-03 13:21:33+00:00,2015-11-04 05:10:05+00:00,0 days 15:48:32,2752.3506473205243
25,cluster-3_location-31,54.07483333333334,7.015634333333334,2015-11-07 05:54:57+00:00,2015-11-11 21:39:16+00:00,4 days 15:44:19,2564.5556461544033
26,cluster-3_location-32,54.080670000000005,7.004500000000001,2015-11-13 04:47:43+00:00,2015-11-22 22:52:06+00:00,9 days 18:04:23,2782.5291799777046
27,cluster-3_location-33,54.09317,6.983333,2015-11-29 06:07:12+00:00,2015-12-01 11:14:59+00:00,2 days 05:07:47,4052.782351594699
28,cluster-3_location-34,54.08767,7.079833999999999,2015-12-17 12:08:08+00:00,2015-12-27 12:25:35+00:00,10 days 00:17:27,6740.013853022909
29,cluster-3_location-35,54.09383,7.069,2016-01-06 17:43:23+00:00,2016-01-11 13:08:21+00:00,4 days 19:24:58,6545.992128707921
30,cluster-3_location-36,54.04333,6.99029225,2016-01-13 04:23:56+00:00,2016-01-13 21:16:05+00:00,0 days 16:52:09,1518.4470709863076
31,cluster-3_location-37,54.047000000000004,6.9835,2016-01-14 01:13:30+00:00,2016-01-14 19:20:14+00:00,0 days 18:06:44,1206.690453633994
32,cluster-3_location-38,54.05583,6.9669165,2016-01-17 17:05:36+00:00,2016-01-18 08:15:06+00:00,0 days 15:09:30,1560.7589172684734
33,cluster-3_location-39,54.06067000000001,6.957166999999999,2016-01-19 07:54:16+00:00,2016-01-21 00:25:33+00:00,1 days 16:31:17,2229.7211612378323
34,cluster-3_location-4,54.09316999999999,6.941055666666666,2015-08-18 03:09:53+00:00,2015-08-19 10:10:13+00:00,1 days 07:00:20,5167.337728564794
35,cluster-3_location-40,54.03183000000001,7.008809285714286,2016-01-21 10:14:24+00:00,2016-01-23 05:18:56+00:00,1 days 19:04:32,3035.321753882939
36,cluster-3_location-41,54.039329999999985,6.978987153846154,2016-01-24 12:09:43+00:00,2016-02-04 21:07:48+00:00,11 days 08:58:05,2107.7490492997886
37,cluster-3_location-42,54.04382999999999,6.972333,2016-02-12 17:23:20+00:00,2016-02-13 07:20:37+00:00,0 days 13:57:17,1893.190610433764
38,cluster-3_location-43,54.04910199999999,6.965466599999999,2016-02-13 12:12:31+00:00,2016-02-16 07:15:11+00:00,2 days 19:02:40,1868.5022298529516
39,cluster-3_location-44,54.05410666666666,6.954333000000001,2016-02-16 12:45:50+00:00,2016-02-16 18:26:11+00:00,0 days 05:40:21,2398.284103763657
40,cluster-3_location-45,54.0435,6.956167,2016-02-29 02:02:22+00:00,2016-02-29 15:26:43+00:00,0 days 13:24:21,2709.944041980514
41,cluster-3_location-46,54.02133,7.013000000000001,2016-03-05 14:21:45+00:00,2016-03-06 00:01:04+00:00,0 days 09:39:19,4222.3279256097085
42,cluster-3_location-47,54.012,7.005,2016-03-06 16:02:14+00:00,2016-03-07 00:26:29+00:00,0 days 08:24:15,5087.752917470698
43,cluster-3_location-48,54.009898,7.0464332,2016-03-16 06:06:07+00:00,2016-03-16 19:21:30+00:00,0 days 13:15:23,6374.689436684536
44,cluster-3_location-49,54.00169285714286,7.055166999999999,2016-03-17 00:25:58+00:00,2016-03-17 18:20:33+00:00,0 days 17:54:35,7449.832834133714
45,cluster-3_location-5,54.05716999999999,6.985360833333334,2015-08-19 16:00:14+00:00,2015-08-20 21:12:18+00:00,1 days 05:12:04,352.22558742199055
46,cluster-3_location-50,53.99932999999999,7.066809285714286,2016-03-21 01:03:44+00:00,2016-03-22 04:22:34+00:00,1 days 03:18:50,8110.349269054777
47,cluster-3_location-51,54.0265,6.958833,2016-03-23 01:15:10+00:00,2016-03-23 19:05:13+00:00,0 days 17:50:03,3978.8851041898183
48,cluster-3_location-52,54.03185428571429,6.950667000000001,2016-03-24 09:16:06+00:00,2016-03-24 21:04:28+00:00,0 days 11:48:22,3828.2415430090573
49,cluster-3_location-53,54.03767,6.941167,2016-03-25 07:01:49+00:00,2016-03-25 16:20:07+00:00,0 days 09:18:18,3884.474995511925
50,cluster-3_location-54,54.021,6.942333,2016-04-01 10:20:52+00:00,2016-04-02 08:18:37+00:00,0 days 21:57:45,5099.357745673947
