index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,cluster-8_location-0,53.857968125,1.91610425,2018-04-26 10:16:31+00:00,2019-04-12 18:10:42+00:00,351 days 07:54:11,14139.218053002027
1,cluster-8_location-1,53.83389999999999,1.9435002000000001,2018-04-27 19:12:36+00:00,2018-05-04 10:09:15+00:00,6 days 14:56:39,17238.467386757457
2,cluster-8_location-10,53.88990555555556,1.922555888888889,2018-05-14 20:04:31+00:00,2019-03-20 03:09:03+00:00,309 days 07:04:32,12635.668199380543
3,cluster-8_location-100,53.939105000000005,1.4585885,2021-07-30 01:06:50+00:00,2021-07-30 06:10:02+00:00,0 days 05:03:12,18872.23800822792
4,cluster-8_location-101,53.93523625,1.485701125,2021-07-31 23:48:42+00:00,2021-08-01 06:42:55+00:00,0 days 06:54:13,17097.693353474646
5,cluster-8_location-102,54.00187444444444,1.6810246666666666,2021-08-05 12:10:15+00:00,2021-08-07 01:59:29+00:00,1 days 13:49:14,8413.695290654294
6,cluster-8_location-103,54.00113333333334,1.7090033333333334,2021-08-07 14:58:15+00:00,2021-08-09 09:11:36+00:00,1 days 18:13:21,7562.3545807005685
7,cluster-8_location-104,53.99963666666667,1.7260253333333333,2021-08-09 22:57:51+00:00,2021-08-10 16:10:26+00:00,0 days 17:12:35,7110.658324854682
8,cluster-8_location-105,53.99869666666666,1.7539946666666666,2021-08-10 22:34:04+00:00,2021-08-11 11:28:29+00:00,0 days 12:54:25,6889.758415714282
9,cluster-8_location-106,53.97562236363637,1.7850866545454542,2021-08-24 06:37:17+00:00,2021-08-27 09:27:44+00:00,3 days 02:50:27,4980.892976876863
10,cluster-8_location-107,53.98731142857143,1.8513844285714285,2021-08-28 09:42:17+00:00,2021-08-28 18:09:38+00:00,0 days 08:27:21,8842.265644824036
11,cluster-8_location-108,53.98556525641025,1.7748276153846154,2021-08-28 20:02:09+00:00,2021-09-02 15:05:21+00:00,4 days 19:03:12,5714.220224230933
12,cluster-8_location-109,53.97734818181818,1.8254683636363638,2021-09-02 17:16:21+00:00,2021-09-03 14:02:52+00:00,0 days 20:46:31,6832.8130898184245
13,cluster-8_location-11,53.86941222222222,1.9033333333333333,2018-05-15 07:11:16+00:00,2019-04-13 21:17:45+00:00,333 days 14:06:29,12701.281951130404
14,cluster-8_location-110,53.98700307692308,1.8946815384615385,2021-09-06 02:15:26+00:00,2021-09-06 14:46:47+00:00,0 days 12:31:21,11160.301562777731
15,cluster-8_location-111,53.95782375,2.012686375,2021-09-12 12:38:29+00:00,2021-09-12 22:38:19+00:00,0 days 09:59:50,17549.821404379203
16,cluster-8_location-112,53.97484333333333,1.9139853333333334,2021-09-15 10:17:17+00:00,2021-09-16 00:52:04+00:00,0 days 14:34:47,11719.96127762592
