index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,cluster-11_location-0,51.5911742105263,2.9994999999999994,2018-10-31 14:01:01+00:00,2018-11-20 13:03:16+00:00,19 days 23:02:15,12998.474010887448
1,cluster-11_location-1,51.74249999999999,3.0651113333333333,2020-04-10 18:15:11+00:00,2020-04-12 05:05:32+00:00,1 days 10:50:21,4600.219258593897
2,cluster-11_location-10,51.74683000000002,3.094499999999999,2020-05-04 05:18:45+00:00,2020-05-06 10:07:09+00:00,2 days 04:48:24,5513.4580909520855
3,cluster-11_location-11,51.736329999999995,3.081484818181818,2020-05-06 15:05:47+00:00,2020-05-07 12:02:49+00:00,0 days 20:57:02,4106.265230673772
4,cluster-11_location-12,51.78703777777778,3.078167,2020-05-14 09:13:19+00:00,2020-05-15 15:04:50+00:00,1 days 05:51:31,9605.072531165453
5,cluster-11_location-13,51.80017,3.0615,2020-05-15 21:00:51+00:00,2020-05-16 15:16:27+00:00,0 days 18:15:36,11012.095454502625
6,cluster-11_location-14,51.777113333333325,3.0863219333333345,2020-05-16 21:09:57+00:00,2020-05-17 18:12:30+00:00,0 days 21:02:33,8593.766064437872
7,cluster-11_location-15,51.770999999999994,3.072167,2020-05-17 22:05:00+00:00,2020-05-18 19:22:50+00:00,0 days 21:17:50,7791.20720827159
8,cluster-11_location-16,51.7235,3.121062625,2020-05-23 23:06:39+00:00,2020-05-25 05:05:14+00:00,1 days 05:58:35,4686.748489376806
9,cluster-11_location-17,51.695330000000006,3.125988866666666,2020-05-25 11:12:14+00:00,2020-05-26 06:15:50+00:00,0 days 19:03:36,4361.994794999302
10,cluster-11_location-18,51.71450000000001,3.1206669999999996,2020-05-26 12:05:05+00:00,2020-05-27 07:14:08+00:00,0 days 19:09:03,4216.470533945059
11,cluster-11_location-19,51.671,3.0804895625,2020-05-27 10:01:40+00:00,2020-05-28 09:20:23+00:00,0 days 23:18:43,3552.857804776568
12,cluster-11_location-2,51.75179952380953,3.0499999999999994,2020-04-12 10:08:35+00:00,2020-04-14 12:15:35+00:00,2 days 02:07:00,5707.830737472046
13,cluster-11_location-20,51.65849999999999,3.100667,2020-06-01 12:16:20+00:00,2020-06-02 14:06:17+00:00,1 days 01:49:57,5393.242087581177
14,cluster-11_location-21,51.62117,3.107845846153846,2020-06-02 17:02:28+00:00,2020-06-03 11:00:57+00:00,0 days 17:58:29,9406.291486998334
15,cluster-11_location-22,51.70463838709678,3.12490035483871,2020-06-03 13:19:36+00:00,2020-06-05 07:11:30+00:00,1 days 17:51:54,4256.167763957466
16,cluster-11_location-23,51.6519084,3.11377942,2020-06-05 09:19:59+00:00,2020-06-07 11:04:19+00:00,2 days 01:44:20,6483.87405992602
17,cluster-11_location-24,51.58406625,3.0362682500000004,2020-06-11 19:07:05+00:00,2020-06-12 18:12:37+00:00,0 days 23:05:32,13152.245547126246
18,cluster-11_location-25,51.59720105263158,3.0465966315789474,2020-06-12 21:00:30+00:00,2020-06-13 15:16:57+00:00,0 days 18:16:27,11615.797798375785
19,cluster-11_location-26,51.613272105263164,3.048555210526316,2020-06-13 18:05:48+00:00,2020-06-14 12:09:25+00:00,0 days 18:03:37,9824.289787191457
20,cluster-11_location-27,51.625512727272735,3.051661590909091,2020-06-14 14:19:45+00:00,2020-06-15 11:15:04+00:00,0 days 20:55:19,8448.563773390235
21,cluster-11_location-28,51.60675200000001,3.0277298,2020-06-19 16:15:49+00:00,2020-06-20 11:10:13+00:00,0 days 18:54:24,10780.351902065127
22,cluster-11_location-29,51.62094599999999,3.02842725,2020-06-20 12:22:15+00:00,2020-06-21 07:10:29+00:00,0 days 18:48:14,9237.944638192885
23,cluster-11_location-3,51.765787894736846,3.051333,2020-04-14 15:00:51+00:00,2020-04-16 06:07:10+00:00,1 days 15:06:19,7236.044421793761
24,cluster-11_location-30,51.6358219047619,3.0346706190476187,2020-06-21 09:06:17+00:00,2020-06-22 05:14:09+00:00,0 days 20:07:52,7528.6875841823485
25,cluster-11_location-31,51.69628909090909,3.0506358181818185,2020-06-22 08:10:10+00:00,2020-06-23 05:05:48+00:00,0 days 20:55:38,1031.8285957176652
