index,location_key,latitude,longitude,start,end,duration,distance_centroid
0,location_0,53.857968125,1.91610425,2018-04-26 10:16:31+00:00,2019-04-12 18:10:42+00:00,351 days 07:54:11,12459.321587255632
1,location_1,53.83389999999999,1.9435002000000001,2018-04-27 19:12:36+00:00,2018-05-04 10:09:15+00:00,6 days 14:56:39,15599.833166984068
2,location_10,53.86941222222222,1.9033333333333333,2018-05-15 07:11:16+00:00,2019-04-13 21:17:45+00:00,333 days 14:06:29,10996.315795226305
3,location_100,53.975518301886794,1.4615506603773583,2021-07-11 13:12:04+00:00,2021-07-22 12:06:58+00:00,10 days 22:54:54,20975.940848011367
4,location_101,53.93877153846153,1.6014827692307692,2021-07-13 19:24:30+00:00,2021-07-15 12:10:35+00:00,1 days 16:46:05,11286.298836489297
5,location_102,53.94938148148149,1.5139498148148147,2021-07-15 15:06:18+00:00,2021-07-16 18:04:11+00:00,1 days 02:57:53,17097.949537715383
6,location_103,53.96276380952381,1.4545557142857142,2021-07-22 13:01:59+00:00,2021-07-23 11:00:58+00:00,0 days 21:58:59,21150.339759227423
7,location_104,53.95313789473684,1.465708,2021-07-23 12:10:28+00:00,2021-07-24 07:02:23+00:00,0 days 18:51:55,20281.58403388235
8,location_105,53.95229636363636,1.4889911818181816,2021-07-24 10:03:50+00:00,2021-07-25 12:10:56+00:00,1 days 02:07:06,18757.473744708168
9,location_106,53.939105000000005,1.4585885,2021-07-30 01:06:50+00:00,2021-07-30 06:10:02+00:00,0 days 05:03:12,20630.399523978773
10,location_107,53.93129625,1.465039375,2021-07-30 20:51:50+00:00,2021-07-31 17:07:40+00:00,0 days 20:15:50,20195.524876402007
11,location_108,53.93523625,1.485701125,2021-07-31 23:48:42+00:00,2021-08-01 06:42:55+00:00,0 days 06:54:13,18845.014104456
12,location_109,54.00187444444444,1.6810246666666666,2021-08-05 12:10:15+00:00,2021-08-07 01:59:29+00:00,1 days 13:49:14,9838.536279526239
13,location_11,53.844985625,1.9724895625,2018-05-18 02:14:38+00:00,2019-04-08 10:02:03+00:00,325 days 07:47:25,16243.553694657787
14,location_110,54.000634444444444,1.7146773333333334,2021-08-07 14:58:15+00:00,2021-08-10 16:10:26+00:00,3 days 01:12:11,8537.271446553088
15,location_111,53.99869666666666,1.7539946666666666,2021-08-10 22:34:04+00:00,2021-08-11 11:28:29+00:00,0 days 12:54:25,7514.1416218409595
16,location_112,53.97562236363637,1.7850866545454542,2021-08-24 06:37:17+00:00,2021-08-27 09:27:44+00:00,3 days 02:50:27,4897.764168190297
17,location_113,53.98731142857143,1.8513844285714285,2021-08-28 09:42:17+00:00,2021-08-28 18:09:38+00:00,0 days 08:27:21,7976.854525180377
18,location_114,53.98556525641025,1.7748276153846154,2021-08-28 20:02:09+00:00,2021-09-02 15:05:21+00:00,4 days 19:03:12,5945.202512824953
19,location_115,53.97734818181818,1.8254683636363638,2021-09-02 17:16:21+00:00,2021-09-03 14:02:52+00:00,0 days 20:46:31,6071.292515614256
20,location_116,53.98700307692308,1.8946815384615385,2021-09-06 02:15:26+00:00,2021-09-06 14:46:47+00:00,0 days 12:31:21,10004.556564409937
21,location_117,53.979715,2.029763375,2021-09-07 04:37:39+00:00,2021-09-07 20:32:27+00:00,0 days 15:54:48,17581.163045595848
22,location_118,53.9733441025641,2.0452555384615385,2021-09-07 22:01:17+00:00,2021-09-09 13:10:07+00:00,1 days 15:08:50,18361.946787977966
23,location_119,53.95782375,2.012686375,2021-09-12 12:38:29+00:00,2021-09-12 22:38:19+00:00,0 days 09:59:50,15911.070621723115
24,location_12,53.85611714285714,1.9590472857142849,2018-05-19 08:19:41+00:00,2019-04-07 09:08:20+00:00,323 days 00:48:39,14804.338452622856
25,location_120,53.97484333333333,1.9139853333333334,2021-09-15 10:17:17+00:00,2021-09-16 00:52:04+00:00,0 days 14:34:47,10346.565485577037
26,location_121,53.97074866666666,1.8769234000000001,2021-09-18 12:57:57+00:00,2021-09-19 02:19:25+00:00,0 days 13:21:28,8015.088629407151
27,location_122,53.96694599999999,1.8368724,2021-09-19 10:31:45+00:00,2021-09-20 02:02:14+00:00,0 days 15:30:29,5673.9076874675975
28,location_123,53.956648333333334,1.8092800000000002,2021-09-20 14:39:23+00:00,2021-09-20 20:09:28+00:00,0 days 05:30:05,3595.000909941584
29,location_124,53.95641416666666,1.9750704166666664,2021-09-25 18:18:27+00:00,2021-09-26 13:20:07+00:00,0 days 19:01:40,13464.515049989837
30,location_125,53.9645275,1.925059,2021-09-26 15:02:05+00:00,2021-09-28 16:18:50+00:00,2 days 01:16:45,10551.414168667114
31,location_126,53.941826428571424,1.8238527142857142,2021-10-09 16:06:00+00:00,2021-10-10 10:13:20+00:00,0 days 18:07:20,3467.1654436569397
32,location_127,53.95893285714286,1.682047142857143,2021-10-12 13:20:33+00:00,2021-10-13 06:00:06+00:00,0 days 16:39:33,6688.821364061002
33,location_128,53.932443,1.9159609,2021-10-16 16:03:31+00:00,2021-10-17 04:18:55+00:00,0 days 12:15:24,9324.64190061258
34,location_129,53.942047142857135,1.678877142857143,2021-10-17 21:42:53+00:00,2021-10-18 03:01:03+00:00,0 days 05:18:10,6293.309976214855
35,location_13,53.897393333333326,1.9550135833333335,2018-05-19 20:19:25+00:00,2019-03-21 23:14:51+00:00,306 days 02:55:26,12497.101912292674
36,location_130,53.93124944444444,1.6378246666666667,2021-10-18 05:04:03+00:00,2021-10-19 05:22:52+00:00,1 days 00:18:49,8884.288178790566
37,location_131,53.84704512195122,1.6246305853658536,2021-10-27 03:48:42+00:00,2021-10-31 04:00:45+00:00,4 days 00:12:03,13589.081836945918
38,location_132,53.886660000000006,1.627445,2021-11-11 10:03:09+00:00,2021-11-11 22:28:36+00:00,0 days 12:25:27,10820.76709565694
39,location_133,53.90586666666667,1.634879,2021-11-12 00:04:16+00:00,2021-11-12 02:37:10+00:00,0 days 02:32:54,9536.610911576912
40,location_14,53.89864764705882,1.9951767647058825,2018-05-20 05:03:44+00:00,2019-03-23 15:13:23+00:00,307 days 10:09:39,14985.436607926145
41,location_15,53.90883,2.027833,2018-05-20 19:02:01+00:00,2018-05-21 01:15:28+00:00,0 days 06:13:27,16852.883938399216
42,location_16,53.83462066666667,1.8952002,2018-05-23 16:13:54+00:00,2019-04-17 22:14:57+00:00,329 days 06:01:03,13457.20913288094
43,location_17,53.845353333333335,1.8885742222222224,2018-05-25 00:18:06+00:00,2019-04-15 04:08:40+00:00,325 days 03:50:34,12243.184210306234
44,location_18,53.84338666666667,2.016833,2018-05-28 10:12:31+00:00,2018-05-28 13:03:38+00:00,0 days 02:51:07,18750.072023453864
45,location_19,53.85317,2.004167,2018-05-28 20:18:47+00:00,2018-05-29 05:04:25+00:00,0 days 08:45:38,17477.12438516059
46,location_2,53.83375,1.9886514545454548,2018-04-29 22:12:46+00:00,2019-04-05 18:11:30+00:00,340 days 19:58:44,17844.17094196579
47,location_20,53.897169999999996,2.082167,2018-06-02 04:13:46+00:00,2018-06-02 11:20:00+00:00,0 days 07:06:14,20583.654370641496
