index,location_key,latitude,longitude,start,end,duration,distance_centroid
0,location_0,54.08033599999999,6.9834668,2015-08-06 06:11:20+00:00,2016-05-21 11:09:04+00:00,289 days 04:57:44,3198.613083316435
1,location_1,54.086830000000006,6.972499999999998,2015-08-08 15:20:11+00:00,2015-08-09 10:02:53+00:00,0 days 18:42:42,4009.834392578015
2,location_10,54.05116999999999,6.9965,2015-09-20 10:21:33+00:00,2015-09-20 18:27:46+00:00,0 days 08:06:13,713.2008686925697
3,location_11,54.08149999999999,7.048167000000001,2015-09-25 14:24:41+00:00,2015-09-26 03:22:08+00:00,0 days 12:57:27,5265.491058436625
4,location_12,54.05717,7.027833,2015-09-30 09:25:00+00:00,2015-10-01 00:19:26+00:00,0 days 14:54:26,2825.556167632977
5,location_13,54.06316999999999,7.017,2015-10-01 10:10:17+00:00,2015-10-01 20:10:37+00:00,0 days 10:00:20,2420.0040872495297
6,location_14,54.068830000000005,7.0054666,2015-10-02 05:08:04+00:00,2015-10-02 23:20:41+00:00,0 days 18:12:37,2313.668728571059
7,location_15,54.07483,6.9951002,2015-10-03 03:12:31+00:00,2015-10-04 12:22:30+00:00,1 days 09:09:59,2656.718804965269
8,location_16,54.05117,7.017667,2015-10-09 13:47:12+00:00,2015-10-10 10:11:51+00:00,0 days 20:24:39,2093.8969428625237
9,location_17,54.057170000000006,7.006666999999998,2015-10-10 16:07:30+00:00,2015-10-16 12:02:56+00:00,5 days 19:55:26,1508.3523005881325
10,location_18,54.063,6.995333,2015-10-17 10:13:31+00:00,2015-10-18 00:17:00+00:00,0 days 14:03:29,1418.1873319510787
11,location_19,54.06883,6.984334,2015-10-18 10:03:18+00:00,2015-10-18 22:24:46+00:00,0 days 12:21:28,1917.9526148139719
12,location_2,54.08683,6.95147925,2015-08-10 20:21:38+00:00,2015-08-11 16:16:19+00:00,0 days 19:54:41,4506.071258929004
13,location_20,54.07483,6.973332999999999,2015-10-21 17:27:05+00:00,2015-10-23 13:28:30+00:00,1 days 20:01:25,2704.515766253591
14,location_21,54.08067,6.962167,2015-10-23 23:18:06+00:00,2015-10-24 04:00:17+00:00,0 days 04:42:11,3576.0960345797225
15,location_22,54.08067,7.025667,2015-10-30 02:18:38+00:00,2015-11-01 02:12:44+00:00,1 days 23:54:06,4157.75507861273
16,location_23,54.06317000000001,7.0379999999999985,2015-11-02 10:14:53+00:00,2015-11-03 09:18:59+00:00,0 days 23:04:06,3654.230722142916
17,location_24,54.069298,7.0273330000000005,2015-11-03 13:21:33+00:00,2015-11-04 05:10:05+00:00,0 days 15:48:32,3360.451934012559
18,location_25,54.07483333333334,7.015634333333334,2015-11-07 05:54:57+00:00,2015-11-11 21:39:16+00:00,4 days 15:44:19,3243.0888110066694
19,location_26,54.080670000000005,7.004500000000001,2015-11-13 04:47:43+00:00,2015-11-22 22:52:06+00:00,9 days 18:04:23,3460.028149396366
20,location_27,54.04333,6.99029225,2016-01-13 04:23:56+00:00,2016-01-13 21:16:05+00:00,0 days 16:52:09,969.0200863155327
21,location_28,54.047000000000004,6.9835,2016-01-14 01:13:30+00:00,2016-01-14 19:20:14+00:00,0 days 18:06:44,529.2538165458808
22,location_29,54.05583,6.9669165,2016-01-17 17:05:36+00:00,2016-01-18 08:15:06+00:00,0 days 15:09:30,1307.1391733546661
23,location_3,54.05716999999999,6.985360833333334,2015-08-19 16:00:14+00:00,2015-08-20 21:12:18+00:00,1 days 05:12:04,619.8355679293743
24,location_30,54.06067000000001,6.957166999999999,2016-01-19 07:54:16+00:00,2016-01-21 00:25:33+00:00,1 days 16:31:17,2112.2403597446028
25,location_31,54.03183000000001,7.008809285714286,2016-01-21 10:14:24+00:00,2016-01-23 05:18:56+00:00,1 days 19:04:32,2669.852997400901
26,location_32,54.039329999999985,6.978987153846154,2016-01-24 12:09:43+00:00,2016-02-04 21:07:48+00:00,11 days 08:58:05,1430.7464373002854
27,location_33,54.04382999999999,6.972333,2016-02-12 17:23:20+00:00,2016-02-13 07:20:37+00:00,0 days 13:57:17,1223.1112194840427
28,location_34,54.04910199999999,6.965466599999999,2016-02-13 12:12:31+00:00,2016-02-16 07:15:11+00:00,2 days 19:02:40,1343.1934200770947
29,location_35,54.05410666666666,6.954333000000001,2016-02-16 12:45:50+00:00,2016-02-16 18:26:11+00:00,0 days 05:40:21,2059.87906755758
30,location_36,54.0435,6.956167,2016-02-29 02:02:22+00:00,2016-02-29 15:26:43+00:00,0 days 13:24:21,2121.929502732213
31,location_37,54.02133,7.013000000000001,2016-03-05 14:21:45+00:00,2016-03-06 00:01:04+00:00,0 days 09:39:19,3811.6874608958447
32,location_38,54.012,7.005,2016-03-06 16:02:14+00:00,2016-03-07 00:26:29+00:00,0 days 08:24:15,4581.7299829360345
33,location_39,54.009898,7.0464332,2016-03-16 06:06:07+00:00,2016-03-16 19:21:30+00:00,0 days 13:15:23,6106.180735564576
34,location_4,54.063,6.97445825,2015-08-21 06:07:55+00:00,2015-08-22 01:08:30+00:00,0 days 19:00:35,1461.609629133613
35,location_40,54.00169285714286,7.055166999999999,2016-03-17 00:25:58+00:00,2016-03-17 18:20:33+00:00,0 days 17:54:35,7172.227198237258
36,location_41,53.99932999999999,7.066809285714286,2016-03-21 01:03:44+00:00,2016-03-22 04:22:34+00:00,1 days 03:18:50,7868.705954354914
37,location_42,54.0265,6.958833,2016-03-23 01:15:10+00:00,2016-03-23 19:05:13+00:00,0 days 17:50:03,3292.817817233667
38,location_43,54.03185428571429,6.950667000000001,2016-03-24 09:16:06+00:00,2016-03-24 21:04:28+00:00,0 days 11:48:22,3165.691983000456
39,location_44,54.03767,6.941167,2016-03-25 07:01:49+00:00,2016-03-25 16:20:07+00:00,0 days 09:18:18,3288.3919034055593
40,location_45,54.021,6.942333,2016-04-01 10:20:52+00:00,2016-04-02 08:18:37+00:00,0 days 21:57:45,4422.446411552499
41,location_46,54.01417,6.942,2016-04-02 18:02:27+00:00,2016-04-03 03:09:56+00:00,0 days 09:07:29,5042.550036772733
42,location_47,54.0215,6.967062625,2016-04-03 10:04:13+00:00,2016-04-04 05:28:50+00:00,0 days 19:24:37,3558.85732572524
43,location_48,54.021623636363636,6.955136636363637,2016-04-06 09:17:00+00:00,2016-04-08 05:00:24+00:00,1 days 19:43:24,3881.4250641813246
44,location_49,54.01183000000001,6.950999999999999,2016-04-09 03:13:39+00:00,2016-04-09 19:05:11+00:00,0 days 15:51:32,4965.824863115371
45,location_5,54.06799999999999,6.965000000000001,2015-08-22 07:17:43+00:00,2015-08-24 01:15:56+00:00,1 days 17:58:13,2265.809198775552
46,location_50,54.00071,6.9415,2016-04-10 02:08:27+00:00,2016-04-10 08:08:37+00:00,0 days 06:00:10,6349.38855370563
47,location_51,53.99417,6.940333,2016-04-13 08:03:21+00:00,2016-04-14 14:14:55+00:00,1 days 06:11:34,7037.022963888857
48,location_52,53.9945,6.9568330000000005,2016-04-16 20:08:15+00:00,2016-04-17 18:08:57+00:00,0 days 22:00:42,6621.182727776155
49,location_53,54.003,6.9962085,2016-04-25 22:04:27+00:00,2016-04-26 09:16:47+00:00,0 days 11:12:20,5448.049972262542
50,location_54,53.998659999999994,7.003999999999999,2016-04-30 20:12:04+00:00,2016-05-01 16:03:47+00:00,0 days 19:51:43,6007.846005321958
