index,location_key,latitude,longitude,start,end,duration,distance_centroid
0,location_0,54.02583525,6.567589624999999,2018-02-23 01:02:12+00:00,2018-03-14 12:00:59+00:00,19 days 10:58:47,1817.1319435848063
1,location_1,54.01845255319149,6.567753361702128,2018-03-04 11:08:50+00:00,2018-03-07 17:00:16+00:00,3 days 05:51:26,2442.5738390871843
2,location_10,54.04214727272727,6.5544330909090895,2018-04-14 05:14:37+00:00,2018-04-15 05:06:05+00:00,0 days 23:51:28,802.7957243296863
3,location_11,54.043003703703704,6.5410507777777775,2018-04-15 12:39:59+00:00,2018-04-17 05:16:10+00:00,1 days 16:36:11,802.0268084357831
4,location_12,54.00696017543859,6.516125421052632,2018-04-17 09:42:18+00:00,2019-03-10 02:04:28+00:00,326 days 16:22:10,3848.500388130479
5,location_13,54.04327894736842,6.528104228070176,2018-04-21 22:02:04+00:00,2018-04-27 08:21:14+00:00,5 days 10:19:10,1420.2521750368987
6,location_14,54.042398181818186,6.515956181818183,2018-04-27 10:01:44+00:00,2018-04-28 10:14:50+00:00,1 days 00:13:06,2104.212012033356
7,location_15,54.05155583333334,6.527460833333333,2018-04-28 14:04:45+00:00,2018-04-29 13:00:00+00:00,0 days 22:55:15,2083.1452454482032
8,location_16,54.05829104166667,6.527889708333333,2018-04-29 15:17:06+00:00,2018-05-05 22:07:19+00:00,6 days 06:50:13,2706.6802258007815
9,location_17,54.0452684375,6.57807384375,2018-05-06 01:21:28+00:00,2018-05-07 08:21:43+00:00,1 days 07:00:15,2270.083577278898
10,location_18,54.04323875,6.590850708333334,2018-05-07 10:05:31+00:00,2018-05-10 04:13:10+00:00,2 days 18:07:39,2981.8225653922614
11,location_19,54.04351575757576,6.604779,2018-05-08 01:15:56+00:00,2018-05-09 15:10:09+00:00,1 days 13:54:13,3875.3635908057686
12,location_2,54.018730000000005,6.555397599999999,2018-03-08 05:06:17+00:00,2018-03-09 20:12:27+00:00,1 days 15:06:10,2065.3969641913604
13,location_20,54.03438068965517,6.553845672413793,2018-05-15 17:37:56+00:00,2018-05-18 14:02:11+00:00,2 days 20:24:15,531.3200182847467
14,location_21,54.027434375,6.5425294375,2018-05-18 18:38:19+00:00,2018-09-01 10:29:02+00:00,105 days 15:50:43,1050.7811186737706
15,location_22,54.019812807017544,6.5421931578947365,2018-05-21 23:15:01+00:00,2018-05-30 09:29:16+00:00,8 days 10:14:15,1886.048027261343
16,location_23,54.01544285714285,6.529455821428573,2018-05-22 14:17:57+00:00,2018-05-28 08:00:37+00:00,5 days 17:42:40,2603.386896977744
17,location_24,54.00714657534247,6.528097027397261,2018-05-23 09:06:04+00:00,2018-05-26 11:18:26+00:00,3 days 02:12:22,3488.696778137417
18,location_25,54.007177777777784,6.541445055555555,2018-05-26 13:09:29+00:00,2018-05-27 07:18:30+00:00,0 days 18:09:01,3286.149453211136
19,location_26,54.037710000000004,6.578555000000001,2018-06-04 03:12:37+00:00,2018-06-04 08:06:29+00:00,0 days 04:53:52,2089.3632633251977
20,location_27,54.03569388888888,6.5918725,2018-06-04 10:09:34+00:00,2018-06-05 03:00:39+00:00,0 days 16:51:05,2956.873980627513
21,location_28,54.03326730769231,6.566826192307691,2018-06-05 07:20:06+00:00,2018-06-06 13:05:14+00:00,1 days 05:45:08,1369.9845502408348
22,location_29,54.034688,6.528991250000002,2018-06-10 17:03:17+00:00,2018-06-11 14:20:37+00:00,0 days 21:17:20,1169.9886815082145
