index,location_key,latitude,longitude,start,end,duration,distance_centroid
0,location_0,54.35290625000001,6.0193675625,2010-06-06 16:14:09+00:00,2012-03-24 19:13:00+00:00,657 days 02:58:51,3099.342917123202
1,location_1,54.34550933333333,6.019310222222221,2010-06-15 10:00:47+00:00,2012-03-10 04:10:00+00:00,633 days 18:09:13,2573.2888387582584
2,location_10,54.30675307692308,6.019035038461539,2010-09-22 12:52:29+00:00,2011-11-14 21:13:00+00:00,418 days 08:20:31,3620.816176326159
3,location_11,54.331191604938276,6.005790358024691,2010-10-02 12:33:55+00:00,2012-09-09 09:03:00+00:00,707 days 20:29:05,1302.3279405779879
4,location_12,54.3140388,5.999353,2010-10-10 16:11:17+00:00,2010-10-13 22:23:36+00:00,3 days 06:12:19,2278.4469045738233
5,location_13,54.33864200000001,5.9896298,2010-10-31 06:35:14+00:00,2012-08-12 12:16:00+00:00,651 days 05:40:46,673.832895848758
6,location_14,54.347914,6.005818,2010-12-21 20:40:16+00:00,2012-02-11 09:24:00+00:00,416 days 12:43:44,2102.193074145946
7,location_15,54.322258695652174,5.996165282608695,2011-05-20 12:53:00+00:00,2012-06-26 22:33:00+00:00,403 days 09:40:00,1363.8887375683273
8,location_16,54.30461219512195,5.979921390243902,2011-05-21 00:04:00+00:00,2012-08-25 06:08:00+00:00,462 days 06:04:00,3178.0880228384976
9,location_17,54.33045571428572,5.9929184285714285,2011-06-10 17:05:00+00:00,2011-06-11 00:01:00+00:00,0 days 06:56:00,532.3501630080523
10,location_18,54.32137649484537,5.9798484536082475,2011-06-12 18:11:00+00:00,2012-09-02 20:06:00+00:00,448 days 01:55:00,1349.0264351541382
11,location_19,54.346772792792784,5.986729108108109,2011-06-20 22:08:00+00:00,2013-06-04 16:23:00+00:00,714 days 18:15:00,1534.8719148742064
12,location_2,54.339570492957755,6.005891077464789,2010-06-23 00:34:51+00:00,2012-03-25 22:14:00+00:00,641 days 21:39:09,1486.8328879967062
13,location_20,54.34601369565217,5.970246934782609,2011-06-26 08:54:00+00:00,2013-06-10 16:29:00+00:00,715 days 07:35:00,1770.9018995886897
14,location_21,54.32855966666667,5.957171166666668,2011-06-27 01:23:00+00:00,2011-10-15 15:02:00+00:00,110 days 13:39:00,1928.835300182249
15,location_22,54.32952027777778,5.976127680555555,2011-06-28 09:04:00+00:00,2012-10-29 22:12:00+00:00,489 days 13:08:00,743.2382959999478
16,location_23,54.30316375000001,5.953766083333334,2011-07-04 20:04:00+00:00,2012-02-04 19:55:00+00:00,214 days 23:51:00,3917.146187510873
17,location_24,54.325403614457834,5.9406689397590355,2011-07-06 23:44:00+00:00,2013-06-07 17:02:00+00:00,701 days 17:18:00,3053.747480394649
18,location_25,54.31213081081081,5.963559283783783,2011-07-10 21:04:00+00:00,2012-07-03 06:02:00+00:00,358 days 08:58:00,2734.8698845330177
19,location_26,54.36053499999999,6.019360770833334,2011-07-14 06:04:00+00:00,2012-10-19 11:16:00+00:00,463 days 05:12:00,3752.64517248924
20,location_27,54.310111666666664,5.9405847833333345,2011-07-19 17:49:00+00:00,2012-08-04 10:19:00+00:00,381 days 16:30:00,3887.9144061264738
21,location_28,54.36817527777777,6.019370486111111,2011-07-26 02:07:00+00:00,2012-11-15 16:16:00+00:00,478 days 14:09:00,4473.543060190239
22,location_29,54.37585555555556,6.019335055555556,2011-08-01 08:43:00+00:00,2012-11-10 07:04:00+00:00,466 days 22:21:00,5236.034352802246
23,location_3,54.33767522727273,6.0193635,2010-07-07 19:05:50+00:00,2010-07-12 03:41:02+00:00,4 days 08:35:12,2229.050136817621
24,location_30,54.38348846153848,6.019370153846154,2011-08-02 08:36:00+00:00,2012-06-08 08:16:00+00:00,310 days 23:40:00,6019.865903821166
25,location_31,54.33787289473685,5.973391210526315,2011-08-18 04:50:00+00:00,2012-05-18 11:15:00+00:00,274 days 06:25:00,978.8235416165461
26,location_32,54.32033611111111,5.960339194444444,2011-09-02 02:26:00+00:00,2011-09-03 09:50:00+00:00,1 days 07:24:00,2175.1656992487765
27,location_33,54.31777392000001,5.940655992000001,2011-09-03 12:02:00+00:00,2013-05-27 18:19:00+00:00,632 days 06:17:00,3388.2975208136586
28,location_34,54.36266428571429,6.009421428571429,2011-09-09 10:49:00+00:00,2011-09-10 02:31:00+00:00,0 days 15:42:00,3635.024937796432
29,location_35,54.370843125,6.0062074375000005,2011-09-10 06:00:00+00:00,2012-08-12 05:54:00+00:00,336 days 23:54:00,4410.645111002799
30,location_36,54.38178714285714,6.009337428571429,2011-10-16 01:05:00+00:00,2012-12-01 07:00:00+00:00,412 days 05:55:00,5635.23026383603
31,location_37,54.36427029411765,5.996334176470589,2011-11-15 01:53:00+00:00,2011-11-17 10:16:00+00:00,2 days 08:23:00,3544.276433958155
32,location_38,54.371457500000005,5.9768704999999995,2012-03-22 04:29:00+00:00,2012-03-22 08:04:00+00:00,0 days 03:35:00,4319.001467636892
33,location_39,54.302466507936515,5.940564904761905,2012-06-10 18:55:00+00:00,2012-07-25 11:01:00+00:00,44 days 16:06:00,4491.164992865834
34,location_4,54.29846422222222,6.008159733333334,2010-07-10 08:30:32+00:00,2013-04-26 18:05:00+00:00,1021 days 09:34:28,4099.386917328514
35,location_40,54.30387153846155,5.96682226923077,2012-06-27 04:34:00+00:00,2012-11-27 19:11:00+00:00,153 days 14:37:00,3465.756670863671
36,location_41,54.354577500000005,5.980427375,2012-07-18 00:52:00+00:00,2012-07-21 10:40:00+00:00,3 days 09:48:00,2428.2825504829625
37,location_42,54.355115769230764,5.9533583269230785,2013-04-27 08:16:00+00:00,2013-05-01 20:07:00+00:00,4 days 11:51:00,3243.40152402933
38,location_43,54.344765,5.951091227272728,2013-05-02 03:07:00+00:00,2013-05-03 13:28:00+00:00,1 days 10:21:00,2611.74800837339
39,location_44,54.363671249999996,5.940690125,2013-05-04 12:28:00+00:00,2013-05-05 09:19:00+00:00,0 days 20:51:00,4499.885704615374
40,location_45,54.336716875,5.9541274375,2013-05-05 17:40:00+00:00,2013-05-06 20:01:00+00:00,1 days 02:21:00,2103.896709643794
41,location_46,54.33306888888889,5.940622833333334,2013-05-07 06:46:00+00:00,2013-05-09 05:31:00+00:00,1 days 22:45:00,2938.0680951256427
42,location_47,54.34071,5.9406507500000005,2013-05-11 06:34:00+00:00,2013-05-12 09:13:00+00:00,1 days 02:39:00,3059.2926117179427
43,location_48,54.35601666666666,5.940674866666667,2013-05-13 08:22:00+00:00,2013-05-16 05:12:00+00:00,2 days 20:50:00,3894.971223875719
44,location_5,54.32994367816093,6.019344850574711,2010-07-18 23:13:35+00:00,2012-05-26 13:12:00+00:00,677 days 13:58:25,2192.0683652863213
