index,location_key,latitude,longitude,start,end,duration,distance_centroid
0,location_0,51.55100000000001,3.0498155263157893,2018-08-06 00:22:18+00:00,2019-02-22 00:16:56+00:00,199 days 23:54:38,4003.731830256918
1,location_1,51.52783,3.0321670000000003,2018-08-07 20:20:59+00:00,2019-03-21 18:03:23+00:00,225 days 21:42:24,1559.8394800106068
2,location_10,51.53583,3.06,2018-09-10 17:11:53+00:00,2019-02-17 00:05:04+00:00,159 days 06:53:11,3660.3114856344027
3,location_11,51.533806000000006,3.025999999999999,2018-09-12 17:20:44+00:00,2019-02-25 04:02:46+00:00,165 days 10:42:02,1486.7261280448874
4,location_12,51.541500000000006,3.0241577222222222,2018-09-15 14:00:50+00:00,2019-02-05 19:02:13+00:00,143 days 05:01:23,2097.375605157398
5,location_13,51.5145,3.0198329999999998,2018-09-16 20:06:18+00:00,2019-02-18 15:05:50+00:00,154 days 18:59:32,1323.2042605792212
6,location_14,51.53828,2.997093875,2018-09-18 04:16:45+00:00,2019-03-27 10:13:09+00:00,190 days 05:56:24,1753.620511096131
7,location_15,51.5667,3.041,2018-09-23 01:03:26+00:00,2019-02-12 08:17:49+00:00,142 days 07:14:23,5127.218070910833
8,location_16,51.50417,3.007333,2018-09-24 12:00:45+00:00,2019-04-08 09:17:16+00:00,195 days 21:16:31,2298.620805611431
9,location_17,51.5335,3.011666999999999,2018-09-25 16:20:45+00:00,2019-02-11 16:18:44+00:00,138 days 23:57:59,976.6444322369459
10,location_18,51.50628999999999,2.95704175,2018-09-28 12:20:40+00:00,2019-04-19 09:03:12+00:00,202 days 20:42:32,4211.080709283755
11,location_19,51.50183000000001,2.9861780666666675,2018-09-29 02:14:28+00:00,2019-04-04 01:13:33+00:00,186 days 22:59:05,3042.9965057858076
12,location_2,51.513154150943414,2.990826735849057,2018-08-12 17:20:57+00:00,2018-10-10 05:18:31+00:00,58 days 11:57:34,1859.439876866732
13,location_20,51.52516999999999,2.9824814444444447,2018-09-30 08:06:08+00:00,2019-04-25 14:16:19+00:00,207 days 06:10:11,1915.6624020646252
14,location_21,51.54305666666667,3.052167,2018-10-05 00:04:40+00:00,2019-03-02 03:11:23+00:00,148 days 03:06:43,3546.409818948766
15,location_22,51.51149999999999,3.001667,2018-10-06 01:14:21+00:00,2019-04-15 20:02:17+00:00,191 days 18:47:56,1588.0366198629192
16,location_23,51.51067,2.986167,2018-10-07 20:13:21+00:00,2019-04-20 08:13:02+00:00,194 days 11:59:41,2283.4273492207753
17,location_24,51.54317000000002,3.067833,2018-10-10 08:06:32+00:00,2019-03-20 20:11:55+00:00,161 days 12:05:23,4483.193165598904
18,location_25,51.54465583333334,3.080167,2018-10-11 08:06:01+00:00,2019-03-18 18:08:43+00:00,158 days 10:02:42,5323.128749541537
19,location_26,51.51867,2.9930000000000003,2018-10-12 07:04:01+00:00,2019-03-28 13:12:22+00:00,167 days 06:08:21,1367.4046527625896
20,location_27,51.51417,2.952667,2018-10-15 09:07:16+00:00,2019-04-22 05:09:09+00:00,188 days 20:01:53,4149.091577346442
21,location_28,51.56267,3.0497085,2018-10-16 07:15:09+00:00,2019-02-24 04:03:37+00:00,130 days 20:48:28,5024.119651594024
22,location_29,51.530499999999996,3.0638330000000003,2018-10-17 12:05:25+00:00,2019-02-15 21:13:12+00:00,121 days 09:07:47,3767.0947501014516
23,location_3,51.50817,2.9471062727272725,2018-08-25 14:06:05+00:00,2019-04-18 23:07:42+00:00,236 days 09:01:37,4737.528074864426
24,location_30,51.51283,2.939667,2018-10-19 16:08:24+00:00,2019-04-18 06:08:52+00:00,180 days 14:00:28,5055.177861828171
25,location_31,51.52633000000001,2.971667,2018-10-20 05:02:48+00:00,2019-04-24 01:02:40+00:00,185 days 19:59:52,2668.941884376087
26,location_32,51.52216999999999,3.0413330000000003,2018-10-21 04:12:54+00:00,2019-02-18 07:00:13+00:00,120 days 02:47:19,2175.6849275689924
27,location_33,51.500499999999995,2.9590000000000005,2018-10-24 12:18:50+00:00,2019-03-31 00:07:46+00:00,157 days 11:48:56,4451.622692723809
28,location_34,51.4905,2.9743857368421054,2018-10-27 18:13:45+00:00,2019-04-06 12:18:08+00:00,160 days 18:04:23,4544.197547545746
29,location_35,51.49417,2.985333,2018-10-29 02:08:45+00:00,2019-04-07 08:15:08+00:00,160 days 06:06:23,3811.5720018816314
30,location_36,51.54533,3.007833,2018-10-31 07:15:20+00:00,2019-03-26 11:18:06+00:00,146 days 04:02:46,2292.206818436931
31,location_37,51.55667,3.0595,2018-11-02 13:20:17+00:00,2019-02-27 23:02:32+00:00,117 days 09:42:15,4922.049289689507
32,location_38,51.517075555555564,3.045962888888889,2018-11-03 09:07:57+00:00,2019-04-13 08:09:34+00:00,160 days 23:01:37,2620.3861718062103
33,location_39,51.50549999999999,3.018667,2018-11-03 21:16:59+00:00,2019-04-15 01:13:41+00:00,162 days 03:56:42,2221.702814105497
34,location_4,51.51700000000001,2.969,2018-08-28 01:05:17+00:00,2019-04-23 13:13:09+00:00,238 days 12:07:52,2976.1351786874816
35,location_40,51.55633,3.043833,2018-11-05 20:11:46+00:00,2019-02-23 06:20:53+00:00,109 days 10:09:07,4211.872358384215
