index,location_key,latitude,longitude,start,end,duration,distance_centroid
0,location_0,54.05357333333333,6.025127666666666,2015-07-01 02:17:27+00:00,2015-07-02 15:32:29+00:00,1 days 13:15:02,3864.8092235168187
1,location_1,54.065233846153845,6.018056153846154,2015-07-02 17:00:24+00:00,2015-07-03 19:01:12+00:00,1 days 02:00:48,4358.160281343976
2,location_10,54.01537625,6.0600605000000005,2015-07-18 06:31:43+00:00,2016-04-09 17:03:43+00:00,266 days 10:32:00,6015.648031872432
3,location_100,54.03127444444445,5.895415888888888,2016-07-22 03:10:44+00:00,2016-07-23 01:17:29+00:00,0 days 22:06:45,5190.4876017055185
4,location_101,54.028687777777776,5.911482111111111,2016-07-23 05:02:33+00:00,2016-07-23 22:16:18+00:00,0 days 17:13:45,4189.085581289446
5,location_102,54.033051538461535,5.9084034615384615,2016-07-26 06:20:48+00:00,2016-07-27 07:19:24+00:00,1 days 00:58:36,4329.496344967376
6,location_103,54.031079999999996,5.9240284,2016-07-27 15:19:40+00:00,2016-07-28 02:05:03+00:00,0 days 10:45:23,3336.9675145480605
7,location_104,54.02650142857142,5.926827428571428,2016-07-28 09:23:17+00:00,2016-07-28 19:23:36+00:00,0 days 10:00:19,3274.487907029345
8,location_105,54.015460000000004,5.932983428571428,2016-07-29 21:12:25+00:00,2016-07-30 14:27:53+00:00,0 days 17:15:28,3513.084602049265
9,location_106,54.03347,5.869120050000001,2016-08-03 07:20:57+00:00,2016-08-05 07:07:30+00:00,1 days 23:46:33,6890.009751282753
10,location_107,54.0566121875,5.829366,2016-08-07 04:21:16+00:00,2016-08-11 01:09:05+00:00,3 days 20:47:49,9766.285780939636
11,location_108,54.034780000000005,5.8398916666666665,2016-08-16 09:18:27+00:00,2016-08-16 20:06:47+00:00,0 days 10:48:20,8795.2985508034
12,location_109,54.04036227272727,5.832788863636363,2016-08-17 02:00:58+00:00,2016-08-18 17:26:12+00:00,1 days 15:25:14,9273.959106184613
13,location_11,54.010707142857136,6.023065,2015-07-18 21:20:13+00:00,2015-07-19 11:05:40+00:00,0 days 13:45:27,4199.134081163858
14,location_110,54.05043692307691,5.820293615384616,2016-08-19 23:00:07+00:00,2016-08-21 23:19:42+00:00,2 days 00:19:35,10208.963549291702
15,location_12,54.00474,6.0284365,2015-07-19 16:41:13+00:00,2015-07-20 07:20:40+00:00,0 days 14:39:27,4907.005297964724
16,location_13,54.031828000000004,6.0257046,2015-07-21 20:09:42+00:00,2015-07-22 11:04:37+00:00,0 days 14:54:55,3364.2476193564
17,location_14,54.028374285714285,6.0128261428571435,2015-07-22 15:28:21+00:00,2015-07-23 02:13:43+00:00,0 days 10:45:22,2620.977639562558
18,location_15,54.022686,6.0161596,2015-07-23 03:25:45+00:00,2015-07-23 17:14:11+00:00,0 days 13:48:26,3067.1724964274313
19,location_16,54.051290689655175,5.999336413793104,2015-07-26 09:41:18+00:00,2016-02-29 00:08:57+00:00,217 days 14:27:39,2387.401026782274
