index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,cluster-7_location-0,58.183,-2.8191381203007517,2016-08-05 01:02:15+00:00,2016-08-15 15:04:21+00:00,10 days 14:02:06,4336.663106549131
1,cluster-7_location-1,58.20617,-2.7644895625,2021-01-13 01:20:22+00:00,2021-01-16 23:15:12+00:00,3 days 21:54:50,1607.447949763319
2,cluster-7_location-10,58.22784888888888,-2.7881298888888892,2021-03-01 16:14:14+00:00,2021-03-02 20:15:45+00:00,1 days 04:01:31,1250.9829371368676
3,cluster-7_location-11,58.23734000000001,-2.7911670000000006,2021-03-03 02:04:04+00:00,2021-03-04 14:16:04+00:00,1 days 12:12:00,2318.999988021536
4,cluster-7_location-12,58.248,-2.7616669999999996,2021-03-05 05:15:14+00:00,2021-03-05 22:10:14+00:00,0 days 16:55:00,3665.4128141709098
5,cluster-7_location-13,58.25733,-2.7646669999999998,2021-03-08 12:18:07+00:00,2021-03-11 21:09:28+00:00,3 days 08:51:21,4611.922692539895
6,cluster-7_location-14,58.27700000000002,-2.737750000000001,2021-03-13 10:21:47+00:00,2021-03-16 11:13:37+00:00,3 days 00:51:50,7176.591998158857
7,cluster-7_location-15,58.27683,-2.7086669999999997,2021-03-17 05:12:05+00:00,2021-03-18 11:11:56+00:00,1 days 05:59:51,7944.22998708593
8,cluster-7_location-16,58.28817,-2.7085835,2021-03-18 18:07:16+00:00,2021-03-19 11:16:26+00:00,0 days 17:09:10,9029.162625037428
9,cluster-7_location-17,58.23737368421051,-2.7090000000000005,2021-03-22 14:04:06+00:00,2021-03-27 09:08:05+00:00,4 days 19:03:59,4878.2731547354515
10,cluster-7_location-18,58.24749999999999,-2.70885805,2021-03-28 01:00:55+00:00,2021-03-31 20:11:05+00:00,3 days 19:10:10,5499.403299083977
11,cluster-7_location-19,58.25767,-2.708833,2021-04-01 01:05:56+00:00,2021-04-02 09:13:55+00:00,1 days 08:07:59,6261.775274882493
12,cluster-7_location-2,58.20699451612906,-2.7914138064516125,2021-01-17 13:04:12+00:00,2021-01-22 21:17:50+00:00,5 days 08:13:38,1218.9085572030688
13,cluster-7_location-20,58.26717000000001,-2.7118568571428567,2021-04-02 18:07:45+00:00,2021-04-03 13:01:45+00:00,0 days 18:54:00,6955.880225731847
14,cluster-7_location-21,58.27783,-2.682333,2021-04-13 02:17:06+00:00,2021-04-13 21:10:47+00:00,0 days 18:53:41,8963.161145607883
15,cluster-7_location-22,58.267669999999995,-2.6825,2021-04-14 08:15:17+00:00,2021-04-15 07:02:56+00:00,0 days 22:47:39,8137.369840638719
16,cluster-7_location-23,58.256827272727286,-2.685667272727273,2021-04-15 10:07:47+00:00,2021-04-17 00:09:07+00:00,1 days 14:01:20,7207.1581332704955
17,cluster-7_location-24,58.25722714285714,-2.6560715714285714,2021-04-18 22:19:08+00:00,2021-04-20 22:08:08+00:00,1 days 23:49:00,8661.895317450306
18,cluster-7_location-25,58.226,-2.711730846153846,2021-04-26 08:04:06+00:00,2021-04-27 23:02:45+00:00,1 days 14:58:39,4278.565024122124
19,cluster-7_location-26,58.215999999999994,-2.711833,2021-04-28 04:00:26+00:00,2021-04-29 21:18:25+00:00,1 days 17:17:59,4154.816330962639
20,cluster-7_location-27,58.19683,-2.709333,2021-04-30 02:07:35+00:00,2021-04-30 11:06:16+00:00,0 days 08:58:41,4848.669223908277
21,cluster-7_location-28,58.166,-2.712667,2021-05-01 01:06:06+00:00,2021-05-01 23:01:36+00:00,0 days 21:55:30,6998.721432428301
22,cluster-7_location-3,58.1965,-2.8173331111111115,2021-01-23 12:11:32+00:00,2021-01-25 00:06:01+00:00,1 days 11:54:29,3046.5006305489514
23,cluster-7_location-4,58.197829999999996,-2.841,2021-01-25 04:11:41+00:00,2021-01-26 10:04:03+00:00,1 days 05:52:22,4021.2115892602815
24,cluster-7_location-5,58.207750000000004,-2.8144999999999993,2021-01-30 22:19:33+00:00,2021-01-31 08:11:44+00:00,0 days 09:52:11,2123.1356174865596
25,cluster-7_location-6,58.21800000000001,-2.8144999999999993,2021-01-31 17:12:03+00:00,2021-02-01 08:00:14+00:00,0 days 14:48:11,1863.0612377838288
26,cluster-7_location-7,58.228102631578956,-2.814495605263157,2021-02-01 18:10:24+00:00,2021-02-10 05:07:54+00:00,8 days 10:57:30,2233.950409226415
27,cluster-7_location-8,58.207327297297304,-2.844002256756757,2021-02-10 12:01:55+00:00,2021-02-24 23:06:26+00:00,14 days 11:04:31,3744.354154760863
28,cluster-7_location-9,58.21783,-2.788167,2021-02-28 12:07:05+00:00,2021-03-01 12:03:44+00:00,0 days 23:56:39,331.6419385308903
