index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,cluster-12_location-0,53.88699392857142,1.8856669999999998,2019-02-05 21:14:51+00:00,2019-02-11 12:20:41+00:00,5 days 15:05:50,2436.106245610107
1,cluster-12_location-1,53.89933,1.8714999999999997,2019-02-12 05:24:20+00:00,2019-02-15 14:13:12+00:00,3 days 08:48:52,3494.494923025037
2,cluster-12_location-10,53.86533,1.9934443333333334,2019-04-02 06:04:17+00:00,2019-04-02 11:01:57+00:00,0 days 04:57:40,5405.530417746145
3,cluster-12_location-11,53.85283,2.004333,2019-04-02 21:10:37+00:00,2019-04-03 15:06:17+00:00,0 days 17:55:40,6779.52155424067
4,cluster-12_location-12,53.842,2.0153998,2019-04-03 20:18:47+00:00,2019-04-04 14:12:37+00:00,0 days 17:53:50,8106.31634896979
5,cluster-12_location-13,53.887745,2.048167,2019-04-09 16:07:09+00:00,2019-04-11 01:16:18+00:00,1 days 09:09:09,8241.443946496394
6,cluster-12_location-14,53.83416999999999,1.908333,2019-04-11 13:04:09+00:00,2019-04-12 11:10:58+00:00,0 days 22:06:49,6285.744049312327
7,cluster-12_location-15,53.834,1.872833,2019-04-18 09:04:11+00:00,2019-04-19 15:12:19+00:00,1 days 06:08:08,7034.2854585956875
8,cluster-12_location-16,53.834,1.8483664000000002,2019-04-19 20:19:19+00:00,2019-04-20 13:16:11+00:00,0 days 16:56:52,7905.674850819425
9,cluster-12_location-17,53.83567,1.827833,2019-04-20 20:13:00+00:00,2019-04-21 16:12:41+00:00,0 days 19:59:41,8666.930264590548
10,cluster-12_location-18,53.836999999999996,1.8051670000000004,2019-04-21 18:07:09+00:00,2019-04-22 10:00:29+00:00,0 days 15:53:20,9695.474161994982
11,cluster-12_location-19,53.87217,1.807833,2019-04-25 12:00:15+00:00,2019-04-26 11:20:15+00:00,0 days 23:20:00,7773.347358170966
12,cluster-12_location-2,53.909694242424244,1.8579645757575758,2019-02-16 06:20:42+00:00,2019-02-22 02:15:13+00:00,5 days 19:54:31,4755.656672785441
13,cluster-12_location-20,53.8705425,1.828,2019-04-27 05:19:45+00:00,2019-04-28 00:18:04+00:00,0 days 18:58:19,6562.226299637071
14,cluster-12_location-21,53.85733,1.8403092857142855,2019-04-28 16:15:03+00:00,2019-04-29 08:16:44+00:00,0 days 16:01:41,6501.774791547855
15,cluster-12_location-22,53.870689999999996,1.8622915,2019-04-29 12:01:45+00:00,2019-04-30 06:18:54+00:00,0 days 18:17:09,4495.307047099735
16,cluster-12_location-23,53.923153,2.0951836,2019-05-06 12:06:26+00:00,2019-05-08 00:20:16+00:00,1 days 12:13:50,11896.362795300045
17,cluster-12_location-24,53.8865,2.0942038888888885,2019-05-08 04:13:25+00:00,2019-05-09 21:21:36+00:00,1 days 17:08:11,11261.498285128226
18,cluster-12_location-25,53.91983,1.807833,2019-05-10 03:22:17+00:00,2019-05-10 21:15:16+00:00,0 days 17:52:59,8205.893552472216
19,cluster-12_location-26,53.90800000000001,1.819167,2019-05-11 11:04:37+00:00,2019-05-12 04:13:37+00:00,0 days 17:09:00,7055.2965411498735
20,cluster-12_location-27,53.911932,2.1083330000000005,2019-05-14 23:17:48+00:00,2019-05-16 05:01:07+00:00,1 days 05:43:19,12416.737614670186
21,cluster-12_location-28,53.901424444444444,2.1184814444444444,2019-05-22 04:49:39+00:00,2019-05-23 03:11:59+00:00,0 days 22:22:20,12904.960854536115
22,cluster-12_location-29,53.89067,2.130523857142857,2019-05-23 08:13:38+00:00,2019-05-23 21:01:19+00:00,0 days 12:47:41,13634.128357762565
23,cluster-12_location-3,53.92067,1.8465,2019-02-22 12:04:38+00:00,2019-02-23 21:18:28+00:00,1 days 09:13:50,6027.881960136969
24,cluster-12_location-30,53.89233,2.145667,2019-05-24 06:21:59+00:00,2019-05-24 15:11:19+00:00,0 days 08:49:20,14628.160084059138
25,cluster-12_location-31,53.889329999999994,2.1718664,2019-05-25 07:17:38+00:00,2019-05-25 21:04:57+00:00,0 days 13:47:19,16343.653736048453
26,cluster-12_location-32,53.86883,2.1103330000000002,2019-06-09 11:20:25+00:00,2019-06-10 11:11:56+00:00,0 days 23:51:31,12538.736458231253
27,cluster-12_location-33,53.86017,2.1228785454545456,2019-06-10 21:08:57+00:00,2019-06-12 14:08:56+00:00,1 days 16:59:59,13552.216587407318
28,cluster-12_location-34,53.84016999999999,2.0588211428571426,2019-06-12 18:08:07+00:00,2019-06-14 18:20:57+00:00,2 days 00:12:50,10523.100460521197
29,cluster-12_location-35,53.84783,2.0957997999999995,2019-06-19 10:01:46+00:00,2019-06-19 21:07:16+00:00,0 days 11:05:30,12297.12336947718
30,cluster-12_location-36,53.85850000000001,2.1656669999999996,2019-06-20 04:17:35+00:00,2019-06-21 04:07:46+00:00,0 days 23:50:11,16325.216991438396
31,cluster-12_location-37,53.84667,2.175667,2019-06-21 09:06:17+00:00,2019-06-22 06:11:48+00:00,0 days 21:05:31,17288.512516217215
32,cluster-12_location-38,53.82672842105264,2.13409647368421,2019-06-29 07:14:32+00:00,2019-07-02 22:06:33+00:00,3 days 14:52:01,15564.14762180763
33,cluster-12_location-39,53.83200000000001,2.0428998,2019-07-08 02:19:25+00:00,2019-07-08 17:18:44+00:00,0 days 14:59:19,10201.92030231881
34,cluster-12_location-4,53.91817000000001,2.015833,2019-02-28 03:16:59+00:00,2019-03-02 10:18:10+00:00,2 days 07:01:11,6867.537047290773
35,cluster-12_location-40,53.89632999999999,2.080380714285714,2019-07-13 01:17:35+00:00,2019-07-13 22:18:04+00:00,0 days 21:00:29,10370.657133900775
36,cluster-12_location-41,53.876830000000005,2.022167,2019-07-14 15:18:44+00:00,2019-07-14 20:07:23+00:00,0 days 04:48:39,6698.404903430125
37,cluster-12_location-42,53.85183,2.046167,2019-07-16 09:20:55+00:00,2019-07-17 07:04:06+00:00,0 days 21:43:11,9157.45142217474
38,cluster-12_location-43,53.85167,1.729833,2019-08-02 09:10:08+00:00,2019-08-03 03:18:43+00:00,0 days 18:08:35,13332.172886997116
39,cluster-12_location-44,53.87104857142857,1.7576669999999999,2019-08-07 21:20:23+00:00,2019-08-09 00:10:59+00:00,1 days 02:50:36,11007.528747655093
40,cluster-12_location-45,53.88183,1.7233232352941177,2019-08-09 16:02:51+00:00,2019-08-13 01:10:24+00:00,3 days 09:07:33,13083.799800865047
41,cluster-12_location-46,53.87247166666668,1.733333,2019-08-13 03:09:19+00:00,2019-08-13 23:00:45+00:00,0 days 19:51:26,12550.64518388659
42,cluster-12_location-47,53.86303090909091,1.7436669999999999,2019-08-14 02:18:39+00:00,2019-08-15 19:06:05+00:00,1 days 16:47:26,12100.724041605445
43,cluster-12_location-48,53.91516,1.7763505789473684,2019-08-19 17:19:21+00:00,2019-08-23 12:17:48+00:00,3 days 18:58:27,9970.414992965409
44,cluster-12_location-49,53.90366999999999,1.789,2019-08-23 20:03:50+00:00,2019-08-24 11:00:00+00:00,0 days 14:56:10,8874.58966566895
45,cluster-12_location-5,53.92200000000001,1.9692752608695654,2019-03-02 12:03:38+00:00,2019-03-18 16:07:00+00:00,16 days 04:03:22,4690.200454320215
46,cluster-12_location-50,53.89283,1.7837618571428568,2019-08-24 17:10:02+00:00,2019-08-25 14:11:31+00:00,0 days 21:01:29,9094.52755691194
47,cluster-12_location-51,53.89167,1.756833,2019-08-25 18:20:22+00:00,2019-08-26 22:09:20+00:00,1 days 03:48:58,10855.601147884217
48,cluster-12_location-52,53.90978199999999,1.6654665999999998,2019-08-29 16:10:21+00:00,2019-09-01 03:06:10+00:00,2 days 10:55:49,16979.66051445279
49,cluster-12_location-53,53.927170000000004,1.674667,2019-09-01 16:16:31+00:00,2019-09-02 05:05:21+00:00,0 days 12:48:50,16747.336219720182
50,cluster-12_location-54,53.93817,1.708333,2019-09-02 23:00:15+00:00,2019-09-06 15:08:02+00:00,3 days 16:07:47,15009.38239114663
51,cluster-12_location-55,53.93332999999999,1.6883469166666665,2019-09-06 19:12:21+00:00,2019-09-08 22:00:20+00:00,2 days 02:47:59,16070.822209508884
52,cluster-12_location-56,53.94267000000001,1.7319761428571427,2019-09-11 14:00:20+00:00,2019-09-13 00:15:01+00:00,1 days 10:14:41,13777.915643051363
53,cluster-12_location-57,53.96133,1.7604999999999997,2019-09-24 08:07:23+00:00,2019-09-24 22:04:13+00:00,0 days 13:56:50,13237.565882965187
54,cluster-12_location-6,53.91998111111111,1.9323330000000003,2019-03-19 10:10:08+00:00,2019-03-20 15:10:19+00:00,1 days 05:00:11,3386.964375885
55,cluster-12_location-7,53.90983,2.0265835,2019-03-23 20:03:35+00:00,2019-03-25 04:08:14+00:00,1 days 08:04:39,7165.893940081528
56,cluster-12_location-8,53.848000000000006,1.9284999999999999,2019-03-27 12:34:45+00:00,2019-03-28 08:05:15+00:00,0 days 19:30:30,4695.860047210184
57,cluster-12_location-9,53.88683,2.0085,2019-03-28 16:15:06+00:00,2019-03-29 13:08:55+00:00,0 days 20:53:49,5649.486595728351
