index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,cluster-7_location-0,54.02583525,6.567589624999999,2018-02-23 01:02:12+00:00,2018-03-14 12:00:59+00:00,19 days 10:58:47,1726.7025465467864
1,cluster-7_location-1,54.01845255319149,6.567753361702128,2018-03-04 11:08:50+00:00,2018-03-07 17:00:16+00:00,3 days 05:51:26,2349.76002198413
2,cluster-7_location-10,54.04214727272727,6.5544330909090895,2018-04-14 05:14:37+00:00,2018-04-15 05:06:05+00:00,0 days 23:51:28,830.7670270050857
3,cluster-7_location-11,54.043003703703704,6.5410507777777775,2018-04-15 12:39:59+00:00,2018-04-17 05:16:10+00:00,1 days 16:36:11,893.8155559390543
4,cluster-7_location-12,54.00696017543859,6.516125421052632,2018-04-17 09:42:18+00:00,2019-03-10 02:04:28+00:00,326 days 16:22:10,3813.6516924802936
5,cluster-7_location-13,54.04327894736842,6.528104228070176,2018-04-21 22:02:04+00:00,2018-04-27 08:21:14+00:00,5 days 10:19:10,1506.6368442287464
6,cluster-7_location-14,54.042398181818186,6.515956181818183,2018-04-27 10:01:44+00:00,2018-04-28 10:14:50+00:00,1 days 00:13:06,2180.082755734362
7,cluster-7_location-15,54.05155583333334,6.527460833333333,2018-04-28 14:04:45+00:00,2018-04-29 13:00:00+00:00,0 days 22:55:15,2175.994260215593
8,cluster-7_location-16,54.05829104166667,6.527889708333333,2018-04-29 15:17:06+00:00,2018-05-05 22:07:19+00:00,6 days 06:50:13,2798.3597967859455
9,cluster-7_location-17,54.0452684375,6.57807384375,2018-05-06 01:21:28+00:00,2018-05-07 08:21:43+00:00,1 days 07:00:15,2254.3456113374264
10,cluster-7_location-18,54.04323875,6.590850708333334,2018-05-07 10:05:31+00:00,2018-05-10 04:13:10+00:00,2 days 18:07:39,2948.713404478366
11,cluster-7_location-19,54.04351575757576,6.604779,2018-05-08 01:15:56+00:00,2018-05-09 15:10:09+00:00,1 days 13:54:13,3837.6063665037696
12,cluster-7_location-2,54.018730000000005,6.555397599999999,2018-03-08 05:06:17+00:00,2018-03-09 20:12:27+00:00,1 days 15:06:10,1978.4003266066022
13,cluster-7_location-20,54.05038777777777,6.610782138888889,2018-05-12 16:58:14+00:00,2018-05-14 12:10:30+00:00,1 days 19:12:16,4437.406846562213
