index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,cluster-3_location-0,61.600545483870974,21.49424693548387,2017-05-22 10:14:28+00:00,2017-06-09 17:18:25+00:00,18 days 07:03:57,4675.649750342535
1,cluster-3_location-1,61.620202222222225,21.36369962962963,2017-05-23 19:15:29+00:00,2017-06-20 04:17:07+00:00,27 days 09:01:38,2564.2332961917973
2,cluster-3_location-10,61.63869103448277,21.34660034482758,2017-06-09 21:15:15+00:00,2017-07-02 05:02:16+00:00,22 days 07:47:01,4375.4846936958165
3,cluster-3_location-11,61.63454290322582,21.33727935483871,2017-06-10 21:20:41+00:00,2017-06-30 10:19:58+00:00,19 days 12:59:17,4507.00130199852
4,cluster-3_location-12,61.59568474226805,21.47025381443299,2017-06-12 04:22:26+00:00,2017-07-05 08:00:51+00:00,23 days 03:38:25,3744.040535844563
5,cluster-3_location-2,61.61686518518518,21.35265444444444,2017-05-25 01:06:26+00:00,2017-06-19 10:00:01+00:00,25 days 08:53:35,3058.8218664510887
6,cluster-3_location-3,61.62924142857143,21.34515535714286,2017-05-28 02:17:46+00:00,2017-06-23 02:08:00+00:00,25 days 23:50:14,3855.424155222164
7,cluster-3_location-4,61.61977692307691,21.34134923076923,2017-05-28 11:04:17+00:00,2017-06-23 22:08:40+00:00,26 days 11:04:23,3700.346871898144
8,cluster-3_location-5,61.629518684210524,21.363150964912286,2017-05-31 00:08:35+00:00,2017-06-29 20:22:19+00:00,29 days 20:13:44,3058.278626762241
9,cluster-3_location-6,61.62351304347827,21.370259130434782,2017-06-04 07:17:35+00:00,2017-06-27 07:03:51+00:00,22 days 23:46:16,2384.6914652945
10,cluster-3_location-7,61.618531999999995,21.37923742857143,2017-06-06 17:09:21+00:00,2017-06-26 12:06:20+00:00,19 days 18:56:59,1725.8805640876558
11,cluster-3_location-8,61.61314333333333,21.395969999999995,2017-06-06 21:08:39+00:00,2017-06-06 23:01:10+00:00,0 days 01:52:31,745.6285728034003
12,cluster-3_location-9,61.64421317073169,21.35282243902439,2017-06-08 03:12:15+00:00,2017-07-03 06:04:29+00:00,25 days 02:52:14,4568.873330476043
