index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,cluster-9_location-0,51.55100000000001,3.0498155263157893,2018-08-06 00:22:18+00:00,2019-02-22 00:16:56+00:00,199 days 23:54:38,4271.600338293283
1,cluster-9_location-1,51.52783,3.0321670000000003,2018-08-07 20:20:59+00:00,2019-03-21 18:03:23+00:00,225 days 21:42:24,1765.9885171974743
2,cluster-9_location-10,51.533806000000006,3.025999999999999,2018-09-12 17:20:44+00:00,2019-02-25 04:02:46+00:00,165 days 10:42:02,1751.49043134492
3,cluster-9_location-11,51.541500000000006,3.0241577222222222,2018-09-15 14:00:50+00:00,2019-02-05 19:02:13+00:00,143 days 05:01:23,2367.3723437431568
4,cluster-9_location-12,51.5145,3.0198329999999998,2018-09-16 20:06:18+00:00,2019-02-18 15:05:50+00:00,154 days 18:59:32,1228.8668411399149
5,cluster-9_location-13,51.53828,2.997093875,2018-09-18 04:16:45+00:00,2019-03-27 10:13:09+00:00,190 days 05:56:24,1885.6648306905147
6,cluster-9_location-14,51.50417,3.007333,2018-09-24 12:00:45+00:00,2019-04-08 09:17:16+00:00,195 days 21:16:31,2064.8716490557863
7,cluster-9_location-15,51.5335,3.011666999999999,2018-09-25 16:20:45+00:00,2019-02-11 16:18:44+00:00,138 days 23:57:59,1223.717476278538
8,cluster-9_location-16,51.50628999999999,2.95704175,2018-09-28 12:20:40+00:00,2019-04-19 09:03:12+00:00,202 days 20:42:32,3971.5332803310225
9,cluster-9_location-17,51.50183000000001,2.9861780666666675,2018-09-29 02:14:28+00:00,2019-04-04 01:13:33+00:00,186 days 22:59:05,2771.617211328957
10,cluster-9_location-18,51.52516999999999,2.9824814444444447,2018-09-30 08:06:08+00:00,2019-04-25 14:16:19+00:00,207 days 06:10:11,1785.390996382517
11,cluster-9_location-19,51.54305666666667,3.052167,2018-10-05 00:04:40+00:00,2019-03-02 03:11:23+00:00,148 days 03:06:43,3800.500796257181
12,cluster-9_location-2,51.513154150943414,2.990826735849057,2018-08-12 17:20:57+00:00,2018-10-10 05:18:31+00:00,58 days 11:57:34,1595.3947949764988
13,cluster-9_location-20,51.51149999999999,3.001667,2018-10-06 01:14:21+00:00,2019-04-15 20:02:17+00:00,191 days 18:47:56,1323.6936788866508
