index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,cluster-12_location-0,50.648798135593225,-0.33086129661016944,2017-06-10 12:01:57+00:00,2017-06-12 22:00:46+00:00,2 days 09:58:49,5274.1742887040755
1,cluster-12_location-1,50.63864186046512,-0.35047829534883723,2017-06-13 00:06:17+00:00,2017-06-14 18:02:33+00:00,1 days 17:56:16,6995.773257427261
2,cluster-12_location-10,50.65615645833333,-0.30805506666666665,2017-07-10 04:12:40+00:00,2017-07-12 03:20:06+00:00,1 days 23:07:26,3482.9623963923805
3,cluster-12_location-11,50.6670251724138,-0.19581121379310346,2017-07-12 10:14:14+00:00,2017-07-13 14:18:05+00:00,1 days 04:03:51,4609.713769989828
4,cluster-12_location-12,50.65167388888889,-0.3125256444444445,2017-07-13 18:06:38+00:00,2017-07-14 11:04:17+00:00,0 days 16:57:39,3957.797874068898
5,cluster-12_location-13,50.649362222222216,-0.30580508888888885,2017-07-14 12:18:29+00:00,2017-07-15 05:16:07+00:00,0 days 16:57:38,3654.061378837313
6,cluster-12_location-14,50.644485599999996,-0.313829,2017-07-15 07:00:38+00:00,2017-07-16 07:15:58+00:00,1 days 00:15:20,4420.801872312282
7,cluster-12_location-15,50.64751764705882,-0.2955282470588235,2017-07-16 09:02:46+00:00,2017-07-17 01:18:53+00:00,0 days 16:16:07,3182.3382884876787
8,cluster-12_location-16,50.68259846153846,-0.2103414153846154,2017-07-23 14:15:20+00:00,2017-07-24 02:01:26+00:00,0 days 11:46:06,4025.941875306772
9,cluster-12_location-17,50.677964583333335,-0.21504464999999998,2017-07-24 04:02:14+00:00,2017-07-25 03:13:46+00:00,0 days 23:11:32,3509.834723174803
10,cluster-12_location-18,50.681652941176466,-0.23920156470588239,2017-07-25 05:04:49+00:00,2017-07-25 21:00:09+00:00,0 days 15:55:20,2322.156187770275
11,cluster-12_location-19,50.68830276422765,-0.2411426024390244,2017-07-25 23:11:35+00:00,2017-07-31 01:01:47+00:00,5 days 01:50:12,2844.3537988427806
12,cluster-12_location-2,50.641615438596496,-0.3321087210526316,2017-06-14 20:10:30+00:00,2017-06-17 04:14:58+00:00,2 days 08:04:28,5692.439706292269
13,cluster-12_location-20,50.680595652173906,-0.20009383913043474,2017-07-31 04:05:04+00:00,2017-08-01 02:17:09+00:00,0 days 22:12:05,4597.734867749678
14,cluster-12_location-21,50.673239333333335,-0.22298411333333332,2017-08-01 04:16:00+00:00,2017-08-01 18:07:40+00:00,0 days 13:51:40,2807.70432973171
15,cluster-12_location-22,50.675763373493965,-0.2081381301204819,2017-08-01 20:17:48+00:00,2017-08-05 07:04:11+00:00,3 days 10:46:23,3890.626367557617
16,cluster-12_location-23,50.6712651724138,-0.2129791931034483,2017-08-05 09:17:42+00:00,2017-08-06 13:09:43+00:00,1 days 03:52:01,3446.5515469714055
17,cluster-12_location-24,50.702511875,-0.24159875625,2017-08-13 06:06:06+00:00,2017-08-13 21:19:47+00:00,0 days 15:13:41,4277.409877169125
18,cluster-12_location-25,50.672885882352944,-0.1976409705882353,2017-08-14 00:11:26+00:00,2017-08-14 16:09:26+00:00,0 days 15:58:00,4542.367107468989
19,cluster-12_location-26,50.65929243243244,-0.22214895945945945,2017-08-14 18:12:26+00:00,2017-08-16 07:05:17+00:00,1 days 12:52:51,2854.8592261476692
20,cluster-12_location-27,50.657346105263166,-0.21200689789473684,2017-08-16 08:07:57+00:00,2017-08-20 07:04:57+00:00,3 days 22:57:00,3601.6407861274624
21,cluster-12_location-28,50.6621638888889,-0.20388639444444445,2017-08-20 08:18:35+00:00,2017-08-21 01:19:23+00:00,0 days 17:00:48,4063.3466971714397
22,cluster-12_location-29,50.652493529411764,-0.2200189294117647,2017-08-21 03:07:11+00:00,2017-08-21 19:15:43+00:00,0 days 16:08:32,3273.7276739691974
23,cluster-12_location-3,50.634837241379316,-0.32999103965517246,2017-06-17 06:06:35+00:00,2017-06-27 23:04:52+00:00,10 days 16:58:17,5967.390092990003
24,cluster-12_location-30,50.66413461538461,-0.2141569230769231,2017-08-21 21:19:52+00:00,2017-08-22 09:08:12+00:00,0 days 11:48:20,3322.916246270594
25,cluster-12_location-31,50.65434782608696,-0.23018173478260873,2017-08-22 11:18:43+00:00,2017-08-23 09:00:12+00:00,0 days 21:41:29,2547.4658556500103
26,cluster-12_location-32,50.69708266666667,-0.25350044,2017-08-29 09:19:44+00:00,2017-08-29 23:10:29+00:00,0 days 13:50:45,3487.1046476273004
27,cluster-12_location-33,50.6901555,-0.251610075,2017-08-30 01:20:50+00:00,2017-08-30 20:02:19+00:00,0 days 18:41:29,2758.431099284081
28,cluster-12_location-34,50.683644117647056,-0.24901705294117646,2017-08-30 22:12:37+00:00,2017-08-31 14:07:55+00:00,0 days 15:55:18,2130.940727705235
29,cluster-12_location-35,50.674602,-0.23699756,2017-08-31 16:11:49+00:00,2017-09-01 06:02:33+00:00,0 days 13:50:44,1949.906617256793
30,cluster-12_location-36,50.685454375000006,-0.2594679,2017-09-01 08:08:40+00:00,2017-09-01 23:01:46+00:00,0 days 14:53:06,2155.0958441824987
