index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,cluster-6_location-0,54.51646814814816,7.742621740740742,2015-02-05 14:08:21+00:00,2018-01-13 06:16:19+00:00,1072 days 16:07:58,2776.7648592431974
1,cluster-6_location-1,54.522000000000006,7.742651818181818,2015-02-11 08:20:16+00:00,2015-02-12 16:10:55+00:00,1 days 07:50:39,2796.9349782026466
2,cluster-6_location-10,54.528864,7.754667,2015-04-04 18:12:24+00:00,2015-04-05 08:14:58+00:00,0 days 14:02:34,3727.827277997934
3,cluster-6_location-11,54.53432999999999,7.754667,2015-04-05 12:12:21+00:00,2015-04-06 01:18:34+00:00,0 days 13:06:13,3958.227223931032
4,cluster-6_location-12,54.53967,7.767167,2015-04-07 03:20:36+00:00,2015-04-08 14:15:11+00:00,1 days 10:54:35,4947.607100024364
5,cluster-6_location-13,54.5165,7.767334,2015-04-10 08:08:52+00:00,2015-04-10 19:07:30+00:00,0 days 10:58:38,4368.298406505323
6,cluster-6_location-14,54.52733,7.767444666666667,2015-04-19 12:03:17+00:00,2015-04-20 02:17:47+00:00,0 days 14:14:30,4478.661616774145
7,cluster-6_location-15,54.52894333333333,7.7795,2015-04-20 04:15:21+00:00,2015-04-20 18:01:19+00:00,0 days 13:45:58,5276.960727971894
8,cluster-6_location-16,54.53433,7.779510437499999,2015-04-20 23:00:20+00:00,2015-04-23 02:15:46+00:00,2 days 03:15:26,5440.758978106653
9,cluster-6_location-17,54.5165,7.755000000000001,2015-04-23 20:10:31+00:00,2015-04-24 17:20:25+00:00,0 days 21:09:54,3573.4579019772877
10,cluster-6_location-18,54.51266,7.754667,2015-04-25 05:16:07+00:00,2015-04-26 10:02:52+00:00,1 days 04:46:45,3603.9662579560263
11,cluster-6_location-19,54.511136,7.7673672,2015-04-26 17:18:56+00:00,2015-04-27 08:03:07+00:00,0 days 14:44:11,4440.951882012393
12,cluster-6_location-2,54.521980000000006,7.7301660000000005,2015-02-13 08:10:35+00:00,2015-02-16 22:01:03+00:00,3 days 13:50:28,2001.7632409741855
13,cluster-6_location-20,54.50566,7.755,2015-04-27 15:10:51+00:00,2015-04-28 00:01:54+00:00,0 days 08:51:03,3841.5467192813585
14,cluster-6_location-21,54.53813909090909,7.717833999999999,2015-05-08 12:20:21+00:00,2015-05-11 07:14:30+00:00,2 days 18:54:09,2477.916817169821
15,cluster-6_location-22,54.53981769230771,7.704999999999999,2015-05-11 09:25:36+00:00,2015-05-15 11:10:53+00:00,4 days 01:45:17,2396.4377612988046
16,cluster-6_location-23,54.53817,7.693,2015-05-15 15:20:07+00:00,2015-05-17 01:18:16+00:00,1 days 09:58:09,2231.8627462198174
17,cluster-6_location-24,54.53817000000001,7.680583000000001,2015-05-18 05:16:16+00:00,2015-05-19 19:02:55+00:00,1 days 13:46:39,2513.991592328708
18,cluster-6_location-25,54.53967,7.667874749999999,2015-05-21 03:23:15+00:00,2015-05-21 09:04:26+00:00,0 days 05:41:11,3126.9571935098184
19,cluster-6_location-26,54.53817,7.655334,2015-05-21 16:17:41+00:00,2015-05-22 02:25:52+00:00,0 days 10:08:11,3605.9067506594297
20,cluster-6_location-27,54.52283,7.681,2015-05-22 08:19:16+00:00,2015-05-23 09:23:28+00:00,1 days 01:04:12,1302.4919270612247
21,cluster-6_location-28,54.522,7.668167,2015-06-09 16:18:12+00:00,2015-06-09 22:17:10+00:00,0 days 05:58:58,2074.918791842781
22,cluster-6_location-29,54.522,7.655334,2015-06-10 20:05:42+00:00,2015-06-10 23:15:34+00:00,0 days 03:09:52,2892.5248548737654
23,cluster-6_location-3,54.53267,7.742667,2015-02-17 21:04:49+00:00,2015-02-21 07:14:24+00:00,3 days 10:09:35,3187.765935990517
24,cluster-6_location-30,54.522,7.642500000000001,2015-06-11 16:03:53+00:00,2015-06-11 22:05:51+00:00,0 days 06:01:58,3714.906329892939
25,cluster-6_location-31,54.51117,7.730193833333334,2015-06-12 08:12:22+00:00,2015-06-12 22:12:01+00:00,0 days 13:59:39,2127.2612454492223
26,cluster-6_location-32,54.51117,7.717833999999999,2015-06-13 07:00:55+00:00,2015-06-14 11:12:06+00:00,1 days 04:11:11,1423.116752381007
27,cluster-6_location-33,54.51117,7.705333,2015-06-14 17:19:31+00:00,2015-06-14 23:15:32+00:00,0 days 05:56:01,889.7155368648173
28,cluster-6_location-34,54.50566,7.730166,2015-06-15 10:02:19+00:00,2015-06-16 01:16:04+00:00,0 days 15:13:45,2427.0453227960393
29,cluster-6_location-35,54.52732999999999,7.730166,2015-06-22 07:21:11+00:00,2015-06-23 04:13:20+00:00,0 days 20:52:09,2196.148040947098
30,cluster-6_location-36,54.52733,7.717833999999998,2015-06-23 06:12:01+00:00,2015-06-25 00:13:43+00:00,1 days 18:01:42,1526.8048904007726
31,cluster-6_location-37,54.52732999999999,7.7054332,2015-06-25 08:07:22+00:00,2015-06-25 21:00:03+00:00,0 days 12:52:41,1050.0776451648762
32,cluster-6_location-38,54.52734166666667,7.693002166666665,2015-06-26 01:10:12+00:00,2015-06-26 15:20:12+00:00,0 days 14:10:00,1076.7352105284588
33,cluster-6_location-39,54.52733,7.680647555555556,2015-06-26 20:13:31+00:00,2015-06-27 18:13:49+00:00,0 days 22:00:18,1576.6865180505645
34,cluster-6_location-4,54.50566000000001,7.742566800000001,2015-03-05 17:11:19+00:00,2015-03-11 21:17:06+00:00,6 days 04:05:47,3110.587975087598
35,cluster-6_location-40,54.52733,7.668166999999999,2015-06-28 03:10:26+00:00,2015-06-28 16:01:54+00:00,0 days 12:51:28,2262.6371717763113
36,cluster-6_location-41,54.52733,7.655334,2015-06-29 01:17:25+00:00,2015-06-29 14:09:48+00:00,0 days 12:52:23,3029.918959300221
37,cluster-6_location-42,54.50566,7.717833999999999,2015-07-03 09:05:11+00:00,2015-07-03 23:13:53+00:00,0 days 14:08:42,1843.174836532001
38,cluster-6_location-43,54.52194333333333,7.717834,2015-07-04 04:03:35+00:00,2015-07-04 16:19:45+00:00,0 days 12:16:10,1229.4892320016531
39,cluster-6_location-44,54.522,7.7055,2015-07-05 05:07:54+00:00,2015-07-06 15:18:44+00:00,1 days 10:10:50,539.5240318192978
40,cluster-6_location-45,54.5235,7.692745117647059,2015-07-07 02:08:35+00:00,2015-07-10 16:23:03+00:00,3 days 14:14:28,717.6440842281293
41,cluster-6_location-46,54.53267,7.6425,2015-07-11 22:11:26+00:00,2015-07-12 05:00:55+00:00,0 days 06:49:29,4016.5341707341136
42,cluster-6_location-47,54.53817,7.642500000000001,2015-07-12 20:05:51+00:00,2015-07-13 00:15:04+00:00,0 days 04:09:13,4293.511465345802
43,cluster-6_location-48,54.532695,7.7302065,2015-07-15 09:00:32+00:00,2015-07-16 10:21:42+00:00,1 days 01:21:10,2522.3818337521125
44,cluster-6_location-49,54.53432214285714,7.717512214285714,2015-07-17 01:13:52+00:00,2015-07-18 22:20:12+00:00,1 days 21:06:20,2101.666002670713
45,cluster-6_location-5,54.521829999999994,7.7549752592592585,2015-03-12 05:16:03+00:00,2015-03-17 15:10:08+00:00,5 days 09:54:05,3584.18942314348
46,cluster-6_location-50,54.53265692307693,7.705336384615384,2015-07-19 06:06:51+00:00,2015-07-21 10:07:11+00:00,2 days 04:00:20,1616.883328895031
47,cluster-6_location-51,54.53432,7.692719200000001,2015-07-21 20:19:13+00:00,2015-07-22 13:22:22+00:00,0 days 17:03:09,1818.3243569791725
48,cluster-6_location-52,54.534326,7.680315,2015-07-23 02:09:00+00:00,2015-07-23 16:03:52+00:00,0 days 13:54:52,2162.10275696637
49,cluster-6_location-53,54.53432066666666,7.655075333333335,2015-07-24 17:01:52+00:00,2015-07-27 06:05:01+00:00,2 days 13:03:09,3377.6502984782537
50,cluster-6_location-54,54.505656,7.705402599999999,2015-08-01 10:19:12+00:00,2015-08-02 05:15:34+00:00,0 days 18:56:22,1472.4103359595545
51,cluster-6_location-55,54.505668333333325,7.693014666666667,2015-08-02 10:02:30+00:00,2015-08-03 00:11:07+00:00,0 days 14:08:37,1489.630440932405
