index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,cluster-3_location-0,54.636669999999995,-1.092167,2013-01-05 13:08:00+00:00,2013-01-23 22:17:00+00:00,18 days 09:09:00,823.0702246497308
1,cluster-3_location-1,54.6398261904762,-1.0991633095238096,2013-01-06 15:17:00+00:00,2013-02-15 01:26:00+00:00,39 days 10:09:00,612.2665477770449
2,cluster-3_location-10,54.64414571428573,-1.0745000000000002,2013-03-01 08:04:00+00:00,2013-03-02 13:08:00+00:00,1 days 05:04:00,1194.6902964794378
3,cluster-3_location-11,54.646,-1.078667,2013-03-06 11:20:00+00:00,2013-03-16 04:18:00+00:00,9 days 16:58:00,951.4467400206738
4,cluster-3_location-12,54.64599346153845,-1.0839935769230769,2013-03-16 12:22:00+00:00,2013-03-21 01:02:00+00:00,4 days 12:40:00,622.3555988420262
5,cluster-3_location-13,54.643,-1.0859999999999999,2013-03-29 05:21:00+00:00,2013-04-07 06:17:00+00:00,9 days 00:56:00,469.55637298304896
6,cluster-3_location-14,54.64283,-1.0913328928571426,2013-03-31 13:21:00+00:00,2013-04-06 09:06:00+00:00,5 days 19:45:00,175.9576291956059
7,cluster-3_location-15,54.64999999999999,-1.0886670000000005,2013-04-10 20:09:00+00:00,2013-04-25 13:14:00+00:00,14 days 17:05:00,719.2456052456968
8,cluster-3_location-16,54.64983,-1.093333,2013-04-20 13:20:00+00:00,2013-04-21 13:10:00+00:00,0 days 23:50:00,642.5242738375779
9,cluster-3_location-17,54.65233,-1.098407222222222,2013-04-23 15:06:00+00:00,2013-04-25 01:13:00+00:00,1 days 10:07:00,982.3324439469862
10,cluster-3_location-18,54.6535,-1.1015,2013-04-26 15:16:00+00:00,2013-04-30 16:01:00+00:00,4 days 00:45:00,1182.2340494230323
11,cluster-3_location-19,54.647000000000006,-1.1093785454545453,2013-05-04 10:29:00+00:00,2013-05-06 13:02:00+00:00,2 days 02:33:00,1099.466840961066
12,cluster-3_location-2,54.64167,-1.1028997999999999,2013-01-11 19:11:00+00:00,2013-01-13 15:06:00+00:00,1 days 19:55:00,685.9890688220164
13,cluster-3_location-20,54.64731763157895,-1.1155747105263156,2013-05-07 03:12:00+00:00,2013-05-15 11:03:00+00:00,8 days 07:51:00,1492.9701515317538
14,cluster-3_location-21,54.64971,-1.1210208750000001,2013-05-20 02:04:00+00:00,2013-05-21 11:15:00+00:00,1 days 09:11:00,1905.3448569374793
15,cluster-3_location-22,54.64650928571429,-1.0939969999999999,2013-05-21 19:06:00+00:00,2013-05-24 17:15:00+00:00,2 days 22:09:00,279.53232095587174
16,cluster-3_location-23,54.646524285714285,-1.0991669999999998,2013-05-26 03:02:00+00:00,2013-05-27 03:12:00+00:00,1 days 00:10:00,479.08944036511843
17,cluster-3_location-24,54.65033,-1.10225,2013-05-27 06:04:00+00:00,2013-05-28 12:08:00+00:00,1 days 06:04:00,914.4100400630033
18,cluster-3_location-25,54.65031,-1.10862525,2013-05-31 11:14:00+00:00,2013-06-01 13:19:00+00:00,1 days 02:05:00,1219.009357349238
19,cluster-3_location-26,54.65332999999999,-1.1138329999999999,2013-06-01 18:10:00+00:00,2013-06-02 09:22:00+00:00,0 days 15:12:00,1687.8700202193888
20,cluster-3_location-3,54.64350000000001,-1.1071670000000002,2013-01-14 03:17:00+00:00,2013-01-15 11:13:00+00:00,1 days 07:56:00,909.3543890319235
21,cluster-3_location-4,54.63983111111112,-1.0931729166666668,2013-01-17 11:00:00+00:00,2013-01-22 18:10:00+00:00,5 days 07:10:00,469.5811487676189
22,cluster-3_location-5,54.639195,-1.0776797222222219,2013-02-09 14:12:00+00:00,2013-02-12 13:24:00+00:00,2 days 23:12:00,1127.92191015441
23,cluster-3_location-6,54.63467,-1.084667,2013-02-19 03:17:00+00:00,2013-02-19 21:05:00+00:00,0 days 17:48:00,1175.1174622483234
24,cluster-3_location-7,54.640368,-1.0810673999999998,2013-02-20 03:04:00+00:00,2013-02-21 05:23:00+00:00,1 days 02:19:00,874.1402738472201
25,cluster-3_location-8,54.6403494117647,-1.066167,2013-02-23 01:16:00+00:00,2013-02-26 16:16:00+00:00,3 days 15:00:00,1779.2356421521783
26,cluster-3_location-9,54.642329999999994,-1.0705,2013-02-26 22:13:00+00:00,2013-05-02 00:20:00+00:00,64 days 02:07:00,1464.6478200762415
