index,location_key,latitude,longitude,start,end,duration,distance_centroid
0,location_0,54.47350000000001,6.374166,2014-03-04 18:09:00+00:00,2014-03-05 18:22:00+00:00,1 days 00:13:00,4139.630444555346
1,location_1,54.467500000000015,6.381166000000001,2014-03-06 06:58:00+00:00,2014-03-11 12:03:00+00:00,5 days 05:05:00,4852.861312711693
2,location_10,54.51617,6.407,2014-04-10 13:22:00+00:00,2014-04-11 04:18:00+00:00,0 days 14:56:00,2476.6829289117236
3,location_11,54.52317000000001,6.3905,2014-04-11 09:23:00+00:00,2014-06-26 12:16:00+00:00,76 days 02:53:00,1928.6888953163816
4,location_12,54.53517000000001,6.411333902439024,2014-04-19 11:24:00+00:00,2014-04-22 21:21:00+00:00,3 days 09:57:00,3822.4968075059483
5,location_13,54.540670000000006,6.4175,2014-04-23 00:09:00+00:00,2014-07-07 16:18:00+00:00,75 days 16:09:00,4539.823150349679
6,location_14,54.540669999999984,6.403500000000001,2014-04-24 01:12:00+00:00,2014-07-06 08:11:00+00:00,73 days 06:59:00,3983.4818134589173
7,location_15,54.51017,6.362499999999999,2014-04-25 00:06:00+00:00,2014-04-27 00:22:00+00:00,2 days 00:16:00,476.20385587755067
8,location_16,54.49283,6.342,2014-04-30 19:17:00+00:00,2014-05-02 06:29:00+00:00,1 days 11:12:00,2674.461907083893
9,location_17,54.48583,6.340667,2014-05-03 02:38:00+00:00,2014-05-03 05:00:00+00:00,0 days 02:22:00,3340.577491030462
10,location_18,54.479186000000006,6.35,2014-05-03 13:00:00+00:00,2014-05-04 05:11:00+00:00,0 days 16:11:00,3724.9847333251155
11,location_19,54.52283,6.3345,2014-05-04 15:33:00+00:00,2014-05-05 06:19:00+00:00,0 days 14:46:00,2652.703007708701
12,location_2,54.49267,6.3825,2014-03-12 05:08:00+00:00,2014-07-26 18:05:00+00:00,136 days 12:57:00,2159.463443800177
13,location_20,54.52267,6.319833,2014-05-08 05:02:00+00:00,2014-05-08 20:04:00+00:00,0 days 15:02:00,3493.2680989309706
14,location_21,54.52877666666666,6.32,2014-05-09 23:16:00+00:00,2014-05-12 11:54:00+00:00,2 days 12:38:00,3795.938750922218
15,location_22,54.53432999999999,6.319833,2014-05-13 14:26:00+00:00,2014-05-15 14:00:00+00:00,1 days 23:34:00,4165.174855830758
16,location_23,54.541684545454544,6.317332454545454,2014-05-15 18:11:00+00:00,2014-05-16 12:39:00+00:00,0 days 18:28:00,4836.3936510529165
17,location_24,54.54067,6.333833000000001,2014-07-09 19:50:00+00:00,2014-07-12 08:19:00+00:00,2 days 12:29:00,4067.44425544633
18,location_25,54.52833,6.381166,2014-07-12 13:14:00+00:00,2014-07-13 09:17:00+00:00,0 days 20:03:00,2098.3176543517443
19,location_26,54.46117,6.3785,2014-07-16 16:32:00+00:00,2014-07-17 03:15:00+00:00,0 days 10:43:00,5529.6118679077645
20,location_27,54.47314875000001,6.388667,2014-07-17 08:06:00+00:00,2014-07-17 20:14:00+00:00,0 days 12:08:00,4343.0553099339
21,location_28,54.49785428571429,6.387999999999999,2014-07-26 21:18:00+00:00,2014-07-27 19:19:00+00:00,0 days 22:01:00,1843.4550475432993
22,location_29,54.49783,6.361333,2014-07-29 19:13:00+00:00,2014-07-29 23:51:00+00:00,0 days 04:38:00,1526.7841603322936
23,location_3,54.46749999999999,6.393833,2014-03-13 11:10:00+00:00,2014-03-14 11:03:00+00:00,0 days 23:53:00,5041.578003504276
24,location_30,54.49267,6.355332999999999,2014-07-30 16:29:00+00:00,2014-08-01 07:04:00+00:00,1 days 14:35:00,2206.9347949671474
25,location_4,54.516202,6.334333,2014-03-23 10:01:00+00:00,2014-03-24 10:22:00+00:00,1 days 00:21:00,2373.3343431689523
26,location_5,54.51617,6.319833,2014-03-24 22:28:00+00:00,2014-03-25 01:02:00+00:00,0 days 02:34:00,3285.399048165217
27,location_6,54.510691639344266,6.319783852459018,2014-03-26 17:24:00+00:00,2014-06-25 20:05:00+00:00,91 days 02:41:00,3230.805550151191
28,location_7,54.50387857142857,6.3199520714285695,2014-03-30 11:10:00+00:00,2014-03-31 15:12:00+00:00,1 days 04:02:00,3306.897229752651
29,location_8,54.50383,6.403308857142859,2014-04-03 20:06:00+00:00,2014-04-05 14:19:00+00:00,1 days 18:13:00,2290.2293952470486
30,location_9,54.510036428571425,6.405167000000001,2014-04-05 20:02:00+00:00,2014-04-09 19:43:00+00:00,3 days 23:41:00,2282.0777809825745
