index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,cluster-3_location-0,58.16550452380952,-2.630748658730159,2021-05-01 18:16:08+00:00,2021-05-07 14:17:12+00:00,5 days 20:01:04,4283.365525960389
1,cluster-3_location-1,58.15548977272727,-2.6333717500000002,2021-05-07 18:10:04+00:00,2021-05-09 13:13:14+00:00,1 days 19:03:10,3998.882975063009
2,cluster-3_location-10,58.23704071428572,-2.685272357142857,2021-05-28 11:03:48+00:00,2021-05-29 15:03:10+00:00,1 days 03:59:22,9058.375719989916
3,cluster-3_location-11,58.247239056603775,-2.68505620754717,2021-05-31 22:02:22+00:00,2021-06-03 03:01:28+00:00,2 days 04:59:06,10187.972089049717
4,cluster-3_location-12,58.24579666666667,-2.65750203030303,2021-06-03 06:03:58+00:00,2021-06-04 15:01:38+00:00,1 days 08:57:40,10309.690658431959
5,cluster-3_location-13,58.23670083333334,-2.6324314166666665,2021-06-04 17:15:38+00:00,2021-06-05 16:03:44+00:00,0 days 22:48:06,9841.835875868448
6,cluster-3_location-14,58.22645478260869,-2.632688,2021-06-10 05:12:08+00:00,2021-06-11 03:19:58+00:00,0 days 22:07:50,8809.24803799769
7,cluster-3_location-15,58.20620658536587,-2.6328544878048783,2021-06-11 07:06:39+00:00,2021-06-13 00:07:59+00:00,1 days 17:01:20,6880.366074418824
8,cluster-3_location-16,58.19608258620689,-2.6329366034482757,2021-06-13 02:04:36+00:00,2021-06-15 12:04:58+00:00,2 days 10:00:22,6000.861378393921
9,cluster-3_location-17,58.185916666666664,-2.63300925,2021-06-18 07:03:56+00:00,2021-06-19 06:16:06+00:00,0 days 23:12:10,5214.337298653435
10,cluster-3_location-18,58.195595000000004,-2.5803238235294117,2021-06-19 10:20:55+00:00,2021-06-20 20:10:24+00:00,1 days 09:49:29,8358.274209776146
11,cluster-3_location-19,58.1854514876033,-2.580453966942149,2021-06-20 23:01:13+00:00,2021-06-26 04:00:15+00:00,5 days 04:59:02,7817.557407669925
12,cluster-3_location-2,58.14541333333333,-2.6334781515151517,2021-05-09 16:09:21+00:00,2021-05-11 02:15:36+00:00,1 days 10:06:15,4163.572416142113
13,cluster-3_location-20,58.1754027586207,-2.580274586206897,2021-06-26 06:12:24+00:00,2021-06-27 13:11:03+00:00,1 days 06:58:39,7430.687157652001
14,cluster-3_location-21,58.15386304347827,-2.579526913043478,2021-06-29 20:19:01+00:00,2021-06-30 18:10:17+00:00,0 days 21:51:16,7161.6065867458965
15,cluster-3_location-22,58.15530782608696,-2.607041782608696,2021-06-30 22:08:23+00:00,2021-07-01 21:04:32+00:00,0 days 22:56:09,5543.749829005514
16,cluster-3_location-23,58.16545086956521,-2.606926260869565,2021-07-01 22:22:12+00:00,2021-07-02 21:12:23+00:00,0 days 22:50:11,5647.200485648206
17,cluster-3_location-24,58.17542629629629,-2.6043313333333336,2021-07-02 23:00:33+00:00,2021-07-04 01:07:03+00:00,1 days 02:06:30,6094.9949690810345
18,cluster-3_location-25,58.166169696969696,-2.685799212121212,2021-07-06 11:16:18+00:00,2021-07-07 22:00:12+00:00,1 days 10:43:54,1456.9127291332509
19,cluster-3_location-26,58.15594260869564,-2.68594247826087,2021-07-08 02:14:01+00:00,2021-07-09 00:02:04+00:00,0 days 21:48:03,914.2671563465202
20,cluster-3_location-27,58.14580227272727,-2.6860803636363637,2021-07-09 02:06:11+00:00,2021-07-09 23:07:53+00:00,0 days 21:01:42,1454.063989330193
21,cluster-3_location-28,58.13568545454545,-2.6861701818181816,2021-07-10 01:06:52+00:00,2021-07-10 22:13:01+00:00,0 days 21:06:09,2434.921471394927
22,cluster-3_location-29,58.125559999999986,-2.686201657894737,2021-07-12 23:00:21+00:00,2021-07-14 12:06:32+00:00,1 days 13:06:11,3505.2915902638083
23,cluster-3_location-3,58.134075714285714,-2.6323406857142855,2021-05-15 03:03:33+00:00,2021-05-16 13:02:26+00:00,1 days 09:58:53,4737.451361370919
24,cluster-3_location-30,58.11427193548388,-2.685218935483871,2021-07-14 14:07:02+00:00,2021-07-15 20:10:22+00:00,1 days 06:03:20,4740.764184709041
25,cluster-3_location-31,58.1156040625,-2.7126403593750004,2021-07-15 23:02:41+00:00,2021-07-18 16:00:12+00:00,2 days 16:57:31,4542.098880069716
26,cluster-3_location-32,58.10569,-2.7364773599999994,2021-07-18 19:07:28+00:00,2021-07-19 19:06:46+00:00,0 days 23:59:18,5961.660920402904
27,cluster-3_location-33,58.12576923076922,-2.712526307692307,2021-07-22 05:15:45+00:00,2021-07-23 06:15:25+00:00,1 days 00:59:40,3426.0668287928074
28,cluster-3_location-34,58.13585173913042,-2.7124582173913043,2021-07-23 08:13:56+00:00,2021-07-24 06:10:35+00:00,0 days 21:56:39,2333.4833592124983
29,cluster-3_location-35,58.14603272727274,-2.712361909090909,2021-07-24 08:18:45+00:00,2021-07-25 06:09:45+00:00,0 days 21:51:00,1280.4930406094775
30,cluster-3_location-36,58.156079999999996,-2.709754521739131,2021-07-25 07:17:45+00:00,2021-07-26 06:12:56+00:00,0 days 22:55:11,482.8081649947898
31,cluster-3_location-37,58.1450695,-2.73751705,2021-07-29 04:08:46+00:00,2021-07-30 01:11:16+00:00,0 days 21:02:30,2438.2113375986287
32,cluster-3_location-38,58.116016521739134,-2.765126217391304,2021-07-30 03:17:35+00:00,2021-07-31 02:03:05+00:00,0 days 22:45:30,5808.005240045795
33,cluster-3_location-39,58.10474875,-2.7639515833333337,2021-07-31 03:18:24+00:00,2021-08-01 02:14:24+00:00,0 days 22:56:00,6778.326294399612
34,cluster-3_location-4,58.13553066666666,-2.659742266666666,2021-05-16 15:18:36+00:00,2021-05-17 21:03:44+00:00,1 days 05:45:08,3347.7457401844013
35,cluster-3_location-40,58.10492222222222,-2.7903522222222223,2021-08-01 08:07:46+00:00,2021-08-02 01:08:16+00:00,0 days 17:00:30,7712.957731522517
36,cluster-3_location-41,58.10632777777777,-2.8176527037037036,2021-08-04 15:22:21+00:00,2021-08-05 18:01:30+00:00,1 days 02:39:09,8776.21947872517
37,cluster-3_location-42,58.084848313253026,-2.8165297710843378,2021-08-06 05:02:50+00:00,2021-08-09 19:10:48+00:00,3 days 14:07:58,10404.729746193838
38,cluster-3_location-43,58.0861311627907,-2.844127651162791,2021-08-09 22:16:10+00:00,2021-08-11 17:04:19+00:00,1 days 18:48:09,11425.263149665232
39,cluster-3_location-44,58.07506926829268,-2.8691651951219512,2021-08-11 19:10:21+00:00,2021-08-13 16:03:51+00:00,1 days 20:53:30,13341.199990306714
40,cluster-3_location-45,58.08644684210526,-2.870179263157895,2021-08-18 05:20:28+00:00,2021-08-19 00:12:27+00:00,0 days 18:51:59,12568.024645053481
41,cluster-3_location-46,58.096308333333326,-2.844021388888889,2021-08-19 03:06:48+00:00,2021-08-19 20:16:27+00:00,0 days 17:09:39,10681.848978781158
42,cluster-3_location-47,58.10649894736842,-2.8439374736842105,2021-08-20 01:15:37+00:00,2021-08-20 20:08:18+00:00,0 days 18:52:41,10011.693384590579
43,cluster-3_location-48,58.11658681818181,-2.843495772727273,2021-08-20 22:20:48+00:00,2021-08-21 19:05:48+00:00,0 days 20:45:00,9417.220358116096
44,cluster-3_location-49,58.11524588235294,-2.8164339999999997,2021-08-24 03:21:53+00:00,2021-08-24 19:03:24+00:00,0 days 15:41:31,8127.909320747614
45,cluster-3_location-5,58.1241652,-2.6588767200000003,2021-05-18 00:13:24+00:00,2021-05-19 01:01:24+00:00,1 days 00:48:00,4338.109636853598
46,cluster-3_location-50,58.11509222222222,-2.7902760555555557,2021-08-24 21:09:04+00:00,2021-08-25 14:01:04+00:00,0 days 16:52:00,6918.195892091391
47,cluster-3_location-51,58.126259444444436,-2.7888219999999997,2021-08-25 16:12:35+00:00,2021-08-26 09:12:13+00:00,0 days 16:59:38,6099.8754546191885
48,cluster-3_location-52,58.13667578947369,-2.817562842105263,2021-08-26 12:16:34+00:00,2021-08-27 06:12:18+00:00,0 days 17:55:44,7141.392779452597
49,cluster-3_location-53,58.17727714285714,-2.817392904761905,2021-08-29 14:03:09+00:00,2021-08-30 11:09:50+00:00,0 days 21:06:41,7194.641790021381
50,cluster-3_location-54,58.167172500000014,-2.81735775,2021-08-30 12:13:15+00:00,2021-08-31 08:10:02+00:00,0 days 19:56:47,6906.584331980284
51,cluster-3_location-55,58.15698185185186,-2.8174292962962966,2021-08-31 10:11:21+00:00,2021-09-01 15:08:01+00:00,1 days 04:56:40,6800.508167833755
52,cluster-3_location-56,58.177022083333334,-2.7910695833333334,2021-09-07 18:16:17+00:00,2021-09-08 17:09:57+00:00,0 days 22:53:40,5747.210460934081
53,cluster-3_location-57,58.166921851851846,-2.791037925925926,2021-09-10 17:08:42+00:00,2021-09-11 19:08:15+00:00,1 days 01:59:33,5388.563764630919
54,cluster-3_location-58,58.156717619047605,-2.7912127619047618,2021-09-11 21:01:55+00:00,2021-09-12 19:10:23+00:00,0 days 22:08:28,5262.224445425521
55,cluster-3_location-59,58.146650526315796,-2.791198105263158,2021-09-12 22:07:43+00:00,2021-09-13 17:08:41+00:00,0 days 19:00:58,5363.88903942459
56,cluster-3_location-6,58.176204285714284,-2.685797142857143,2021-05-19 06:19:27+00:00,2021-05-20 02:07:40+00:00,0 days 19:48:13,2425.706216131875
57,cluster-3_location-60,58.1365061904762,-2.7913064285714286,2021-09-13 19:17:42+00:00,2021-09-14 17:09:30+00:00,0 days 21:51:48,5698.336113907652
58,cluster-3_location-7,58.196475106382984,-2.685615680851064,2021-05-23 03:10:02+00:00,2021-05-25 01:00:16+00:00,1 days 21:50:14,4593.195304628847
59,cluster-3_location-8,58.20658296296297,-2.6855564814814814,2021-05-25 03:17:49+00:00,2021-05-26 05:14:56+00:00,1 days 01:57:07,5698.836342708573
60,cluster-3_location-9,58.22691875,-2.6853258333333336,2021-05-26 08:16:27+00:00,2021-05-28 09:13:37+00:00,2 days 00:57:10,7939.624792026552
