index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,cluster-2_location-0,54.35290625000001,6.0193675625,2010-06-06 16:14:09+00:00,2012-03-24 19:13:00+00:00,657 days 02:58:51,3150.040714795316
1,cluster-2_location-1,54.34550933333333,6.019310222222221,2010-06-15 10:00:47+00:00,2012-03-10 04:10:00+00:00,633 days 18:09:13,2614.1716078742184
2,cluster-2_location-10,54.30675307692308,6.019035038461539,2010-09-22 12:52:29+00:00,2011-11-14 21:13:00+00:00,418 days 08:20:31,3574.0116807258814
3,cluster-2_location-11,54.331191604938276,6.005790358024691,2010-10-02 12:33:55+00:00,2012-09-09 09:03:00+00:00,707 days 20:29:05,1301.1790416008328
4,cluster-2_location-12,54.3140388,5.999353,2010-10-10 16:11:17+00:00,2010-10-13 22:23:36+00:00,3 days 06:12:19,2222.528171037645
5,cluster-2_location-13,54.33864200000001,5.9896298,2010-10-31 06:35:14+00:00,2012-08-12 12:16:00+00:00,651 days 05:40:46,736.0140851078431
6,cluster-2_location-14,54.347914,6.005818,2010-12-21 20:40:16+00:00,2012-02-11 09:24:00+00:00,416 days 12:43:44,2157.0702201311865
7,cluster-2_location-15,54.322258695652174,5.996165282608695,2011-05-20 12:53:00+00:00,2012-06-26 22:33:00+00:00,403 days 09:40:00,1312.2251749167
8,cluster-2_location-16,54.30461219512195,5.979921390243902,2011-05-21 00:04:00+00:00,2012-08-25 06:08:00+00:00,462 days 06:04:00,3114.053248033803
9,cluster-2_location-17,54.33045571428572,5.9929184285714285,2011-06-10 17:05:00+00:00,2011-06-11 00:01:00+00:00,0 days 06:56:00,508.12867726552236
10,cluster-2_location-18,54.32137649484537,5.9798484536082475,2011-06-12 18:11:00+00:00,2012-09-02 20:06:00+00:00,448 days 01:55:00,1286.1549832994042
11,cluster-2_location-19,54.346772792792784,5.986729108108109,2011-06-20 22:08:00+00:00,2013-06-04 16:23:00+00:00,714 days 18:15:00,1598.7299178175713
12,cluster-2_location-2,54.339570492957755,6.005891077464789,2010-06-23 00:34:51+00:00,2012-03-25 22:14:00+00:00,641 days 21:39:09,1525.2457640231169
13,cluster-2_location-20,54.34601369565217,5.970246934782609,2011-06-26 08:54:00+00:00,2013-06-10 16:29:00+00:00,715 days 07:35:00,1819.4497623683571
14,cluster-2_location-21,54.32855966666667,5.957171166666668,2011-06-27 01:23:00+00:00,2011-10-15 15:02:00+00:00,110 days 13:39:00,1906.7538832209325
15,cluster-2_location-22,54.32952027777778,5.976127680555555,2011-06-28 09:04:00+00:00,2012-10-29 22:12:00+00:00,489 days 13:08:00,706.1187396563744
16,cluster-2_location-23,54.30316375000001,5.953766083333334,2011-07-04 20:04:00+00:00,2012-02-04 19:55:00+00:00,214 days 23:51:00,3859.628609974102
17,cluster-2_location-24,54.325403614457834,5.9406689397590355,2011-07-06 23:44:00+00:00,2013-06-07 17:02:00+00:00,701 days 17:18:00,3030.0126267385526
18,cluster-2_location-25,54.31213081081081,5.963559283783783,2011-07-10 21:04:00+00:00,2012-07-03 06:02:00+00:00,358 days 08:58:00,2677.327031014853
19,cluster-2_location-26,54.36053499999999,6.019360770833334,2011-07-14 06:04:00+00:00,2012-10-19 11:16:00+00:00,463 days 05:12:00,3808.825358231937
20,cluster-2_location-27,54.310111666666664,5.9405847833333345,2011-07-19 17:49:00+00:00,2012-08-04 10:19:00+00:00,381 days 16:30:00,3841.214420827857
21,cluster-2_location-28,54.36817527777777,6.019370486111111,2011-07-26 02:07:00+00:00,2012-11-15 16:16:00+00:00,478 days 14:09:00,4532.71943582244
22,cluster-2_location-29,54.37585555555556,6.019335055555556,2011-08-01 08:43:00+00:00,2012-11-10 07:04:00+00:00,466 days 22:21:00,5296.951162624767
23,cluster-2_location-3,54.33767522727273,6.0193635,2010-07-07 19:05:50+00:00,2010-07-12 03:41:02+00:00,4 days 08:35:12,2251.6446003908027
24,cluster-2_location-30,54.33787289473685,5.973391210526315,2011-08-18 04:50:00+00:00,2012-05-18 11:15:00+00:00,274 days 06:25:00,1009.9663593392153
25,cluster-2_location-31,54.32033611111111,5.960339194444444,2011-09-02 02:26:00+00:00,2011-09-03 09:50:00+00:00,1 days 07:24:00,2129.11423909647
26,cluster-2_location-32,54.31777392000001,5.940655992000001,2011-09-03 12:02:00+00:00,2013-05-27 18:19:00+00:00,632 days 06:17:00,3350.8421885620073
27,cluster-2_location-33,54.36266428571429,6.009421428571429,2011-09-09 10:49:00+00:00,2011-09-10 02:31:00+00:00,0 days 15:42:00,3695.839880348475
28,cluster-2_location-34,54.370843125,6.0062074375000005,2011-09-10 06:00:00+00:00,2012-08-12 05:54:00+00:00,336 days 23:54:00,4473.526606914849
29,cluster-2_location-35,54.36427029411765,5.996334176470589,2011-11-15 01:53:00+00:00,2011-11-17 10:16:00+00:00,2 days 08:23:00,3608.111267779913
30,cluster-2_location-36,54.371457500000005,5.9768704999999995,2012-03-22 04:29:00+00:00,2012-03-22 08:04:00+00:00,0 days 03:35:00,4381.129140983381
31,cluster-2_location-37,54.302466507936515,5.940564904761905,2012-06-10 18:55:00+00:00,2012-07-25 11:01:00+00:00,44 days 16:06:00,4438.622307515708
32,cluster-2_location-38,54.30387153846155,5.96682226923077,2012-06-27 04:34:00+00:00,2012-11-27 19:11:00+00:00,153 days 14:37:00,3403.8358821829397
33,cluster-2_location-39,54.354577500000005,5.980427375,2012-07-18 00:52:00+00:00,2012-07-21 10:40:00+00:00,3 days 09:48:00,2490.256982856673
34,cluster-2_location-4,54.29846422222222,6.008159733333334,2010-07-10 08:30:32+00:00,2013-04-26 18:05:00+00:00,1021 days 09:34:28,4042.3888273161365
35,cluster-2_location-40,54.355115769230764,5.9533583269230785,2013-04-27 08:16:00+00:00,2013-05-01 20:07:00+00:00,4 days 11:51:00,3287.462721548796
36,cluster-2_location-41,54.344765,5.951091227272728,2013-05-02 03:07:00+00:00,2013-05-03 13:28:00+00:00,1 days 10:21:00,2638.2562811226435
37,cluster-2_location-42,54.336716875,5.9541274375,2013-05-05 17:40:00+00:00,2013-05-06 20:01:00+00:00,1 days 02:21:00,2110.541540209666
38,cluster-2_location-43,54.33306888888889,5.940622833333334,2013-05-07 06:46:00+00:00,2013-05-09 05:31:00+00:00,1 days 22:45:00,2931.947562644654
39,cluster-2_location-44,54.34071,5.9406507500000005,2013-05-11 06:34:00+00:00,2013-05-12 09:13:00+00:00,1 days 02:39:00,3071.0809908410256
40,cluster-2_location-45,54.35601666666666,5.940674866666667,2013-05-13 08:22:00+00:00,2013-05-16 05:12:00+00:00,2 days 20:50:00,3931.8920091094697
41,cluster-2_location-5,54.32994367816093,6.019344850574711,2010-07-18 23:13:35+00:00,2012-05-26 13:12:00+00:00,677 days 13:58:25,2190.193905286619
42,cluster-2_location-6,54.32219666666666,6.019227166666666,2010-08-01 19:10:33+00:00,2011-11-13 21:04:00+00:00,469 days 01:53:27,2445.045230059472
43,cluster-2_location-7,54.352544358974356,6.010453538461538,2010-08-09 11:46:17+00:00,2011-06-04 14:02:00+00:00,299 days 02:15:43,2750.020387696231
44,cluster-2_location-8,54.31464857142858,6.0193707777777785,2010-08-22 13:36:31+00:00,2012-02-09 00:42:00+00:00,535 days 11:05:29,2937.5743851144143
45,cluster-2_location-9,54.305950714285714,6.0057753809523815,2010-09-05 00:20:20+00:00,2012-05-28 10:11:00+00:00,631 days 09:50:40,3213.4229916996965
