index,location_key,latitude,longitude,start,end,duration,distance_centroid
0,location_0,51.673857999999996,2.8783565999999996,2016-03-24 18:09:36+00:00,2016-03-25 09:12:25+00:00,0 days 15:02:49,4619.067230674763
1,location_1,51.63835316455696,2.8219661392405055,2016-03-25 15:17:37+00:00,2016-09-15 08:01:49+00:00,173 days 16:44:12,3465.9659011296544
2,location_10,51.65201462500001,2.76729665,2016-06-14 12:06:44+00:00,2016-11-16 09:09:04+00:00,154 days 21:02:20,3600.855813486835
3,location_11,51.64816961538462,2.766332567307692,2016-06-16 17:03:17+00:00,2016-11-21 05:05:03+00:00,157 days 12:01:46,3894.500470943129
4,location_12,51.68321999999999,2.845523047619048,2016-06-18 07:17:38+00:00,2016-06-20 17:05:18+00:00,2 days 09:47:40,2815.9374025971774
5,location_13,51.68025124999999,2.8504394,2016-06-20 22:03:59+00:00,2016-06-22 18:05:39+00:00,1 days 20:01:40,2945.409181648045
6,location_14,51.666304714285715,2.8586810714285713,2016-06-27 01:05:49+00:00,2016-11-23 12:17:02+00:00,149 days 11:11:13,3242.0306790811705
7,location_15,51.67917029411766,2.8566693676470587,2016-06-28 17:07:18+00:00,2016-07-02 23:20:20+00:00,4 days 06:13:02,3294.9486739985014
8,location_16,51.67598666666667,2.8622986249999998,2016-07-03 02:03:50+00:00,2016-07-04 08:18:39+00:00,1 days 06:14:49,3566.9104384367965
9,location_17,51.67121666666666,2.865967833333333,2016-07-04 09:19:30+00:00,2016-07-05 12:09:29+00:00,1 days 02:49:59,3740.6280313145917
10,location_18,51.67973285714286,2.839934666666667,2016-07-07 17:16:43+00:00,2016-07-08 22:11:23+00:00,1 days 04:54:40,2281.1182443159155
11,location_19,51.67491772727272,2.842541636363637,2016-07-09 02:17:13+00:00,2016-07-10 11:15:13+00:00,1 days 08:58:00,2219.7928918498837
12,location_2,51.707979736842105,2.805853877192982,2016-05-15 14:14:49+00:00,2016-10-29 05:15:09+00:00,166 days 15:00:20,4366.7119449501
13,location_20,51.670739166666664,2.8538255555555554,2016-07-10 14:11:42+00:00,2016-07-12 18:03:14+00:00,2 days 03:51:32,2901.6256841306304
14,location_21,51.67204916666666,2.846575083333333,2016-07-12 21:05:13+00:00,2016-07-13 18:11:14+00:00,0 days 21:06:01,2419.95526293179
15,location_22,51.65413933333333,2.8153721333333337,2016-07-15 14:17:16+00:00,2016-07-16 15:05:30+00:00,1 days 00:48:14,1657.5591944723174
16,location_23,51.66583,2.8227926875000002,2016-07-16 19:08:11+00:00,2016-07-17 22:11:10+00:00,1 days 03:02:59,827.2399755504923
17,location_24,51.6717845,2.826224200000001,2016-07-18 00:05:30+00:00,2016-07-18 21:19:39+00:00,0 days 21:14:09,1041.9428574856368
