index,location_key,latitude,longitude,start,end,duration,distance_centroid
0,location_0,53.65749234375001,0.270267765625,2014-04-22 08:23:00+00:00,2015-02-10 02:06:44+00:00,293 days 17:43:44,2309.542432389393
1,location_1,53.66347999999999,0.2677425972222222,2014-04-24 13:07:00+00:00,2014-04-26 01:10:00+00:00,1 days 12:03:00,2903.123002606875
2,location_10,53.62476999999999,0.30233880416666664,2014-07-03 14:28:00+00:00,2014-07-04 14:12:00+00:00,0 days 23:44:00,2134.8937301712117
3,location_11,53.630079999999985,0.29940175777777783,2014-07-04 16:08:00+00:00,2014-07-06 14:01:00+00:00,1 days 21:53:00,1521.0946306871358
4,location_12,53.63097999999998,0.26534472258064506,2014-07-29 05:07:00+00:00,2014-07-30 11:20:00+00:00,1 days 06:13:00,2483.7549327910497
5,location_13,53.62564999999999,0.26770189565217384,2014-07-30 14:16:00+00:00,2014-07-31 12:17:00+00:00,0 days 22:01:00,2752.784128810812
6,location_14,53.62033,0.2700718111111111,2014-07-31 14:16:00+00:00,2014-08-01 17:01:00+00:00,1 days 02:45:00,3119.069041062612
7,location_15,53.61501,0.27243098421052636,2014-08-01 19:02:00+00:00,2014-08-02 13:17:00+00:00,0 days 18:15:00,3553.896371912642
8,location_16,53.61422432432431,0.28072105675675685,2014-08-02 16:03:00+00:00,2014-08-04 07:17:00+00:00,1 days 15:14:00,3430.2072738023667
9,location_17,53.61357999999999,0.28970059499999995,2014-08-04 09:09:00+00:00,2014-08-05 04:14:00+00:00,0 days 19:05:00,3371.629209347339
10,location_18,53.63557,0.2717889611111111,2014-08-22 21:02:00+00:00,2014-08-23 14:11:00+00:00,0 days 17:09:00,1853.0920664519435
11,location_19,53.63027,0.2741516055555555,2014-08-23 17:15:00+00:00,2014-08-24 10:09:00+00:00,0 days 16:54:00,2087.744761994686
12,location_2,53.65887,0.261274349122807,2014-04-29 17:16:00+00:00,2014-05-02 11:05:00+00:00,2 days 17:49:00,2867.1714038072264
13,location_20,53.62557000000001,0.27625411730769234,2014-08-24 16:03:00+00:00,2014-08-26 22:05:00+00:00,2 days 06:02:00,2408.123552539245
14,location_21,53.61961999999999,0.2789011085714286,2014-08-27 00:11:00+00:00,2014-08-28 12:11:00+00:00,1 days 12:00:00,2909.1678340152243
15,location_22,53.61881050847458,0.28717660338983053,2014-08-28 13:20:00+00:00,2014-08-31 00:10:00+00:00,2 days 10:50:00,2827.038011016235
16,location_23,53.61819000000001,0.29613111999999997,2014-08-31 02:11:00+00:00,2014-08-31 17:09:00+00:00,0 days 14:58:00,2830.163159341939
