index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,cluster-1_location-0,54.99381117647059,13.199466470588234,2015-01-17 17:00:00+00:00,2015-01-18 22:07:00+00:00,1 days 05:07:00,3777.9247883849453
1,cluster-1_location-1,54.97916299999999,13.128091000000001,2015-01-19 01:13:00+00:00,2015-01-21 00:11:00+00:00,1 days 22:58:00,1902.5884916114965
2,cluster-1_location-10,54.97241970149255,13.119900447761195,2015-03-06 07:26:40+00:00,2015-03-09 18:11:09+00:00,3 days 10:44:29,2227.755043085479
3,cluster-1_location-11,54.97407470588235,13.178933529411763,2015-03-09 22:04:32+00:00,2015-03-12 01:19:21+00:00,2 days 03:14:49,1567.906475775766
4,cluster-1_location-12,54.972668991596635,13.15799319327731,2015-03-28 01:23:18+00:00,2015-04-03 20:17:38+00:00,6 days 18:54:20,241.6652807546127
5,cluster-1_location-13,54.96684761904761,13.126001904761907,2015-04-03 22:19:10+00:00,2015-04-04 22:18:48+00:00,0 days 23:59:38,1908.5755567252181
6,cluster-1_location-14,54.97178727272729,13.144072727272727,2015-04-07 10:00:14+00:00,2015-04-08 21:01:00+00:00,1 days 11:00:46,683.4034370236473
7,cluster-1_location-15,54.97797,13.155445909090908,2015-04-09 00:13:14+00:00,2015-04-10 02:09:18+00:00,1 days 01:56:04,717.6455737718209
8,cluster-1_location-16,54.962364736842105,13.162794736842107,2015-04-17 20:01:45+00:00,2015-04-18 21:26:15+00:00,1 days 01:24:30,1140.3674692536702
9,cluster-1_location-17,54.965387428571425,13.172482857142857,2015-04-19 01:04:25+00:00,2015-04-20 22:05:24+00:00,1 days 21:00:59,1320.7193474164717
10,cluster-1_location-18,54.977740909090905,13.186133636363639,2015-04-21 00:18:56+00:00,2015-04-21 17:18:45+00:00,0 days 16:59:49,2117.4312686812264
11,cluster-1_location-19,54.95900451612904,13.149922903225807,2015-04-22 10:03:45+00:00,2015-04-24 17:02:35+00:00,2 days 06:58:50,1426.4891207154965
12,cluster-1_location-2,55.000778571428576,13.231532857142854,2015-01-23 14:07:39+00:00,2015-01-25 01:21:59+00:00,1 days 11:14:20,5879.155192171362
13,cluster-1_location-20,54.990371874999994,13.212125625,2015-04-24 20:23:35+00:00,2015-04-25 17:53:05+00:00,0 days 21:29:30,4217.16390146399
14,cluster-1_location-21,54.98785666666666,13.20702111111111,2015-04-26 01:02:36+00:00,2015-04-26 21:00:23+00:00,0 days 19:57:47,3796.489900584552
15,cluster-1_location-22,54.99827304347827,13.224562173913043,2015-04-29 20:05:24+00:00,2015-05-01 01:01:44+00:00,1 days 04:56:20,5354.680355797565
16,cluster-1_location-23,54.97341105263158,13.191236315789473,2015-05-01 04:34:25+00:00,2015-05-02 03:00:34+00:00,0 days 22:26:09,2336.7276937170454
17,cluster-1_location-24,54.975899047619045,13.198203809523807,2015-05-02 06:16:25+00:00,2015-05-03 04:06:45+00:00,0 days 21:50:20,2814.2175458255215
18,cluster-1_location-25,54.9606215,13.126774000000001,2015-05-03 10:07:24+00:00,2015-05-06 12:24:15+00:00,3 days 02:16:51,2159.7363365689885
19,cluster-1_location-26,54.99360041666666,13.226809166666667,2015-05-08 18:05:50+00:00,2015-05-10 02:16:42+00:00,1 days 08:10:52,5210.755804487729
20,cluster-1_location-27,54.983185294117646,13.197742352941177,2015-05-10 08:08:51+00:00,2015-05-11 08:12:19+00:00,1 days 00:03:28,3033.165793778079
21,cluster-1_location-28,54.962671904761905,13.137192142857142,2015-05-11 12:17:49+00:00,2015-05-14 13:08:11+00:00,3 days 00:50:22,1492.8868730596394
22,cluster-1_location-29,54.9853488235294,13.219428676470589,2015-05-14 16:29:51+00:00,2015-05-18 13:02:10+00:00,3 days 20:32:19,4402.946084389781
23,cluster-1_location-3,55.001968181818185,13.219447272727272,2015-01-25 11:18:18+00:00,2015-01-26 00:09:57+00:00,0 days 12:51:39,5337.028998491046
24,cluster-1_location-30,54.97991870967742,13.207672903225806,2015-05-18 15:06:50+00:00,2015-05-20 06:13:20+00:00,1 days 15:06:30,3502.6359498923125
25,cluster-1_location-31,54.958883333333326,13.116032777777777,2015-05-20 10:02:00+00:00,2015-05-21 13:12:50+00:00,1 days 03:10:50,2844.574870907743
26,cluster-1_location-32,54.99608764705882,13.209752352941177,2015-05-24 07:04:52+00:00,2015-05-25 07:02:20+00:00,0 days 23:57:28,4445.745604948831
27,cluster-1_location-33,54.96796416666666,13.180267500000001,2015-05-25 10:18:19+00:00,2015-05-26 02:02:19+00:00,0 days 15:44:00,1674.9227865668684
28,cluster-1_location-34,54.95727388888889,13.139642222222225,2015-05-26 09:08:49+00:00,2015-05-28 03:11:38+00:00,1 days 18:02:49,1855.999888627354
29,cluster-1_location-35,54.95488727272727,13.129332727272725,2015-05-28 07:48:00+00:00,2015-05-29 13:09:11+00:00,1 days 05:21:11,2461.8669819040824
30,cluster-1_location-36,54.952921299999986,13.119360599999998,2015-05-29 15:00:49+00:00,2015-06-04 17:09:30+00:00,6 days 02:08:41,3064.408731327516
31,cluster-1_location-37,54.956928571428584,13.10471142857143,2015-06-04 20:11:49+00:00,2015-06-05 12:11:39+00:00,0 days 15:59:50,3584.269290044782
32,cluster-1_location-38,54.956455,13.0943875,2015-06-08 13:43:05+00:00,2015-06-09 06:09:34+00:00,0 days 16:26:29,4203.240109150901
33,cluster-1_location-39,54.94914,13.0816916,2015-06-09 10:18:56+00:00,2015-06-10 12:07:15+00:00,1 days 01:48:19,5288.116360222193
34,cluster-1_location-4,54.96623972222223,13.158421944444445,2015-01-31 14:05:50+00:00,2015-02-03 11:07:50+00:00,2 days 21:02:00,632.4966867393442
35,cluster-1_location-40,54.948980666666664,13.096158666666668,2015-06-10 14:10:13+00:00,2015-06-11 15:12:34+00:00,1 days 01:02:21,4504.176884886164
36,cluster-1_location-5,54.97715000000001,13.151396,2015-02-06 05:27:42+00:00,2015-02-06 17:19:42+00:00,0 days 11:52:00,661.2315853102111
37,cluster-1_location-6,54.969889574468084,13.168395,2015-02-06 22:06:42+00:00,2015-02-12 07:16:43+00:00,5 days 09:10:01,888.443121905276
38,cluster-1_location-7,54.97110443037975,13.10891746835443,2015-02-19 17:19:35+00:00,2015-02-26 01:10:03+00:00,6 days 07:50:28,2926.9436623960632
39,cluster-1_location-8,54.984266363636365,13.12792303030303,2015-02-26 03:07:44+00:00,2015-02-28 01:06:55+00:00,1 days 21:59:11,2222.988740570442
40,cluster-1_location-9,54.97789714285715,13.117319047619048,2015-03-04 19:42:19+00:00,2015-03-05 22:19:39+00:00,1 days 02:37:20,2492.864086381388
