index,known_windfarms_index,windfarm_name,vessel_name,cluster_name,latitude,longitude,begin,end,cluster_fpath
0,61,Luchterduinen,245179000-aeolus,cluster-2,52.40535349693252,4.164851893251534,2014-07-24 04:06:00+00:00,2015-06-08 23:09:06+00:00,data/marinetraffic/clustered/245179000-aeolus/cluster-2/245179000-aeolus_cluster-2.csv
1,65,Gemini,245179000-aeolus,cluster-5,54.037804167507566,6.038564652875882,2015-07-01 02:17:27+00:00,2016-06-01 10:17:28+00:00,data/marinetraffic/clustered/245179000-aeolus/cluster-5/245179000-aeolus_cluster-5.csv
2,65,Gemini,245179000-aeolus,cluster-6,54.03503668852459,5.877428413114754,2015-08-17 02:17:54+00:00,2016-08-23 20:12:26+00:00,data/marinetraffic/clustered/245179000-aeolus/cluster-6/245179000-aeolus_cluster-6.csv
3,100,Norther,245179000-aeolus,cluster-9,51.52273531776913,3.007989389105058,2018-08-06 00:22:18+00:00,2019-04-25 14:16:19+00:00,data/marinetraffic/clustered/245179000-aeolus/cluster-9/245179000-aeolus_cluster-9.csv
4,99,Moray East,215644000-blue-tern,cluster-3,58.1560284599694,-2.7015255140234573,2021-05-01 18:16:08+00:00,2021-09-14 17:09:30+00:00,data/marinetraffic/clustered/215644000-blue-tern/cluster-3/215644000-blue-tern_cluster-3.csv
5,31,BARD Oﬀshore I,218389000-thor,cluster-2,54.33240464795213,5.985829947537966,2010-06-06 16:14:09+00:00,2013-06-10 16:29:00+00:00,data/marinetraffic/clustered/218389000-thor/cluster-2/218389000-thor_cluster-2.csv
6,47,Global Tech I,218389000-thor,cluster-6,54.48003622119816,6.377868824884793,2013-09-05 19:14:00+00:00,2016-10-31 04:53:44+00:00,data/marinetraffic/clustered/218389000-thor/cluster-6/218389000-thor_cluster-6.csv
7,73,Nobelwind,218657000-vole-au-vent,cluster-5,51.66952897612488,2.8120086492194676,2016-03-24 18:09:36+00:00,2016-12-03 10:11:43+00:00,data/marinetraffic/clustered/218657000-vole-au-vent/cluster-5/218657000-vole-au-vent_cluster-5.csv
8,101,Northwester 2,218657000-vole-au-vent,cluster-5,51.66952897612488,2.8120086492194676,2016-03-24 18:09:36+00:00,2016-12-03 10:11:43+00:00,data/marinetraffic/clustered/218657000-vole-au-vent/cluster-5/218657000-vole-au-vent_cluster-5.csv
9,56,EnBW Baltic II (MP),218657000-vole-au-vent,cluster-1,54.971527708495714,13.154770810600157,2015-01-17 17:00:00+00:00,2015-06-11 15:12:34+00:00,data/marinetraffic/clustered/218657000-vole-au-vent/cluster-1/218657000-vole-au-vent_cluster-1.csv
10,59,Westermost Rough,219019002-sea-challenger,cluster-2,53.80851086894587,0.1605445998148148,2014-08-08 03:17:00+00:00,2016-07-04 19:02:24+00:00,data/marinetraffic/clustered/219019002-sea-challenger/cluster-2/219019002-sea-challenger_cluster-2.csv
11,84,Arkona,219019002-sea-challenger,cluster-10,54.78368041666667,14.12013025462963,2018-07-02 18:10:53+00:00,2018-10-20 09:11:06+00:00,data/marinetraffic/clustered/219019002-sea-challenger/cluster-10/219019002-sea-challenger_cluster-10.csv
12,93,East Anglia One,219019002-sea-challenger,cluster-12,52.17200759036143,2.522264293172691,2020-01-01 02:18:43+00:00,2020-03-01 19:14:14+00:00,data/marinetraffic/clustered/219019002-sea-challenger/cluster-12/219019002-sea-challenger_cluster-12.csv
13,70,Dudgeon,219019002-sea-challenger,cluster-6,53.261560604651166,1.3804933311627907,2016-08-31 18:03:06+00:00,2017-09-07 01:01:33+00:00,data/marinetraffic/clustered/219019002-sea-challenger/cluster-6/219019002-sea-challenger_cluster-6.csv
14,63,Gode Wind I & II,219019002-sea-challenger,cluster-3,54.05698308300395,6.990747936758893,2015-08-06 06:11:20+00:00,2018-11-14 23:39:22+00:00,data/marinetraffic/clustered/219019002-sea-challenger/cluster-3/219019002-sea-challenger_cluster-3.csv
15,96,Hornsea,219019002-sea-challenger,cluster-8,53.93687706363106,1.7468826526561587,2018-04-26 10:16:31+00:00,2021-11-12 02:37:10+00:00,data/marinetraffic/clustered/219019002-sea-challenger/cluster-8/219019002-sea-challenger_cluster-8.csv
16,90,Borssele I/II,219019002-sea-challenger,cluster-11,51.70114293971411,3.063396044126787,2018-10-31 14:01:01+00:00,2020-09-02 01:13:48+00:00,data/marinetraffic/clustered/219019002-sea-challenger/cluster-11/219019002-sea-challenger_cluster-11.csv
17,55,Humber Gateway,246777000-resolution,cluster-5,53.6436418005834,0.29638149697692917,2014-04-21 13:22:00+00:00,2015-04-14 06:11:48+00:00,data/marinetraffic/clustered/246777000-resolution/cluster-5/246777000-resolution_cluster-5.csv
18,52,Northwind,246777000-resolution,cluster-4,51.62111845391476,2.9020094743970923,2013-06-20 03:00:00+00:00,2014-03-04 10:07:00+00:00,data/marinetraffic/clustered/246777000-resolution/cluster-4/246777000-resolution_cluster-4.csv
19,7,North Hoyle,246777000-resolution,cluster-17,53.38194609876543,-3.5995018259259255,2020-11-05 20:01:01+00:00,2021-03-03 18:10:48+00:00,data/marinetraffic/clustered/246777000-resolution/cluster-17/246777000-resolution_cluster-17.csv
20,36,Lincs,246777000-resolution,cluster-1,53.18243565284178,0.4942268930875576,2011-05-13 15:04:00+00:00,2013-03-31 20:04:00+00:00,data/marinetraffic/clustered/246777000-resolution/cluster-1/246777000-resolution_cluster-1.csv
21,17,Lynn & Inner Dowsing,246777000-resolution,cluster-1,53.18243565284178,0.4942268930875576,2011-05-13 15:04:00+00:00,2013-03-31 20:04:00+00:00,data/marinetraffic/clustered/246777000-resolution/cluster-1/246777000-resolution_cluster-1.csv
22,99,Moray East,229080000-bold-tern,cluster-7,58.216961136801544,-2.782749926782274,2016-08-04 21:06:44+00:00,2021-05-01 23:01:36+00:00,data/marinetraffic/clustered/229080000-bold-tern/cluster-7/229080000-bold-tern_cluster-7.csv
23,96,Hornsea,229080000-bold-tern,cluster-12,53.89008086206897,1.922469474137931,2019-02-05 21:14:51+00:00,2019-09-24 22:04:13+00:00,data/marinetraffic/clustered/229080000-bold-tern/cluster-12/229080000-bold-tern_cluster-12.csv
24,60,Butendiek,229080000-bold-tern,cluster-5,55.01798612640163,7.774301241590215,2014-09-12 15:04:00+00:00,2015-06-13 16:17:23+00:00,data/marinetraffic/clustered/229080000-bold-tern/cluster-5/229080000-bold-tern_cluster-5.csv
25,76,Galloper,229080000-bold-tern,cluster-9,51.94186920289856,2.079334010869565,2017-09-18 11:10:24+00:00,2017-12-22 15:04:27+00:00,data/marinetraffic/clustered/229080000-bold-tern/cluster-9/229080000-bold-tern_cluster-9.csv
26,47,Global Tech I,229080000-bold-tern,cluster-3,54.51064332023575,6.369831538310413,2014-03-04 18:09:00+00:00,2014-08-01 07:04:00+00:00,data/marinetraffic/clustered/229080000-bold-tern/cluster-3/229080000-bold-tern_cluster-3.csv
27,69,Veja Mate,229080000-bold-tern,cluster-8,54.326712431972794,5.873987153061225,2016-09-09 17:16:28+00:00,2017-04-08 11:22:18+00:00,data/marinetraffic/clustered/229080000-bold-tern/cluster-8/229080000-bold-tern_cluster-8.csv
28,89,Borkum Riffgrund 2,229080000-bold-tern,cluster-11,53.94925871508379,6.494126645251397,2018-05-04 04:20:58+00:00,2018-09-02 19:08:03+00:00,data/marinetraffic/clustered/229080000-bold-tern/cluster-11/229080000-bold-tern_cluster-11.csv
29,98,Merkur,235090598-blue-tern,cluster-7,54.03589970762906,6.547455858382824,2018-02-23 01:02:12+00:00,2019-03-10 02:04:28+00:00,data/marinetraffic/clustered/235090598-blue-tern/cluster-7/235090598-blue-tern_cluster-7.csv
