MMSI;LAT;LON;SPEED;HEADING;COURSE;STATUS;TIMESTAMP
218389000;53.45038;6.820128;0;14;214;6;2012-01-12 19:24:00
246777000;51.47277;3.70931;2;328;28;5;2012-01-12 19:25:00
245924000;51.94917;1.256;1;90;194;0;2012-01-12 19:28:00
218389000;53.45033;6.82004;0;14;214;6;2012-01-12 20:00:00
246777000;51.47273;3.709315;1;328;110;5;2012-01-12 20:01:00
245924000;51.94917;1.256;0;90;43;0;2012-01-12 20:02:00
218389000;53.45039;6.820118;0;14;214;6;2012-01-12 21:00:00
245924000;51.94917;1.256;0;90;172;0;2012-01-12 21:08:00
246777000;51.47278;3.709308;0;328;0;5;2012-01-12 21:09:00
218389000;53.45031;6.820195;1;14;214;6;2012-01-12 22:00:00
245924000;51.94917;1.256;0;90;243;0;2012-01-12 22:05:00
246777000;51.47278;3.709317;1;328;194;5;2012-01-12 22:09:00
218389000;53.45035;6.820034;0;14;214;6;2012-01-12 23:00:00
245924000;51.94917;1.256;2;90;19;0;2012-01-12 23:01:00
246777000;51.47276;3.709307;2;328;239;5;2012-01-12 23:08:00
218389000;53.45039;6.820096;0;14;214;6;2012-01-13 00:00:00
245924000;51.94917;1.256;0;90;39;0;2012-01-13 00:09:00
246777000;51.47275;3.709317;1;328;320;5;2012-01-13 00:25:00
218389000;53.45037;6.8201;0;13;214;6;2012-01-13 01:00:00
245924000;51.94917;1.256;0;90;114;0;2012-01-13 01:05:00
246777000;51.47279;3.709305;1;328;134;5;2012-01-13 01:10:00
218389000;53.45038;6.82017;0;14;214;6;2012-01-13 02:00:00
245924000;51.94917;1.256;1;90;32;0;2012-01-13 02:01:00
246777000;51.4729;3.709345;2;328;169;5;2012-01-13 02:05:00
218389000;53.45037;6.820128;0;14;214;6;2012-01-13 03:00:00
245924000;51.94917;1.256;0;90;345;0;2012-01-13 03:08:00
246777000;51.4728;3.709362;2;328;188;5;2012-01-13 03:21:00
218389000;53.45029;6.81997;0;14;214;6;2012-01-13 04:00:00
245924000;51.94917;1.256;0;90;299;0;2012-01-13 04:06:00
246777000;51.47276;3.70931;1;328;324;5;2012-01-13 04:14:00
218389000;53.45032;6.820175;0;14;214;6;2012-01-13 05:00:00
245924000;51.94917;1.256;1;90;234;0;2012-01-13 05:05:00
246777000;51.47276;3.709308;1;328;150;5;2012-01-13 05:13:00
218389000;53.45031;6.820157;0;14;214;6;2012-01-13 06:00:00
246777000;51.47274;3.709298;3;328;116;5;2012-01-13 06:01:00
245924000;51.94917;1.256;0;90;277;0;2012-01-13 06:03:00
218389000;53.45033;6.82009;0;14;214;6;2012-01-13 07:00:00
245924000;51.94917;1.256;1;90;359;0;2012-01-13 07:02:00
246777000;51.47278;3.709347;1;328;25;5;2012-01-13 07:03:00
218389000;53.45036;6.819992;0;14;214;6;2012-01-13 08:00:00
245924000;51.94917;1.256;1;90;227;0;2012-01-13 08:02:00
246777000;51.47277;3.709307;1;328;359;5;2012-01-13 08:06:00
218389000;53.45031;6.820138;0;14;214;6;2012-01-13 09:00:00
245924000;51.949;1.256;0;90;200;0;2012-01-13 09:02:00
246777000;51.47277;3.709335;2;328;47;5;2012-01-13 09:08:00
218389000;53.45036;6.820199;0;14;214;6;2012-01-13 10:00:00
246777000;51.47279;3.709335;1;328;90;5;2012-01-13 10:01:00
245924000;51.94917;1.256;1;90;126;0;2012-01-13 10:01:00
245924000;51.94917;1.256;0;90;10;0;2012-01-13 11:00:00
218389000;53.45037;6.820123;0;14;214;6;2012-01-13 11:00:00
246777000;51.47277;3.709327;3;328;5;5;2012-01-13 11:13:00
218389000;53.45045;6.82009;0;14;214;6;2012-01-13 12:00:00
246777000;51.47278;3.709317;2;328;357;5;2012-01-13 12:03:00
245924000;51.94917;1.256;1;90;72;0;2012-01-13 12:09:00
218389000;53.4505;6.820165;1;14;214;6;2012-01-13 13:00:00
245924000;51.94917;1.256;1;90;265;0;2012-01-13 13:06:00
246777000;51.47278;3.709348;1;328;154;5;2012-01-13 13:20:00
218389000;53.45043;6.820135;0;14;214;6;2012-01-13 14:00:00
245924000;51.94917;1.256;2;90;215;0;2012-01-13 14:03:00
246777000;51.47277;3.709308;3;328;164;5;2012-01-13 14:08:00
218389000;53.45037;6.820102;0;14;214;6;2012-01-13 15:00:00
245924000;51.949;1.256;1;90;273;0;2012-01-13 15:00:00
246777000;51.47279;3.709295;2;328;127;5;2012-01-13 15:37:00
218389000;53.45037;6.82008;0;14;214;6;2012-01-13 16:00:00
245924000;51.94917;1.256;1;90;11;0;2012-01-13 16:07:00
246777000;51.47277;3.709307;1;328;159;5;2012-01-13 16:15:00
218389000;53.45032;6.820247;0;14;214;6;2012-01-13 17:00:00
245924000;51.94917;1.256;1;90;304;0;2012-01-13 17:05:00
246777000;51.47282;3.70933;2;328;326;5;2012-01-13 17:06:00
218389000;53.45035;6.820157;0;14;214;6;2012-01-13 18:00:00
245924000;51.94917;1.256;0;90;41;0;2012-01-13 18:03:00
246777000;51.47277;3.709305;1;328;214;5;2012-01-13 18:11:00
218389000;53.45031;6.82012;0;14;214;6;2012-01-13 19:00:00
245924000;51.94917;1.256;1;90;82;0;2012-01-13 19:01:00
246777000;51.47278;3.709318;1;328;341;5;2012-01-13 19:02:00
218389000;53.45036;6.820123;0;14;214;6;2012-01-13 20:00:00
246777000;51.47275;3.70931;1;328;194;5;2012-01-13 20:01:00
245924000;51.94917;1.256;0;90;223;5;2012-01-13 20:06:00
218389000;53.45035;6.820123;0;14;214;6;2012-01-13 21:00:00
245924000;51.94917;1.256;0;90;294;5;2012-01-13 21:06:00
246777000;51.47277;3.709317;0;328;212;5;2012-01-13 21:18:00
218389000;53.45029;6.820182;0;14;214;6;2012-01-13 22:00:00
246777000;51.47279;3.70927;1;328;291;5;2012-01-13 22:09:00
245924000;51.94917;1.256;1;90;236;5;2012-01-13 22:10:00
218389000;53.45039;6.820172;0;14;214;6;2012-01-13 23:00:00
245924000;51.949;1.256;0;90;193;5;2012-01-13 23:13:00
246777000;51.47279;3.70932;0;328;0;5;2012-01-13 23:23:00
218389000;53.4504;6.82012;0;14;214;6;2012-01-14 00:00:00
245924000;51.94917;1.256;0;90;25;5;2012-01-14 00:00:00
246777000;51.47279;3.709312;2;329;138;5;2012-01-14 00:08:00
218389000;53.45039;6.820088;0;14;214;6;2012-01-14 01:00:00
245924000;51.949;1.256;1;90;307;5;2012-01-14 01:03:00
246777000;51.46965;3.709397;13;327;168;5;2012-01-14 01:13:00
218389000;53.45043;6.820145;0;14;214;6;2012-01-14 02:00:00
246777000;51.43256;3.598372;79;259;257;0;2012-01-14 02:02:00
245924000;51.94917;1.256;0;90;152;5;2012-01-14 02:02:00
218389000;53.45063;6.820127;0;14;214;6;2012-01-14 03:00:00
246777000;51.41256;3.395925;65;263;264;0;2012-01-14 03:03:00
245924000;51.949;1.256;0;90;333;5;2012-01-14 03:05:00
218389000;53.45036;6.820103;0;14;214;6;2012-01-14 04:00:00
246777000;51.40787;3.207977;81;262;259;0;2012-01-14 04:03:00
245924000;51.94917;1.256;1;90;214;5;2012-01-14 04:07:00
218389000;53.45029;6.82014;0;14;214;6;2012-01-14 05:00:00
246777000;51.40315;3.008785;84;248;253;0;2012-01-14 05:00:00
245924000;51.94917;1.256;0;90;320;5;2012-01-14 05:09:00
246777000;51.36893;2.784928;91;257;257;0;2012-01-14 06:00:00
218389000;53.45025;6.820083;0;14;214;6;2012-01-14 06:00:00
245924000;51.94917;1.256;1;90;332;5;2012-01-14 06:14:00
218389000;53.4503;6.820138;0;14;214;6;2012-01-14 07:00:00
246777000;51.49151;2.7426;102;355;359;0;2012-01-14 07:03:00
245924000;51.94917;1.256;1;90;94;5;2012-01-14 07:05:00
218389000;53.45034;6.82012;0;14;214;6;2012-01-14 08:00:00
246777000;51.65497;2.73942;97;5;2;0;2012-01-14 08:03:00
245924000;51.94917;1.256;0;90;356;5;2012-01-14 08:04:00
218389000;53.45027;6.820095;0;14;214;6;2012-01-14 09:00:00
245924000;51.94917;1.256;0;90;243;5;2012-01-14 09:03:00
218389000;53.45032;6.820173;0;13;214;6;2012-01-14 10:00:00
245924000;51.94917;1.256;0;90;339;5;2012-01-14 10:06:00
218389000;53.45044;6.820268;0;13;214;6;2012-01-14 11:00:00
245924000;51.94917;1.256;0;90;94;5;2012-01-14 11:05:00
218389000;53.44958;6.83311;18;70;77;6;2012-01-14 12:00:00
245924000;51.94917;1.256;0;90;321;5;2012-01-14 12:11:00
245924000;51.94917;1.256;1;90;49;5;2012-01-14 13:01:00
218389000;53.49561;6.812063;26;310;314;6;2012-01-14 13:02:00
245924000;51.94917;1.256;1;90;228;5;2012-01-14 14:00:00
218389000;53.53307;6.735229;41;304;303;6;2012-01-14 14:03:00
246777000;52.45995;2.280383;82;335;328;0;2012-01-14 14:23:00
246777000;52.54625;2.21789;92;330;328;0;2012-01-14 15:01:00
218389000;53.58152;6.626963;56;295;299;3;2012-01-14 15:02:00
245924000;51.949;1.256;0;90;69;5;2012-01-14 15:05:00
218389000;53.61408;6.48838;59;277;277;3;2012-01-14 16:01:00
246777000;52.68682;2.039128;115;319;323;0;2012-01-14 16:04:00
245924000;51.949;1.256;0;90;351;5;2012-01-14 16:04:00
218389000;53.61804;6.330978;53;301;287;3;2012-01-14 17:00:00
246777000;52.81357;1.80375;127;301;304;0;2012-01-14 17:02:00
245924000;51.94917;1.256;0;90;128;5;2012-01-14 17:05:00
246777000;52.93063;1.536688;119;302;302;0;2012-01-14 18:00:00
218389000;53.67228;6.300605;35;6;346;3;2012-01-14 18:02:00
245924000;51.94917;1.256;1;90;54;5;2012-01-14 18:09:00
218389000;53.73069;6.282873;36;5;345;3;2012-01-14 19:03:00
