,turbine_cluster,begin,end,duration,lat,lon,n_samples
0,turbine_cluster_1,2016-09-01 01:03:06+00:00,2017-09-05 08:10:30+00:00,31907244.0,53.26583214285715,1.3797265684523805,336
1,turbine_cluster_2,2017-01-06 09:13:39+00:00,2017-01-09 02:33:44+00:00,235205.0,53.25267000000001,1.368167,7
2,turbine_cluster_3,2017-01-10 02:00:32+00:00,2017-01-16 22:28:56+00:00,592104.0,53.24032529411765,1.3678232352941175,34
3,turbine_cluster_4,2017-01-17 14:05:26+00:00,2017-01-20 00:00:19+00:00,208493.0,53.23582999999999,1.3775527368421054,19
4,turbine_cluster_5,2017-01-20 08:06:35+00:00,2017-01-22 08:15:46+00:00,173351.0,53.23132999999999,1.3873329999999997,13
5,turbine_cluster_6,2017-01-26 07:18:24+00:00,2017-01-31 08:02:58+00:00,434674.0,53.22675727272726,1.3971062727272725,22
6,turbine_cluster_7,2017-01-31 18:13:24+00:00,2017-02-05 21:03:34+00:00,442210.0,53.25933,1.3809833,10
7,turbine_cluster_8,2017-02-06 11:17:11+00:00,2017-02-09 17:06:57+00:00,280186.0,53.2475,1.3793329999999997,12
8,turbine_cluster_9,2017-02-18 16:16:50+00:00,2017-02-25 20:17:44+00:00,619254.0,53.237092812499995,1.40167321875,32
9,turbine_cluster_10,2017-02-25 23:12:08+00:00,2017-03-03 10:22:31+00:00,472223.0,53.22228692307693,1.4068266153846154,26
10,turbine_cluster_11,2017-03-04 09:26:06+00:00,2017-03-05 09:13:54+00:00,85668.0,53.271,1.383,8
11,turbine_cluster_12,2017-03-05 20:18:42+00:00,2017-03-07 03:13:42+00:00,111300.0,53.26567,1.3942223333333332,6
12,turbine_cluster_13,2017-03-12 12:15:27+00:00,2017-03-14 05:14:01+00:00,147514.0,53.24383,1.4144848181818184,11
13,turbine_cluster_14,2017-03-14 15:12:20+00:00,2017-03-15 22:13:33+00:00,111673.0,53.23865785714285,1.4256670000000002,14
14,turbine_cluster_15,2017-03-16 14:28:16+00:00,2017-03-19 11:16:43+00:00,247707.0,53.22670764705882,1.425382117647059,17
15,turbine_cluster_16,2017-03-19 22:37:33+00:00,2017-03-22 13:00:43+00:00,224590.0,53.25417000000001,1.3921670000000002,13
16,turbine_cluster_17,2017-03-26 07:12:16+00:00,2017-03-27 22:07:36+00:00,140120.0,53.24900000000001,1.4033202307692307,13
17,turbine_cluster_18,2017-03-28 15:18:54+00:00,2017-03-31 09:01:52+00:00,236578.0,53.231829999999995,1.4145,13
18,turbine_cluster_19,2017-03-31 20:07:14+00:00,2017-04-01 22:16:16+00:00,94142.0,53.21767,1.4164999999999999,10
19,turbine_cluster_20,2017-04-02 08:18:46+00:00,2017-09-07 08:01:33+00:00,13650167.0,53.21317781249999,1.426323375,32
20,turbine_cluster_21,2017-04-08 05:32:03+00:00,2017-04-09 14:16:14+00:00,117851.0,53.28267000000002,1.3847085000000001,12
21,turbine_cluster_22,2017-04-10 04:09:48+00:00,2017-04-11 16:02:14+00:00,129146.0,53.289,1.398,5
22,turbine_cluster_23,2017-04-12 01:14:10+00:00,2017-04-14 08:03:13+00:00,197343.0,53.29332999999999,1.3887832,10
23,turbine_cluster_24,2017-04-14 22:47:46+00:00,2017-04-15 19:18:24+00:00,73838.0,53.29767,1.3795,2
24,turbine_cluster_25,2017-04-20 21:05:05+00:00,2017-04-22 13:20:37+00:00,144932.0,53.30183,1.3702776666666667,6
25,turbine_cluster_26,2017-04-23 03:11:18+00:00,2017-04-23 15:41:47+00:00,45029.0,53.30617,1.361,3
26,turbine_cluster_27,2017-04-27 11:25:57+00:00,2017-04-28 07:20:41+00:00,71684.0,53.27617,1.3718329999999999,3
27,turbine_cluster_28,2017-04-29 04:02:15+00:00,2017-05-02 13:04:26+00:00,291731.0,53.28783,1.3735,16
28,turbine_cluster_29,2017-05-09 08:45:39+00:00,2017-05-10 16:04:56+00:00,112757.0,53.293,1.36231225,8
29,turbine_cluster_30,2017-05-11 08:10:06+00:00,2017-05-12 13:03:46+00:00,104020.0,53.29828428571428,1.351119285714286,7
30,turbine_cluster_31,2017-05-13 01:24:17+00:00,2017-08-05 01:00:25+00:00,7256168.0,53.31050000000001,1.3518211428571425,14
31,turbine_cluster_32,2017-05-14 12:31:57+00:00,2017-05-15 16:17:56+00:00,99959.0,53.314710000000005,1.3425,8
32,turbine_cluster_33,2017-05-20 11:06:07+00:00,2017-05-21 02:06:37+00:00,54030.0,53.28133,1.3606113333333336,3
35,turbine_cluster_36,2017-05-24 17:28:40+00:00,2017-05-25 17:29:26+00:00,86446.0,53.30345,1.3399499000000001,10
36,turbine_cluster_37,2017-05-29 13:02:25+00:00,2017-05-30 19:03:11+00:00,108046.0,53.30983,1.332870111111111,9
37,turbine_cluster_38,2017-05-30 23:20:29+00:00,2017-06-01 08:15:31+00:00,118502.0,53.30550000000001,1.3225,10
38,turbine_cluster_39,2017-06-17 14:11:38+00:00,2017-06-18 15:00:23+00:00,89325.0,53.2645,1.369833,6
39,turbine_cluster_40,2017-06-19 02:12:55+00:00,2017-06-20 12:11:00+00:00,122285.0,53.257830000000006,1.357,12
40,turbine_cluster_41,2017-06-24 19:38:57+00:00,2017-06-26 21:18:55+00:00,178798.0,53.263000000000005,1.3457914375,16
41,turbine_cluster_42,2017-06-27 10:07:39+00:00,2017-06-29 16:30:25+00:00,195766.0,53.26817,1.3346335999999999,10
42,turbine_cluster_43,2017-06-30 01:19:47+00:00,2017-07-01 22:05:18+00:00,161131.0,53.27700000000001,1.321833,12
44,turbine_cluster_45,2017-07-06 22:22:18+00:00,2017-07-08 02:11:10+00:00,100132.0,53.27750000000001,1.3959499000000002,10
45,turbine_cluster_46,2017-07-08 10:37:16+00:00,2017-07-09 06:04:49+00:00,70053.0,53.28483,1.407167,5
46,turbine_cluster_47,2017-07-09 17:06:08+00:00,2017-07-10 20:04:00+00:00,97072.0,53.2805,1.4164999999999999,10
47,turbine_cluster_48,2017-07-11 01:02:07+00:00,2017-07-11 23:29:51+00:00,80864.0,53.27233999999999,1.4071669999999998,11
48,turbine_cluster_49,2017-07-14 21:05:26+00:00,2017-07-18 06:00:24+00:00,291298.0,53.26197166666666,1.4294860833333336,12
49,turbine_cluster_50,2017-07-18 19:09:05+00:00,2017-07-20 21:22:07+00:00,180782.0,53.26717,1.418333,8
50,turbine_cluster_51,2017-07-21 04:08:08+00:00,2017-07-23 08:06:48+00:00,187120.0,53.27616999999999,1.4256431428571432,14
51,turbine_cluster_52,2017-07-23 18:18:52+00:00,2017-07-24 16:07:34+00:00,78522.0,53.272,1.434972166666667,6
52,turbine_cluster_53,2017-07-28 09:17:34+00:00,2017-07-29 18:21:41+00:00,119047.0,53.250524285714285,1.4286669999999997,7
53,turbine_cluster_54,2017-07-30 23:22:55+00:00,2017-08-01 00:20:39+00:00,89864.0,53.25297166666667,1.4429999999999998,12
54,turbine_cluster_55,2017-08-01 14:19:21+00:00,2017-08-02 12:14:02+00:00,78881.0,53.26767,1.444167,9
55,turbine_cluster_56,2017-08-07 08:12:21+00:00,2017-08-09 02:05:49+00:00,150808.0,53.24482999999999,1.3581550714285717,14
56,turbine_cluster_57,2017-08-10 13:10:05+00:00,2017-08-12 01:32:18+00:00,130933.0,53.249427499999996,1.3483747499999998,12
57,turbine_cluster_58,2017-08-12 10:11:14+00:00,2017-08-13 08:17:57+00:00,79603.0,53.26966,1.35862525,4
58,turbine_cluster_59,2017-08-13 19:05:25+00:00,2017-08-14 18:12:09+00:00,83204.0,53.27484888888889,1.347444333333333,9
59,turbine_cluster_60,2017-08-17 17:07:14+00:00,2017-08-21 03:09:49+00:00,295355.0,53.25383,1.3386484444444444,18
60,turbine_cluster_61,2017-08-21 17:05:55+00:00,2017-08-22 23:27:54+00:00,109319.0,53.258353333333325,1.3288191666666664,12
61,turbine_cluster_62,2017-08-23 09:03:07+00:00,2017-08-24 19:25:13+00:00,123726.0,53.28003777777778,1.3362776666666667,9
62,turbine_cluster_63,2017-08-25 08:19:33+00:00,2017-08-26 07:55:44+00:00,84971.0,53.28417,1.320833,8
63,turbine_cluster_64,2017-08-28 23:08:09+00:00,2017-08-30 04:12:48+00:00,104679.0,53.26285125,1.319167,8
64,turbine_cluster_65,2017-08-31 08:22:04+00:00,2017-09-01 20:10:23+00:00,128899.0,53.291244666666664,1.3213329999999996,15
65,turbine_cluster_66,2017-09-02 02:33:07+00:00,2017-09-02 18:20:09+00:00,56822.0,53.29833,1.3219666,5
