windfarm_name,construction_begin,construction_end,longitude,latitude
norther offshore wind farm,2018-08-01,2019-08-01,3.014,51.527
hohe see,2018-04-01,2021-08-01,6.316667,54.433333
veja mate,2016-04-01,2017-05-01,5.870833,54.316944
bard offshore 1,2009-06-01,2013-07-01,5.975,54.358333
global tech 1,2012-07-01,2014-08-01,6.358,54.5
merkur,2017-04-01,2018-09-01,6.55,54.033
arkona,2017-08-01,2018-02-01,14.121,54.782
wikinger,2016-02-01,2017-10-01,14.068,54.843
nordsee one,2015-12-15,2017-09-22,6.8,53.967
borkum riffground,2014-01-01,2015-05-01,6.55,53.967
amrumbank west,2013-05-01,2015-04-01,7.8,54.5
nordsee ost,2013-08-01,2014-08-01,7.683,54.433
butendiek,2014-06-01,2015-06-11,7.75,54.9
dantysk,2013-02-01,2014-08-01,7.175,55.15
baltic 2,2013-08-01,2015-04-01,12.651,54.609
meerwind suedost,2012-08-01,2014-09-01,5.586,52.739
sandbank,2015-04-01,2017-01-21,6.8,53.967
gode wind 2,2015-04-01,2017-06-01,7.033,54.0667
deutsche bucht,2017-07-01,2019-06-01,5.779,54.305
trianel borkum west 2,2011-08-01,2014-06-01,6.457,54.046
riffgat,2012-06-10,2013-08-10,6.48,53.69
alpha ventus,2008-07-01,2009-11-16,6.59833,54.00833
nordergruende,2016-05-01,2016-12-01,8.166,53.833
borssele 12,2020-01-01,2020-10-01,3.061,51.745
borssele 34,2019-10-01,2020-11-01,2.971,51.667
gemini wind farm,2015-07-01,2016-10-01,5.933,54.033
hornesea 1,2017-01-01,2019-10-01,1.791,53.885
gwynt y mor,2013-04-01,2014-07-01,-3.58,53.45
race bank,2017-05-01,2018-02-01,0.848,53.275
gudgeon,2017-01-01,2017-10-01,1.38,53.267
rampion,2017-03-10,2017-10-01,50.67,-0.277
walnes,2010-04-01,2018-04-01,-3.522,54.044
burbo bank extension,2006-04-01,2007-10-18,0.483333,53.183333
westmost rough,2014-02-01,2015-05-01,0.14889,53.805
sheringham shoal,2009-09-01,2012-07-30,1.147,53.135
thanet,2008-05-01,2010-10-22,1.6175,51.425
lincs,2010-03-01,2013-03-30,0.48,53.1833
kriegers flak,2020-05-01,2021-06-05,12.939,55.026
northwester 2,2019-07-01,2020-05-01,2.757,51.686
nobelwind,2016-09-22,2017-05-30,2.819972,51.659972
ormonde,2010-05-01,2011-08-30,-3.4,54.1
luchterduinen,2013-10-01,2015-06-30,4.162,52.405
walney 1,2010-04-01,2011-05-30,-3.522,54.044
walney 2,2011-03-01,2011-11-30,-3.522,54.044
hornrev 1,2002-01-01,2002-12-11,7.8407,55.488
hornsrev 2,2008-05-01,2009-09-30,7.906111,55.529722
hornsrev 3,2017-10-01,2019-08-30,7.906111,55.529722
belwind,2009-08-01,2010-10-31,2.8,51.66
amalia windpark,2006-10-10,2008-06-01,4.22,52.59 
london array,2011-03-01,2013-06-30,1.483333,51.633333

