Name, Baubeginn, Bauende, Längengrad, Breitengrad
Norther Offshore Wind Farm, 2018-08-01, 2019-08-01, 3.014°, 51.527°
Hohe See, 2018-04-01, 2021-08-01, 6.316667°, 54.433333°
Veja Mate, 2016-04-01, 2017-05-01, 5.870833°, 54.316944°
BARD offshore 1, 2009-06-01, 2013-07-01, 5.975°, 54.358333°
Global Tech 1, 2012-07-01, 2014-08-01, 6.358°, 54.5°
Merkur, 2017-04-01, 2018-09-01, 6.55°, 54.033°
Arkona, 2017-08-01, 2018-20-01, 14.121°, 54.782°
Wikinger, 2016-02-01, 2017-10-01, 14.068°, 54.843°
Nordsee One, 2015-12-15, 2017-09-22, 6.8°, 53.967°
Borkum Riffground, 2014-01-01, 2015-05-01, 6.55°, 53.967°
Amrumbank West, 2013-05-01, 2015-04-01, 7.8°, 54.5°
Nordsee Ost, 2013-08-01, 2014-08-01, 7.683°, 54.433°
Butendiek, 2014-06-01, 2015-06-11, 7.75°, 54.9°
DanTysk, 2013-02-01, 2014-08-01, 7.175°, 55.15°
Baltic 2, 2013-08-01, 2015-04-01, 12.651°, 54.609°
Meerwind Sued/Ost, 2012-08-01, 2014-09-01, 5.586°, 52.739°
Sandbank, 2015-04-01, 2017-01-21, 6.8°, 53.967°
Gode Wind 2, 2015-04-01, 2017-06-01, 7.033°, 54.0667°
Deutsche Bucht, 2017-07-01, 2019-06-01, 5.779°, 54.305°
Trianel Borkum West 2, 2011-08-01, 2014-06-01, 6.457°, 54.046°
Riffgat, 2012-06-10, 2013-08-10, 6.48°, 53.69°
Alpha Ventus, 2008-07-01, 2009-11-16, 6.59833°, 54.00833°
Nordergruende, 2016-05-01, 2016-12-01, 8.166°, 53.833°
Borssele 1&2, 2020-01-01, 2020-10-01, 3.061°, 51.745°
Borssele 3&4, 2019-10-01, 2020-11-01, 2.971°, 51.667°
Gemini Wind Farm, 2015-07-01, 2016-10-01, 5.933°, 54.033°
Hornesea 1, 2017-01-01, 2019-10-01, 1.791°, 53.885°
Gwynt y Mor, 2013-04-01, 2014-07-01, -3.58°, 53.45°
Race Bank, 2017-05-01, 2018-02-01, 0.848°, 53.275°
Dudgeon, 2017-01-01, 2017-10-01, 1.38°, 53.267°
Rampion, 2017-03-10, 2017-10-01, 50.67°, -0.277°
Walnes, 2010-04-01, 2018-04-01, -3.522°, 54.044°
Lincs, 2010-03-01, 2013-03-01, 0.48°, 53.1833°
Burbo Bank Extension, 2006-04-01, 2007-10-18, 0.483333°, 53.183333°
Westmost Rough,2014-02-01, 2015-05-01, 0.14889°, 53.805°












                   
