index,location_key,latitude,longitude,begin,end,duration,distance_centroid
1,219019002-sea-challenger_cluster-2_location-1,53.80199999999999,0.18733329999999998,2014-08-15 17:07:00+00:00,2014-08-20 15:19:00+00:00,118.2,1902.2172324028188
3,219019002-sea-challenger_cluster-2_location-11,53.833999999999996,0.167,2014-12-28 23:15:00+00:00,2014-12-30 11:05:00+00:00,35.833333333333336,2865.7648457180667
4,219019002-sea-challenger_cluster-2_location-12,53.817330000000005,0.1275,2014-12-30 22:04:00+00:00,2015-01-03 20:16:00+00:00,94.2,2380.793969385571
5,219019002-sea-challenger_cluster-2_location-13,53.824,0.1193333,2015-01-04 13:10:00+00:00,2015-01-05 12:01:00+00:00,22.85,3207.1085140845803
6,219019002-sea-challenger_cluster-2_location-14,53.830000000000005,0.13349999999999998,2015-01-20 06:15:00+00:00,2015-01-21 19:06:38+00:00,36.86055555555556,2976.7805783732997
7,219019002-sea-challenger_cluster-2_location-15,53.835966,0.1475,2015-01-21 23:21:08+00:00,2015-01-22 21:10:05+00:00,21.815833333333334,3170.6711003287764
8,219019002-sea-challenger_cluster-2_location-16,53.84133,0.15833329999999998,2015-01-23 07:16:41+00:00,2015-01-26 05:07:51+00:00,69.85277777777777,3652.210811371288
9,219019002-sea-challenger_cluster-2_location-17,53.803999999999995,0.11816687368421057,2015-01-26 12:00:03+00:00,2015-01-29 05:16:36+00:00,65.27583333333334,2827.479266543424
10,219019002-sea-challenger_cluster-2_location-18,53.79750000000001,0.10584473571428574,2015-02-04 10:03:50+00:00,2015-02-05 21:01:59+00:00,34.969166666666666,3794.947200005806
11,219019002-sea-challenger_cluster-2_location-19,53.806000000000004,0.09733333000000001,2015-02-06 04:05:23+00:00,2015-02-07 06:09:24+00:00,26.066944444444445,4159.900054237758
13,219019002-sea-challenger_cluster-2_location-20,53.81083,0.08883277499999999,2015-02-07 10:03:53+00:00,2015-02-09 00:19:39+00:00,38.26277777777778,4715.461071209899
14,219019002-sea-challenger_cluster-2_location-21,53.817,0.10248147777777777,2015-02-09 08:23:03+00:00,2015-02-10 03:14:34+00:00,18.85861111111111,3927.1218807924497
15,219019002-sea-challenger_cluster-2_location-22,53.810500000000005,0.1103333,2015-02-14 22:11:01+00:00,2015-02-15 18:02:48+00:00,19.863055555555555,3304.1625203209915
16,219019002-sea-challenger_cluster-2_location-23,53.798,0.127,2015-02-16 01:12:08+00:00,2015-02-16 21:03:50+00:00,19.861666666666668,2493.642644970855
17,219019002-sea-challenger_cluster-2_location-24,53.7895,0.1355,2015-02-17 05:07:08+00:00,2015-02-17 18:01:40+00:00,12.908888888888889,2678.42027026519
18,219019002-sea-challenger_cluster-2_location-25,53.78233,0.1431667,2015-02-18 09:01:15+00:00,2015-02-20 14:02:33+00:00,53.02166666666667,3126.9354376372025
19,219019002-sea-challenger_cluster-2_location-26,53.7911619047619,0.11249999999999998,2015-03-06 18:13:01+00:00,2015-03-09 06:09:03+00:00,59.93388888888889,3698.2300671678227
20,219019002-sea-challenger_cluster-2_location-27,53.784,0.1211667,2015-03-09 15:06:21+00:00,2015-03-10 13:13:07+00:00,22.11277777777778,3757.2725077977543
21,219019002-sea-challenger_cluster-2_location-28,53.778,0.1321667,2015-03-11 02:04:30+00:00,2015-03-12 08:02:28+00:00,29.96611111111111,3870.972117284009
22,219019002-sea-challenger_cluster-2_location-29,53.796330000000005,0.15283329999999998,2015-03-16 05:06:15+00:00,2015-03-17 00:06:44+00:00,19.008055555555554,1446.0199268801443
23,219019002-sea-challenger_cluster-2_location-3,53.81367,0.19155556666666662,2014-10-19 09:03:00+00:00,2014-10-24 12:18:00+00:00,123.25,2115.3024699247076
24,219019002-sea-challenger_cluster-2_location-30,53.78983,0.1583333,2015-03-17 08:03:14+00:00,2015-03-18 05:07:56+00:00,21.078333333333333,2082.29105357778
25,219019002-sea-challenger_cluster-2_location-31,53.782830000000004,0.169,2015-03-18 15:00:26+00:00,2015-03-19 10:06:12+00:00,19.09611111111111,2909.0857820927295
26,219019002-sea-challenger_cluster-2_location-32,53.77517,0.15281478888888889,2015-03-23 13:14:23+00:00,2015-03-24 15:10:34+00:00,25.93638888888889,3741.9471439722856
27,219019002-sea-challenger_cluster-2_location-33,53.77030714285714,0.14152381428571426,2015-03-24 19:14:03+00:00,2015-03-25 17:14:34+00:00,22.00861111111111,4428.002970824792
28,219019002-sea-challenger_cluster-2_location-34,53.787819999999996,0.1803333,2015-03-25 22:22:03+00:00,2015-03-27 20:09:05+00:00,45.78388888888889,2642.41582664446
29,219019002-sea-challenger_cluster-2_location-4,53.7995,0.20851667000000002,2014-10-24 18:21:00+00:00,2014-10-29 19:09:00+00:00,120.8,3305.6508841987984
30,219019002-sea-challenger_cluster-2_location-5,53.81433,0.16916669999999998,2014-10-30 02:18:00+00:00,2014-10-31 18:08:00+00:00,39.833333333333336,859.7277373236961
31,219019002-sea-challenger_cluster-2_location-6,53.82167000000001,0.16049999999999998,2014-11-12 14:21:00+00:00,2014-11-16 04:03:00+00:00,85.7,1463.2335627541033
32,219019002-sea-challenger_cluster-2_location-7,53.828325789473695,0.15253509473684207,2014-11-16 08:16:00+00:00,2014-11-20 21:22:00+00:00,109.1,2265.1850588531097
33,219019002-sea-challenger_cluster-2_location-8,53.82083944444443,0.18283311666666668,2014-11-21 01:08:00+00:00,2014-11-22 22:16:00+00:00,45.13333333333333,2005.079274604643
34,219019002-sea-challenger_cluster-2_location-9,53.80633,0.20032023076923078,2014-11-23 16:03:00+00:00,2014-11-24 23:03:00+00:00,31.0,2622.9348730304223
