index,location_key,latitude,longitude,begin,end,duration,distance_centroid
1,219019002-sea-challenger_cluster-3_location-1,54.086830000000006,6.972499999999998,2015-08-08 15:20:11+00:00,2015-08-09 10:02:53+00:00,18.711666666666666,4311.6183761233715
3,219019002-sea-challenger_cluster-3_location-11,54.04517,7.0075,2015-09-19 05:22:06+00:00,2015-09-20 00:33:07+00:00,19.183611111111112,1241.3143819169775
5,219019002-sea-challenger_cluster-3_location-13,54.08697166666667,7.015,2015-09-23 23:19:02+00:00,2015-09-25 09:23:05+00:00,34.0675,4484.019925846238
6,219019002-sea-challenger_cluster-3_location-14,54.08149999999999,7.048167000000001,2015-09-25 14:24:41+00:00,2015-09-26 03:22:08+00:00,12.9575,5211.997618131578
9,219019002-sea-challenger_cluster-3_location-17,54.05717,7.027833,2015-09-30 09:25:00+00:00,2015-10-01 00:19:26+00:00,14.907222222222222,2620.0975570805635
11,219019002-sea-challenger_cluster-3_location-19,54.068830000000005,7.0054666,2015-10-02 05:08:04+00:00,2015-10-02 23:20:41+00:00,18.210277777777776,2384.131563426247
12,219019002-sea-challenger_cluster-3_location-2,54.09317,6.962,2015-08-09 17:07:09+00:00,2015-08-10 17:05:17+00:00,23.968888888888888,5194.020303223311
13,219019002-sea-challenger_cluster-3_location-20,54.07483,6.9951002,2015-10-03 03:12:31+00:00,2015-10-04 12:22:30+00:00,33.16638888888889,2844.8316860886625
14,219019002-sea-challenger_cluster-3_location-21,54.05117,7.017667,2015-10-09 13:47:12+00:00,2015-10-10 10:11:51+00:00,20.410833333333333,1821.4776560882772
15,219019002-sea-challenger_cluster-3_location-22,54.057170000000006,7.006666999999998,2015-10-10 16:07:30+00:00,2015-10-16 12:02:56+00:00,139.92388888888888,1391.368906514049
16,219019002-sea-challenger_cluster-3_location-23,54.063,6.995333,2015-10-17 10:13:31+00:00,2015-10-18 00:17:00+00:00,14.058055555555555,1550.0179754675007
17,219019002-sea-challenger_cluster-3_location-24,54.06883,6.984334,2015-10-18 10:03:18+00:00,2015-10-18 22:24:46+00:00,12.357777777777779,2188.1410518103608
18,219019002-sea-challenger_cluster-3_location-25,54.07483,6.973332999999999,2015-10-21 17:27:05+00:00,2015-10-23 13:28:30+00:00,44.02361111111111,3025.075082739509
20,219019002-sea-challenger_cluster-3_location-27,54.08067,7.025667,2015-10-30 02:18:38+00:00,2015-11-01 02:12:44+00:00,47.901666666666664,4184.491032801001
21,219019002-sea-challenger_cluster-3_location-28,54.09312142857142,7.004357,2015-11-01 07:59:20+00:00,2015-11-02 05:03:06+00:00,21.06277777777778,4949.047454177982
22,219019002-sea-challenger_cluster-3_location-29,54.06317000000001,7.0379999999999985,2015-11-02 10:14:53+00:00,2015-11-03 09:18:59+00:00,23.06833333333333,3490.333826620219
23,219019002-sea-challenger_cluster-3_location-3,54.08683,6.95147925,2015-08-10 20:21:38+00:00,2015-08-11 16:16:19+00:00,19.91138888888889,4856.975422191197
24,219019002-sea-challenger_cluster-3_location-30,54.069298,7.0273330000000005,2015-11-03 13:21:33+00:00,2015-11-04 05:10:05+00:00,15.80888888888889,3292.9583937968323
25,219019002-sea-challenger_cluster-3_location-31,54.07483333333334,7.015634333333334,2015-11-07 05:54:57+00:00,2015-11-11 21:39:16+00:00,111.73861111111111,3285.8129476448457
26,219019002-sea-challenger_cluster-3_location-32,54.080670000000005,7.004500000000001,2015-11-13 04:47:43+00:00,2015-11-22 22:52:06+00:00,234.07305555555556,3601.955863379832
27,219019002-sea-challenger_cluster-3_location-33,54.09317,6.983333,2015-11-29 06:07:12+00:00,2015-12-01 11:14:59+00:00,53.12972222222222,4882.979607009504
28,219019002-sea-challenger_cluster-3_location-34,54.08767,7.079833999999999,2015-12-17 12:08:08+00:00,2015-12-27 12:25:35+00:00,240.29083333333332,7245.873574088035
29,219019002-sea-challenger_cluster-3_location-35,54.09383,7.069,2016-01-06 17:43:23+00:00,2016-01-11 13:08:21+00:00,115.4161111111111,7141.310632232616
30,219019002-sea-challenger_cluster-3_location-36,54.04333,6.99029225,2016-01-13 04:23:56+00:00,2016-01-13 21:16:05+00:00,16.86916666666667,678.378873737261
31,219019002-sea-challenger_cluster-3_location-37,54.047000000000004,6.9835,2016-01-14 01:13:30+00:00,2016-01-14 19:20:14+00:00,18.112222222222222,498.6377691324052
32,219019002-sea-challenger_cluster-3_location-38,54.05583,6.9669165,2016-01-17 17:05:36+00:00,2016-01-18 08:15:06+00:00,15.158333333333333,1661.993135572096
33,219019002-sea-challenger_cluster-3_location-39,54.06067000000001,6.957166999999999,2016-01-19 07:54:16+00:00,2016-01-21 00:25:33+00:00,40.521388888888886,2476.7286885888707
34,219019002-sea-challenger_cluster-3_location-4,54.09316999999999,6.941055666666666,2015-08-18 03:09:53+00:00,2015-08-19 10:10:13+00:00,31.005555555555556,5815.898714845795
35,219019002-sea-challenger_cluster-3_location-40,54.03183000000001,7.008809285714286,2016-01-21 10:14:24+00:00,2016-01-23 05:18:56+00:00,43.07555555555555,2312.880089149866
36,219019002-sea-challenger_cluster-3_location-41,54.039329999999985,6.978987153846154,2016-01-24 12:09:43+00:00,2016-02-04 21:07:48+00:00,272.96805555555557,1330.5222658497019
37,219019002-sea-challenger_cluster-3_location-42,54.04382999999999,6.972333,2016-02-12 17:23:20+00:00,2016-02-13 07:20:37+00:00,13.954722222222221,1306.1605121723842
38,219019002-sea-challenger_cluster-3_location-43,54.04910199999999,6.965466599999999,2016-02-13 12:12:31+00:00,2016-02-16 07:15:11+00:00,67.04444444444445,1596.9454447681405
40,219019002-sea-challenger_cluster-3_location-45,54.0435,6.956167,2016-02-29 02:02:22+00:00,2016-02-29 15:26:43+00:00,13.405833333333334,2300.2117047001393
44,219019002-sea-challenger_cluster-3_location-49,53.99616999999999,7.044667,2016-03-11 13:19:37+00:00,2016-03-12 02:09:39+00:00,12.83388888888889,6917.889213169224
45,219019002-sea-challenger_cluster-3_location-5,54.05716999999999,6.985360833333334,2015-08-19 16:00:14+00:00,2015-08-20 21:12:18+00:00,29.20111111111111,911.0315881342219
46,219019002-sea-challenger_cluster-3_location-50,54.009898,7.0464332,2016-03-16 06:06:07+00:00,2016-03-16 19:21:30+00:00,13.256388888888889,5739.503949713276
47,219019002-sea-challenger_cluster-3_location-51,54.00169285714286,7.055166999999999,2016-03-17 00:25:58+00:00,2016-03-17 18:20:33+00:00,17.90972222222222,6806.94319623191
48,219019002-sea-challenger_cluster-3_location-52,53.99932999999999,7.066809285714286,2016-03-21 01:03:44+00:00,2016-03-22 04:22:34+00:00,27.31388888888889,7500.266342112597
49,219019002-sea-challenger_cluster-3_location-53,54.0265,6.958833,2016-03-23 01:15:10+00:00,2016-03-23 19:05:13+00:00,17.83416666666667,3258.944471535639
50,219019002-sea-challenger_cluster-3_location-54,54.0314975,6.9508545,2016-03-24 02:19:35+00:00,2016-03-24 21:04:28+00:00,18.748055555555556,3237.6196974902437
52,219019002-sea-challenger_cluster-3_location-56,54.021,6.942333,2016-04-01 10:20:52+00:00,2016-04-02 08:18:37+00:00,21.9625,4432.812346592255
54,219019002-sea-challenger_cluster-3_location-58,54.0215,6.967062625,2016-04-03 10:04:13+00:00,2016-04-04 05:28:50+00:00,19.41027777777778,3445.533740805656
55,219019002-sea-challenger_cluster-3_location-59,54.021623636363636,6.955136636363637,2016-04-06 09:17:00+00:00,2016-04-08 05:00:24+00:00,43.723333333333336,3836.4426939321584
56,219019002-sea-challenger_cluster-3_location-6,54.063,6.97445825,2015-08-21 06:07:55+00:00,2015-08-22 01:08:30+00:00,19.009722222222223,1815.6830898476273
57,219019002-sea-challenger_cluster-3_location-60,54.01183000000001,6.950999999999999,2016-04-09 03:13:39+00:00,2016-04-09 19:05:11+00:00,15.858888888888888,4892.803608661999
59,219019002-sea-challenger_cluster-3_location-62,53.99417,6.940333,2016-04-13 08:03:21+00:00,2016-04-14 14:14:55+00:00,30.192777777777778,6945.959332104449
60,219019002-sea-challenger_cluster-3_location-63,53.98982999999999,6.965190714285714,2016-04-15 23:10:41+00:00,2016-04-16 13:07:58+00:00,13.954722222222221,6821.004834283739
61,219019002-sea-challenger_cluster-3_location-64,53.9945,6.9568330000000005,2016-04-16 20:08:15+00:00,2016-04-17 18:08:57+00:00,22.011666666666667,6478.8292535605215
62,219019002-sea-challenger_cluster-3_location-65,53.984526,6.977324200000001,2016-04-22 04:09:20+00:00,2016-04-22 19:18:53+00:00,15.159166666666666,7263.452612942379
63,219019002-sea-challenger_cluster-3_location-66,53.98444333333333,6.963499999999999,2016-04-23 11:14:06+00:00,2016-04-24 03:17:41+00:00,16.059722222222224,7429.198636482778
64,219019002-sea-challenger_cluster-3_location-67,53.982786363636365,6.951984818181817,2016-04-24 16:12:30+00:00,2016-04-25 16:07:13+00:00,23.911944444444444,7813.655648606594
66,219019002-sea-challenger_cluster-3_location-69,53.998659999999994,7.003999999999999,2016-04-30 20:12:04+00:00,2016-05-01 16:03:47+00:00,19.861944444444443,5719.437017936848
67,219019002-sea-challenger_cluster-3_location-7,54.06799999999999,6.965000000000001,2015-08-22 07:17:43+00:00,2015-08-24 01:15:56+00:00,41.97027777777778,2628.897321571019
68,219019002-sea-challenger_cluster-3_location-70,53.99005666666667,7.0153886666666665,2016-05-01 23:01:27+00:00,2016-05-02 14:04:59+00:00,15.05888888888889,6808.074137269264
69,219019002-sea-challenger_cluster-3_location-71,53.988605384615376,6.999179461538461,2016-05-02 16:03:03+00:00,2016-05-04 05:03:49+00:00,37.01277777777778,6790.04038239143
71,219019002-sea-challenger_cluster-3_location-73,53.996518888888886,6.980333,2016-05-11 21:00:58+00:00,2016-05-13 14:08:16+00:00,41.12166666666667,5916.3723711523435
72,219019002-sea-challenger_cluster-3_location-74,54.0225,6.9909666,2016-05-16 13:20:34+00:00,2016-05-17 04:15:04+00:00,14.908333333333333,2994.9192397654488
73,219019002-sea-challenger_cluster-3_location-75,54.00633,6.9635,2016-05-18 11:06:11+00:00,2016-05-19 00:09:36+00:00,13.056944444444444,5093.454776760789
