index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,245179000-aeolus_cluster-10_location-0,54.30117,5.7937085,2019-06-02 20:07:00+00:00,2019-06-03 13:18:00+00:00,17.183333333333334,947.9833542856019
2,245179000-aeolus_cluster-10_location-10,54.308170000000004,5.765999999999999,2019-06-22 09:04:57+00:00,2019-06-23 05:12:03+00:00,20.118333333333332,1833.5741533298235
3,245179000-aeolus_cluster-10_location-11,54.29883,5.761,2019-07-07 02:01:58+00:00,2019-07-09 22:10:05+00:00,68.13527777777777,2466.3185329969847
4,245179000-aeolus_cluster-10_location-12,54.298,5.778,2019-07-14 01:27:27+00:00,2019-07-16 19:23:56+00:00,65.9413888888889,1669.48907865995
6,245179000-aeolus_cluster-10_location-14,54.31483,5.796834,2019-08-05 23:25:46+00:00,2019-08-19 09:21:28+00:00,321.92833333333334,597.4218010637784
7,245179000-aeolus_cluster-10_location-15,54.32197571428571,5.798904571428572,2019-08-22 02:47:32+00:00,2019-08-23 21:50:12+00:00,43.044444444444444,1400.402936041152
8,245179000-aeolus_cluster-10_location-16,54.32568777777778,5.808185444444444,2019-08-24 00:09:16+00:00,2019-08-24 13:03:38+00:00,12.90611111111111,1998.300557066076
9,245179000-aeolus_cluster-10_location-2,54.29183,5.808667,2019-06-05 04:01:51+00:00,2019-06-05 16:06:41+00:00,12.080555555555556,2198.3506481686186
11,245179000-aeolus_cluster-10_location-4,54.303,5.807,2019-06-11 17:09:44+00:00,2019-06-12 22:15:53+00:00,29.1025,1117.7439712632565
12,245179000-aeolus_cluster-10_location-5,54.31367,5.8185,2019-06-13 19:44:09+00:00,2019-06-14 22:19:03+00:00,26.581666666666667,1640.729383095929
13,245179000-aeolus_cluster-10_location-6,54.318499999999986,5.8075,2019-06-15 03:09:07+00:00,2019-06-16 07:21:09+00:00,28.200555555555557,1307.632428589386
14,245179000-aeolus_cluster-10_location-7,54.31133,5.804667,2019-06-16 15:20:38+00:00,2019-06-17 19:07:38+00:00,27.783333333333335,706.5514470880174
15,245179000-aeolus_cluster-10_location-8,54.3115,5.7775,2019-06-20 02:13:15+00:00,2019-06-21 00:00:32+00:00,21.788055555555555,1098.235174972655
16,245179000-aeolus_cluster-10_location-9,54.315169999999995,5.768667,2019-06-21 01:23:01+00:00,2019-06-22 06:02:28+00:00,28.6575,1761.2933513365026
