index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,229080000-bold-tern_cluster-4_location-0,54.47350000000001,6.374166,2014-03-04 18:09:00+00:00,2014-03-05 18:22:00+00:00,24.216666666666665,4139.630444555346
1,229080000-bold-tern_cluster-4_location-1,54.467500000000015,6.381166000000001,2014-03-06 06:58:00+00:00,2014-03-11 12:03:00+00:00,125.08333333333333,4852.861312711693
2,229080000-bold-tern_cluster-4_location-10,54.51617,6.407,2014-04-10 13:22:00+00:00,2014-04-11 04:18:00+00:00,14.933333333333334,2476.6829289117236
4,229080000-bold-tern_cluster-4_location-12,54.53517000000001,6.411333902439024,2014-04-19 11:24:00+00:00,2014-04-22 21:21:00+00:00,81.95,3822.4968075059483
7,229080000-bold-tern_cluster-4_location-15,54.51017,6.362499999999999,2014-04-25 00:06:00+00:00,2014-04-27 00:22:00+00:00,48.266666666666666,476.20385587755067
8,229080000-bold-tern_cluster-4_location-16,54.49283,6.342,2014-04-30 19:17:00+00:00,2014-05-02 06:29:00+00:00,35.2,2674.461907083893
10,229080000-bold-tern_cluster-4_location-18,54.479186000000006,6.35,2014-05-03 13:00:00+00:00,2014-05-04 05:11:00+00:00,16.183333333333334,3724.9847333251155
11,229080000-bold-tern_cluster-4_location-19,54.52283,6.3345,2014-05-04 15:33:00+00:00,2014-05-05 06:19:00+00:00,14.766666666666667,2652.703007708701
13,229080000-bold-tern_cluster-4_location-20,54.52267,6.319833,2014-05-08 05:02:00+00:00,2014-05-08 20:04:00+00:00,15.033333333333333,3493.2680989309706
14,229080000-bold-tern_cluster-4_location-21,54.52877666666666,6.32,2014-05-09 23:16:00+00:00,2014-05-12 11:54:00+00:00,60.63333333333333,3795.938750922218
15,229080000-bold-tern_cluster-4_location-22,54.53432999999999,6.319833,2014-05-13 14:26:00+00:00,2014-05-15 14:00:00+00:00,47.56666666666667,4165.174855830758
16,229080000-bold-tern_cluster-4_location-23,54.541684545454544,6.317332454545454,2014-05-15 18:11:00+00:00,2014-05-16 12:39:00+00:00,18.466666666666665,4836.3936510529165
17,229080000-bold-tern_cluster-4_location-24,54.54067,6.333833000000001,2014-07-09 19:50:00+00:00,2014-07-12 08:19:00+00:00,60.483333333333334,4067.44425544633
18,229080000-bold-tern_cluster-4_location-25,54.52833,6.381166,2014-07-12 13:14:00+00:00,2014-07-13 09:17:00+00:00,20.05,2098.3176543517443
20,229080000-bold-tern_cluster-4_location-27,54.47314875000001,6.388667,2014-07-17 08:06:00+00:00,2014-07-17 20:14:00+00:00,12.133333333333333,4343.0553099339
21,229080000-bold-tern_cluster-4_location-28,54.49785428571429,6.387999999999999,2014-07-26 21:18:00+00:00,2014-07-27 19:19:00+00:00,22.016666666666666,1843.4550475432993
23,229080000-bold-tern_cluster-4_location-3,54.46749999999999,6.393833,2014-03-13 11:10:00+00:00,2014-03-14 11:03:00+00:00,23.883333333333333,5041.578003504276
24,229080000-bold-tern_cluster-4_location-30,54.49267,6.355332999999999,2014-07-30 16:29:00+00:00,2014-08-01 07:04:00+00:00,38.583333333333336,2206.9347949671474
25,229080000-bold-tern_cluster-4_location-4,54.516202,6.334333,2014-03-23 10:01:00+00:00,2014-03-24 10:22:00+00:00,24.35,2373.3343431689523
28,229080000-bold-tern_cluster-4_location-7,54.50387857142857,6.3199520714285695,2014-03-30 11:10:00+00:00,2014-03-31 15:12:00+00:00,28.033333333333335,3306.897229752651
29,229080000-bold-tern_cluster-4_location-8,54.50383,6.403308857142859,2014-04-03 20:06:00+00:00,2014-04-05 14:19:00+00:00,42.21666666666667,2290.2293952470486
30,229080000-bold-tern_cluster-4_location-9,54.510036428571425,6.405167000000001,2014-04-05 20:02:00+00:00,2014-04-09 19:43:00+00:00,95.68333333333334,2282.0777809825745
