index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,229080000-bold-tern_cluster-1_location-0,53.68867,6.491332999999999,2013-05-01 18:12:00+00:00,2013-05-04 19:17:00+00:00,73.08333333333333,982.569242151843
1,229080000-bold-tern_cluster-1_location-1,53.69617,6.505667,2013-05-05 15:12:00+00:00,2013-05-06 11:22:00+00:00,20.166666666666668,1849.576024543498
2,229080000-bold-tern_cluster-1_location-10,53.699169999999995,6.487179769230769,2013-05-30 02:03:00+00:00,2013-06-04 16:11:00+00:00,134.13333333333333,923.5258222694196
3,229080000-bold-tern_cluster-1_location-11,53.698,6.479,2013-06-05 13:06:00+00:00,2013-06-07 12:25:00+00:00,47.31666666666667,579.4621542802087
6,229080000-bold-tern_cluster-1_location-14,53.69367,6.478200200000001,2013-06-11 07:09:00+00:00,2013-06-12 07:15:00+00:00,24.1,95.34478929056195
7,229080000-bold-tern_cluster-1_location-15,53.69232999999999,6.438334,2013-06-18 20:32:00+00:00,2013-06-19 20:17:00+00:00,23.75,2622.1936643673444
8,229080000-bold-tern_cluster-1_location-16,53.68715866666668,6.440355266666666,2013-06-20 14:05:00+00:00,2013-06-24 09:03:00+00:00,90.96666666666667,2566.9070290731747
9,229080000-bold-tern_cluster-1_location-17,53.68184,6.4425,2013-06-25 11:19:00+00:00,2013-06-28 10:20:00+00:00,71.01666666666667,2645.7869634198
10,229080000-bold-tern_cluster-1_location-18,53.6829575,6.450667,2013-06-29 04:22:00+00:00,2013-06-30 07:18:00+00:00,26.933333333333334,2115.7648062673406
11,229080000-bold-tern_cluster-1_location-19,53.68633,6.475020875,2013-07-02 21:02:00+00:00,2013-07-04 08:03:00+00:00,35.016666666666666,749.783430329879
12,229080000-bold-tern_cluster-1_location-2,53.70167,6.503604375,2013-05-06 23:20:00+00:00,2013-05-08 08:19:00+00:00,32.983333333333334,1943.6052306502495
13,229080000-bold-tern_cluster-1_location-20,53.69033,6.496333,2013-07-04 20:21:00+00:00,2013-07-06 01:22:00+00:00,29.016666666666666,1228.5001425324049
15,229080000-bold-tern_cluster-1_location-22,53.6935,6.4465,2013-07-15 05:18:00+00:00,2013-07-16 09:02:00+00:00,27.733333333333334,2085.3600809634077
17,229080000-bold-tern_cluster-1_location-3,53.70333,6.508667000000001,2013-05-08 23:23:00+00:00,2013-05-10 13:23:00+00:00,38.0,2324.4559506659584
18,229080000-bold-tern_cluster-1_location-4,53.6975,6.513834,2013-05-11 06:12:00+00:00,2013-05-11 23:12:00+00:00,17.0,2406.2921105255373
19,229080000-bold-tern_cluster-1_location-5,53.69333,6.514667,2013-05-12 09:04:00+00:00,2013-05-13 15:05:00+00:00,30.016666666666666,2404.823326091952
20,229080000-bold-tern_cluster-1_location-6,53.68983,6.4995,2013-05-15 02:03:00+00:00,2013-05-15 18:17:00+00:00,16.233333333333334,1444.209589136015
21,229080000-bold-tern_cluster-1_location-7,53.6875,6.483167,2013-05-16 08:14:00+00:00,2013-05-17 14:12:00+00:00,29.966666666666665,676.8002955380867
22,229080000-bold-tern_cluster-1_location-8,53.69400000000001,6.489333000000001,2013-05-25 12:02:00+00:00,2013-05-27 16:22:00+00:00,52.333333333333336,747.8837008855671
23,229080000-bold-tern_cluster-1_location-9,53.69517,6.4975,2013-05-28 00:04:00+00:00,2013-05-28 17:05:00+00:00,17.016666666666666,1300.5184570258477
