index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,253366000-vole-au-vent_cluster-3_location-0,51.66905609756098,2.8565987560975614,2016-12-09 09:14:36+00:00,2016-12-12 01:06:16+00:00,63.861111111111114,4065.7964727855942
1,253366000-vole-au-vent_cluster-3_location-1,51.67802833333334,2.8576331666666652,2016-12-12 04:02:16+00:00,2016-12-14 05:07:12+00:00,49.08222222222222,3713.8030461685967
2,253366000-vole-au-vent_cluster-3_location-10,51.647963999999995,2.8159260266666664,2017-01-22 04:11:42+00:00,2017-01-25 19:06:33+00:00,86.91416666666667,4515.070297647355
5,253366000-vole-au-vent_cluster-3_location-13,51.623076530612245,2.800581673469387,2017-02-09 22:09:43+00:00,2017-02-12 11:15:16+00:00,61.0925,7243.914311272561
6,253366000-vole-au-vent_cluster-3_location-14,51.67680310344827,2.8326695862068965,2017-02-12 16:03:58+00:00,2017-02-14 21:02:38+00:00,52.977777777777774,2212.2316629465413
7,253366000-vole-au-vent_cluster-3_location-15,51.666267826086944,2.833252913043478,2017-02-15 01:14:57+00:00,2017-02-16 12:03:37+00:00,34.81111111111111,3060.230424931566
8,253366000-vole-au-vent_cluster-3_location-16,51.65870681818182,2.835799272727272,2017-02-16 16:09:07+00:00,2017-02-17 20:14:34+00:00,28.090833333333332,3852.697902876629
9,253366000-vole-au-vent_cluster-3_location-17,51.653481250000006,2.830905583333333,2017-02-17 23:17:08+00:00,2017-02-19 03:11:08+00:00,27.9,4209.894619344241
10,253366000-vole-au-vent_cluster-3_location-18,51.64859534883723,2.8271035348837215,2017-02-19 05:08:07+00:00,2017-02-24 14:17:28+00:00,129.15583333333333,4624.168129620445
12,253366000-vole-au-vent_cluster-3_location-2,51.67358676470588,2.8638941470588235,2016-12-14 07:15:24+00:00,2016-12-16 03:16:43+00:00,44.02194444444444,4288.270627344027
13,253366000-vole-au-vent_cluster-3_location-20,51.63678196428572,2.819205053571428,2017-03-08 20:21:51+00:00,2017-04-02 12:10:10+00:00,591.8052777777777,5778.3621082164245
14,253366000-vole-au-vent_cluster-3_location-21,51.6816275,2.8356168125000005,2017-03-13 09:11:21+00:00,2017-03-14 00:02:02+00:00,14.844722222222222,2147.3056793221863
15,253366000-vole-au-vent_cluster-3_location-22,51.667959374999995,2.8403084375,2017-03-14 02:14:51+00:00,2017-03-14 22:17:10+00:00,20.038611111111113,3245.252856444073
16,253366000-vole-au-vent_cluster-3_location-23,51.6640025,2.8472553124999997,2017-03-15 01:00:01+00:00,2017-03-15 16:10:09+00:00,15.168888888888889,3895.6305684624595
17,253366000-vole-au-vent_cluster-3_location-24,51.660873888888894,2.853761277777777,2017-03-15 19:14:29+00:00,2017-03-16 12:17:11+00:00,17.045,4460.930751339964
18,253366000-vole-au-vent_cluster-3_location-25,51.656615,2.8488946874999996,2017-03-21 18:21:21+00:00,2017-03-22 16:05:22+00:00,21.73361111111111,4572.8102313565405
19,253366000-vole-au-vent_cluster-3_location-26,51.6507495945946,2.8408343783783785,2017-03-22 19:04:32+00:00,2017-03-27 07:16:11+00:00,108.19416666666666,4790.601910649224
20,253366000-vole-au-vent_cluster-3_location-27,51.64565000000001,2.8346332857142857,2017-03-27 09:19:41+00:00,2017-03-28 10:01:01+00:00,24.68888888888889,5111.788358045484
23,253366000-vole-au-vent_cluster-3_location-3,51.67584068965517,2.8453407758620695,2016-12-16 05:14:33+00:00,2016-12-18 23:19:54+00:00,66.08916666666667,3019.3208721966635
28,253366000-vole-au-vent_cluster-3_location-34,51.68502032786885,2.741015229508197,2019-08-09 00:10:05+00:00,2019-08-12 23:14:35+00:00,95.075,4512.786978098773
33,253366000-vole-au-vent_cluster-3_location-39,51.700529473684206,2.7469649473684203,2019-09-19 18:18:34+00:00,2019-09-20 23:03:06+00:00,28.74222222222222,4315.03655146488
34,253366000-vole-au-vent_cluster-3_location-4,51.68456684210527,2.848608894736842,2016-12-19 01:12:02+00:00,2016-12-19 23:08:23+00:00,21.939166666666665,2944.3529163326593
45,253366000-vole-au-vent_cluster-3_location-5,51.66984375,2.8284290624999997,2016-12-29 15:16:13+00:00,2016-12-30 13:03:53+00:00,21.794444444444444,2542.3895761786803
49,253366000-vole-au-vent_cluster-3_location-53,51.761925409836074,2.9328426229508193,2021-09-02 22:08:20+00:00,2021-09-06 10:07:50+00:00,83.99166666666666,11971.888555606743
50,253366000-vole-au-vent_cluster-3_location-54,51.744215686274515,2.8397065490196076,2021-09-06 14:04:21+00:00,2021-09-09 05:19:49+00:00,63.257777777777775,6648.27014901142
51,253366000-vole-au-vent_cluster-3_location-55,51.761412688172044,2.909827387096776,2021-09-09 09:09:19+00:00,2021-09-14 01:10:48+00:00,112.02472222222222,10829.128969045614
52,253366000-vole-au-vent_cluster-3_location-56,51.769036060606055,2.9051001212121212,2021-09-16 16:07:33+00:00,2021-09-18 08:15:15+00:00,40.12833333333333,11280.874014438794
53,253366000-vole-au-vent_cluster-3_location-57,51.65587909090909,2.9925576969696968,2021-09-18 14:20:52+00:00,2021-09-20 04:18:14+00:00,37.95611111111111,13336.210042953306
54,253366000-vole-au-vent_cluster-3_location-58,51.651128823529405,3.017546558823529,2021-09-20 06:08:32+00:00,2021-09-21 21:11:06+00:00,39.04277777777778,15138.782976242259
55,253366000-vole-au-vent_cluster-3_location-59,51.75527115384617,2.8327724615384615,2021-09-22 02:03:02+00:00,2021-09-23 13:13:29+00:00,35.174166666666665,7685.862210037187
56,253366000-vole-au-vent_cluster-3_location-6,51.66381873684212,2.824014147368421,2016-12-30 17:15:13+00:00,2017-01-06 18:13:01+00:00,168.96333333333334,2966.461501504419
57,253366000-vole-au-vent_cluster-3_location-60,51.773399743589756,2.9246387948717953,2021-09-23 16:02:14+00:00,2021-09-25 14:21:10+00:00,46.315555555555555,12503.807994191946
