index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,245924000-adventure_cluster-4_location-0,54.636669999999995,-1.092167,2013-01-05 13:08:00+00:00,2013-01-23 22:17:00+00:00,441.15,823.0702246497308
2,245924000-adventure_cluster-4_location-10,54.64414571428573,-1.0745000000000002,2013-03-01 08:04:00+00:00,2013-03-02 13:08:00+00:00,29.066666666666666,1194.6902964794378
3,245924000-adventure_cluster-4_location-11,54.646,-1.078667,2013-03-06 11:20:00+00:00,2013-03-16 04:18:00+00:00,232.96666666666667,951.4467400206738
4,245924000-adventure_cluster-4_location-12,54.64599346153845,-1.0839935769230769,2013-03-16 12:22:00+00:00,2013-03-21 01:02:00+00:00,108.66666666666667,622.3555988420262
5,245924000-adventure_cluster-4_location-13,54.643,-1.0859999999999999,2013-03-29 05:21:00+00:00,2013-04-07 06:17:00+00:00,216.93333333333334,469.55637298304896
6,245924000-adventure_cluster-4_location-14,54.64283,-1.0913328928571426,2013-03-31 13:21:00+00:00,2013-04-06 09:06:00+00:00,139.75,175.9576291956059
7,245924000-adventure_cluster-4_location-15,54.64999999999999,-1.0886670000000005,2013-04-10 20:09:00+00:00,2013-04-25 13:14:00+00:00,353.0833333333333,719.2456052456968
8,245924000-adventure_cluster-4_location-16,54.64983,-1.093333,2013-04-20 13:20:00+00:00,2013-04-21 13:10:00+00:00,23.833333333333332,642.5242738375779
9,245924000-adventure_cluster-4_location-17,54.65233,-1.098407222222222,2013-04-23 15:06:00+00:00,2013-04-25 01:13:00+00:00,34.11666666666667,982.3324439469862
10,245924000-adventure_cluster-4_location-18,54.6535,-1.1015,2013-04-26 15:16:00+00:00,2013-04-30 16:01:00+00:00,96.75,1182.2340494230323
11,245924000-adventure_cluster-4_location-19,54.647000000000006,-1.1093785454545453,2013-05-04 10:29:00+00:00,2013-05-06 13:02:00+00:00,50.55,1099.466840961066
12,245924000-adventure_cluster-4_location-2,54.64167,-1.1028997999999999,2013-01-11 19:11:00+00:00,2013-01-13 15:06:00+00:00,43.916666666666664,685.9890688220164
13,245924000-adventure_cluster-4_location-20,54.64731763157895,-1.1155747105263156,2013-05-07 03:12:00+00:00,2013-05-15 11:03:00+00:00,199.85,1492.9701515317538
14,245924000-adventure_cluster-4_location-21,54.64971,-1.1210208750000001,2013-05-20 02:04:00+00:00,2013-05-21 11:15:00+00:00,33.18333333333333,1905.3448569374793
15,245924000-adventure_cluster-4_location-22,54.64650928571429,-1.0939969999999999,2013-05-21 19:06:00+00:00,2013-05-24 17:15:00+00:00,70.15,279.53232095587174
16,245924000-adventure_cluster-4_location-23,54.646524285714285,-1.0991669999999998,2013-05-26 03:02:00+00:00,2013-05-27 03:12:00+00:00,24.166666666666668,479.08944036511843
17,245924000-adventure_cluster-4_location-24,54.65033,-1.10225,2013-05-27 06:04:00+00:00,2013-05-28 12:08:00+00:00,30.066666666666666,914.4100400630033
18,245924000-adventure_cluster-4_location-25,54.65031,-1.10862525,2013-05-31 11:14:00+00:00,2013-06-01 13:19:00+00:00,26.083333333333332,1219.009357349238
19,245924000-adventure_cluster-4_location-26,54.65332999999999,-1.1138329999999999,2013-06-01 18:10:00+00:00,2013-06-02 09:22:00+00:00,15.2,1687.8700202193888
20,245924000-adventure_cluster-4_location-3,54.64350000000001,-1.1071670000000002,2013-01-14 03:17:00+00:00,2013-01-15 11:13:00+00:00,31.933333333333334,909.3543890319235
21,245924000-adventure_cluster-4_location-4,54.63983111111112,-1.0931729166666668,2013-01-17 11:00:00+00:00,2013-01-22 18:10:00+00:00,127.16666666666667,469.5811487676189
22,245924000-adventure_cluster-4_location-5,54.639195,-1.0776797222222219,2013-02-09 14:12:00+00:00,2013-02-12 13:24:00+00:00,71.2,1127.92191015441
23,245924000-adventure_cluster-4_location-6,54.63467,-1.084667,2013-02-19 03:17:00+00:00,2013-02-19 21:05:00+00:00,17.8,1175.1174622483234
24,245924000-adventure_cluster-4_location-7,54.640368,-1.0810673999999998,2013-02-20 03:04:00+00:00,2013-02-21 05:23:00+00:00,26.316666666666666,874.1402738472201
25,245924000-adventure_cluster-4_location-8,54.6403494117647,-1.066167,2013-02-23 01:16:00+00:00,2013-02-26 16:16:00+00:00,87.0,1779.2356421521783
