index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,215644000-blue-tern_cluster-6_location-0,58.16550452380952,-2.630748658730159,2021-05-01 18:16:08+00:00,2021-05-07 14:17:12+00:00,140.01777777777778,4318.55525008928
1,215644000-blue-tern_cluster-6_location-1,58.15548977272727,-2.6333717500000002,2021-05-07 18:10:04+00:00,2021-05-09 13:13:14+00:00,43.05277777777778,4128.626284443691
2,215644000-blue-tern_cluster-6_location-10,58.22691875,-2.6853258333333336,2021-05-26 08:16:27+00:00,2021-05-28 09:13:37+00:00,48.952777777777776,7604.207546772955
3,215644000-blue-tern_cluster-6_location-11,58.23704071428572,-2.685272357142857,2021-05-28 11:03:48+00:00,2021-05-29 15:03:10+00:00,27.989444444444445,8720.523610148834
4,215644000-blue-tern_cluster-6_location-12,58.247239056603775,-2.68505620754717,2021-05-31 22:02:22+00:00,2021-06-03 03:01:28+00:00,52.985,9848.414357242902
5,215644000-blue-tern_cluster-6_location-13,58.24579666666667,-2.65750203030303,2021-06-03 06:03:58+00:00,2021-06-04 15:01:38+00:00,32.96111111111111,9997.63004205589
6,215644000-blue-tern_cluster-6_location-14,58.23670083333334,-2.6324314166666665,2021-06-04 17:15:38+00:00,2021-06-05 16:03:44+00:00,22.801666666666666,9568.64879738579
7,215644000-blue-tern_cluster-6_location-15,58.236791153846156,-2.600913115384616,2021-06-05 18:21:13+00:00,2021-06-06 19:00:06+00:00,24.648055555555555,10512.070369057064
8,215644000-blue-tern_cluster-6_location-16,58.22506821428572,-2.6052391071428573,2021-06-08 23:13:20+00:00,2021-06-10 03:00:19+00:00,27.783055555555556,9313.429285256645
9,215644000-blue-tern_cluster-6_location-17,58.22645478260869,-2.632688,2021-06-10 05:12:08+00:00,2021-06-11 03:19:58+00:00,22.130555555555556,8549.880270847065
10,215644000-blue-tern_cluster-6_location-18,58.20620658536587,-2.6328544878048783,2021-06-11 07:06:39+00:00,2021-06-13 00:07:59+00:00,41.022222222222226,6665.053382872017
11,215644000-blue-tern_cluster-6_location-19,58.19608258620689,-2.6329366034482757,2021-06-13 02:04:36+00:00,2021-06-15 12:04:58+00:00,58.00611111111111,5821.236216476465
12,215644000-blue-tern_cluster-6_location-2,58.14541333333333,-2.6334781515151517,2021-05-09 16:09:21+00:00,2021-05-11 02:15:36+00:00,34.104166666666664,4379.353206106092
13,215644000-blue-tern_cluster-6_location-20,58.185916666666664,-2.63300925,2021-06-18 07:03:56+00:00,2021-06-19 06:16:06+00:00,23.20277777777778,5085.4823080723745
14,215644000-blue-tern_cluster-6_location-21,58.195595000000004,-2.5803238235294117,2021-06-19 10:20:55+00:00,2021-06-20 20:10:24+00:00,33.82472222222222,8273.385650037757
15,215644000-blue-tern_cluster-6_location-22,58.1854514876033,-2.580453966942149,2021-06-20 23:01:13+00:00,2021-06-26 04:00:15+00:00,124.98388888888888,7777.945182206079
16,215644000-blue-tern_cluster-6_location-23,58.1754027586207,-2.580274586206897,2021-06-26 06:12:24+00:00,2021-06-27 13:11:03+00:00,30.9775,7442.306565719872
17,215644000-blue-tern_cluster-6_location-24,58.15386304347827,-2.579526913043478,2021-06-29 20:19:01+00:00,2021-06-30 18:10:17+00:00,21.854444444444443,7291.140015076254
18,215644000-blue-tern_cluster-6_location-25,58.15530782608696,-2.607041782608696,2021-06-30 22:08:23+00:00,2021-07-01 21:04:32+00:00,22.935833333333335,5669.176242230022
19,215644000-blue-tern_cluster-6_location-26,58.16545086956521,-2.606926260869565,2021-07-01 22:22:12+00:00,2021-07-02 21:12:23+00:00,22.836388888888887,5701.153878991578
20,215644000-blue-tern_cluster-6_location-27,58.17542629629629,-2.6043313333333336,2021-07-02 23:00:33+00:00,2021-07-04 01:07:03+00:00,26.108333333333334,6083.751438154457
21,215644000-blue-tern_cluster-6_location-28,58.166169696969696,-2.685799212121212,2021-07-06 11:16:18+00:00,2021-07-07 22:00:12+00:00,34.73166666666667,1290.7845779395432
22,215644000-blue-tern_cluster-6_location-29,58.15594260869564,-2.68594247826087,2021-07-08 02:14:01+00:00,2021-07-09 00:02:04+00:00,21.800833333333333,1086.0331976019754
23,215644000-blue-tern_cluster-6_location-3,58.17643,-2.7121110799999997,2021-05-11 05:18:05+00:00,2021-05-12 06:09:14+00:00,24.8525,1983.0106621333882
24,215644000-blue-tern_cluster-6_location-30,58.14580227272727,-2.6860803636363637,2021-07-09 02:06:11+00:00,2021-07-09 23:07:53+00:00,21.028333333333332,1803.1098983448585
25,215644000-blue-tern_cluster-6_location-31,58.13568545454545,-2.6861701818181816,2021-07-10 01:06:52+00:00,2021-07-10 22:13:01+00:00,21.1025,2803.1837214323164
26,215644000-blue-tern_cluster-6_location-32,58.125559999999986,-2.686201657894737,2021-07-12 23:00:21+00:00,2021-07-14 12:06:32+00:00,37.10305555555556,3874.220741248075
27,215644000-blue-tern_cluster-6_location-33,58.11427193548388,-2.685218935483871,2021-07-14 14:07:02+00:00,2021-07-15 20:10:22+00:00,30.055555555555557,5108.336620038761
28,215644000-blue-tern_cluster-6_location-34,58.1156040625,-2.7126403593750004,2021-07-15 23:02:41+00:00,2021-07-18 16:00:12+00:00,64.95861111111111,4877.818936160881
29,215644000-blue-tern_cluster-6_location-35,58.10569,-2.7364773599999994,2021-07-18 19:07:28+00:00,2021-07-19 19:06:46+00:00,23.988333333333333,6258.872825417853
30,215644000-blue-tern_cluster-6_location-36,58.12576923076922,-2.712526307692307,2021-07-22 05:15:45+00:00,2021-07-23 06:15:25+00:00,24.994444444444444,3755.65131471717
31,215644000-blue-tern_cluster-6_location-37,58.13585173913042,-2.7124582173913043,2021-07-23 08:13:56+00:00,2021-07-24 06:10:35+00:00,21.944166666666668,2650.007992423346
32,215644000-blue-tern_cluster-6_location-38,58.14603272727274,-2.712361909090909,2021-07-24 08:18:45+00:00,2021-07-25 06:09:45+00:00,21.85,1555.672642309585
33,215644000-blue-tern_cluster-6_location-39,58.156079999999996,-2.709754521739131,2021-07-25 07:17:45+00:00,2021-07-26 06:12:56+00:00,22.919722222222223,509.3504397128283
34,215644000-blue-tern_cluster-6_location-4,58.134075714285714,-2.6323406857142855,2021-05-15 03:03:33+00:00,2021-05-16 13:02:26+00:00,33.98138888888889,5019.02725516304
35,215644000-blue-tern_cluster-6_location-40,58.1450695,-2.73751705,2021-07-29 04:08:46+00:00,2021-07-30 01:11:16+00:00,21.041666666666668,2544.9095012690887
36,215644000-blue-tern_cluster-6_location-41,58.116016521739134,-2.765126217391304,2021-07-30 03:17:35+00:00,2021-07-31 02:03:05+00:00,22.758333333333333,6015.432924629784
37,215644000-blue-tern_cluster-6_location-42,58.10474875,-2.7639515833333337,2021-07-31 03:18:24+00:00,2021-08-01 02:14:24+00:00,22.933333333333334,7021.152031216537
38,215644000-blue-tern_cluster-6_location-43,58.10492222222222,-2.7903522222222223,2021-08-01 08:07:46+00:00,2021-08-02 01:08:16+00:00,17.008333333333333,7904.772035802247
39,215644000-blue-tern_cluster-6_location-44,58.10632777777777,-2.8176527037037036,2021-08-04 15:22:21+00:00,2021-08-05 18:01:30+00:00,26.6525,8919.30106812907
40,215644000-blue-tern_cluster-6_location-45,58.084848313253026,-2.8165297710843378,2021-08-06 05:02:50+00:00,2021-08-09 19:10:48+00:00,86.13277777777778,10606.037281756453
41,215644000-blue-tern_cluster-6_location-46,58.0861311627907,-2.844127651162791,2021-08-09 22:16:10+00:00,2021-08-11 17:04:19+00:00,42.8025,11589.115187499547
42,215644000-blue-tern_cluster-6_location-47,58.07506926829268,-2.8691651951219512,2021-08-11 19:10:21+00:00,2021-08-13 16:03:51+00:00,44.891666666666666,13501.846620014081
43,215644000-blue-tern_cluster-6_location-48,58.08644684210526,-2.870179263157895,2021-08-18 05:20:28+00:00,2021-08-19 00:12:27+00:00,18.86638888888889,12702.871957047999
44,215644000-blue-tern_cluster-6_location-49,58.096308333333326,-2.844021388888889,2021-08-19 03:06:48+00:00,2021-08-19 20:16:27+00:00,17.160833333333333,10820.2047881986
45,215644000-blue-tern_cluster-6_location-5,58.13553066666666,-2.659742266666666,2021-05-16 15:18:36+00:00,2021-05-17 21:03:44+00:00,29.752222222222223,3672.6655470004516
46,215644000-blue-tern_cluster-6_location-50,58.10649894736842,-2.8439374736842105,2021-08-20 01:15:37+00:00,2021-08-20 20:08:18+00:00,18.878055555555555,10119.860455605962
47,215644000-blue-tern_cluster-6_location-51,58.11658681818181,-2.843495772727273,2021-08-20 22:20:48+00:00,2021-08-21 19:05:48+00:00,20.75,9490.887168346862
48,215644000-blue-tern_cluster-6_location-52,58.11524588235294,-2.8164339999999997,2021-08-24 03:21:53+00:00,2021-08-24 19:03:24+00:00,15.691944444444445,8240.859888915462
49,215644000-blue-tern_cluster-6_location-53,58.11509222222222,-2.7902760555555557,2021-08-24 21:09:04+00:00,2021-08-25 14:01:04+00:00,16.866666666666667,7075.386142887842
50,215644000-blue-tern_cluster-6_location-54,58.126259444444436,-2.7888219999999997,2021-08-25 16:12:35+00:00,2021-08-26 09:12:13+00:00,16.99388888888889,6209.006244809789
51,215644000-blue-tern_cluster-6_location-55,58.13667578947369,-2.817562842105263,2021-08-26 12:16:34+00:00,2021-08-27 06:12:18+00:00,17.92888888888889,7152.233836660787
52,215644000-blue-tern_cluster-6_location-56,58.17727714285714,-2.817392904761905,2021-08-29 14:03:09+00:00,2021-08-30 11:09:50+00:00,21.11138888888889,6981.293005481733
53,215644000-blue-tern_cluster-6_location-57,58.167172500000014,-2.81735775,2021-08-30 12:13:15+00:00,2021-08-31 08:10:02+00:00,19.94638888888889,6743.052506622061
54,215644000-blue-tern_cluster-6_location-58,58.15698185185186,-2.8174292962962966,2021-08-31 10:11:21+00:00,2021-09-01 15:08:01+00:00,28.944444444444443,6694.205585987808
55,215644000-blue-tern_cluster-6_location-59,58.146801666666676,-2.817530166666667,2021-09-01 16:06:21+00:00,2021-09-02 11:08:01+00:00,19.02777777777778,6836.955581184493
56,215644000-blue-tern_cluster-6_location-6,58.1241652,-2.6588767200000003,2021-05-18 00:13:24+00:00,2021-05-19 01:01:24+00:00,24.8,4690.699112029003
57,215644000-blue-tern_cluster-6_location-60,58.18734137931035,-2.817383068965517,2021-09-04 12:02:07+00:00,2021-09-05 17:18:46+00:00,29.2775,7380.356924825451
58,215644000-blue-tern_cluster-6_location-61,58.197300476190485,-2.7909647142857144,2021-09-05 22:13:35+00:00,2021-09-06 18:09:26+00:00,19.930833333333332,6656.5739930702175
59,215644000-blue-tern_cluster-6_location-62,58.18718789473685,-2.790951,2021-09-06 23:40:26+00:00,2021-09-07 17:00:17+00:00,17.330833333333334,6003.796996614804
60,215644000-blue-tern_cluster-6_location-63,58.177022083333334,-2.7910695833333334,2021-09-07 18:16:17+00:00,2021-09-08 17:09:57+00:00,22.894444444444446,5510.563662844405
61,215644000-blue-tern_cluster-6_location-64,58.166921851851846,-2.791037925925926,2021-09-10 17:08:42+00:00,2021-09-11 19:08:15+00:00,25.9925,5211.955183226694
62,215644000-blue-tern_cluster-6_location-65,58.156717619047605,-2.7912127619047618,2021-09-11 21:01:55+00:00,2021-09-12 19:10:23+00:00,22.141111111111112,5159.100556938028
63,215644000-blue-tern_cluster-6_location-66,58.146650526315796,-2.791198105263158,2021-09-12 22:07:43+00:00,2021-09-13 17:08:41+00:00,19.016111111111112,5337.2066157771515
64,215644000-blue-tern_cluster-6_location-67,58.1365061904762,-2.7913064285714286,2021-09-13 19:17:42+00:00,2021-09-14 17:09:30+00:00,21.863333333333333,5742.745221572389
65,215644000-blue-tern_cluster-6_location-7,58.176204285714284,-2.685797142857143,2021-05-19 06:19:27+00:00,2021-05-20 02:07:40+00:00,19.80361111111111,2154.2526889278947
66,215644000-blue-tern_cluster-6_location-8,58.196475106382984,-2.685615680851064,2021-05-23 03:10:02+00:00,2021-05-25 01:00:16+00:00,45.83722222222222,4274.00427048871
67,215644000-blue-tern_cluster-6_location-9,58.20658296296297,-2.6855564814814814,2021-05-25 03:17:49+00:00,2021-05-26 05:14:56+00:00,25.951944444444443,5371.649392213029
