index,location_key,latitude,longitude,begin,end,duration,distance_centroid
4,218389000-thor_cluster-2_location-12,54.3140388,5.999353,2010-10-10 16:11:17+00:00,2010-10-13 22:23:36+00:00,78.20527777777778,2885.5543320127967
23,218389000-thor_cluster-2_location-3,54.33767522727273,6.0193635,2010-07-07 19:05:50+00:00,2010-07-12 03:41:02+00:00,104.58666666666667,2031.065770236827
28,218389000-thor_cluster-2_location-34,54.32033611111111,5.960339194444444,2011-09-02 02:26:00+00:00,2011-09-03 09:50:00+00:00,31.4,2761.38380632402
30,218389000-thor_cluster-2_location-36,54.36266428571429,6.009421428571429,2011-09-09 10:49:00+00:00,2011-09-10 02:31:00+00:00,15.7,2956.1647211621002
33,218389000-thor_cluster-2_location-39,54.3981792,6.002963080000001,2011-10-22 03:35:00+00:00,2011-10-29 09:10:00+00:00,173.58333333333334,6633.549839148804
36,218389000-thor_cluster-2_location-41,54.40664578947368,5.985227315789473,2011-11-03 03:18:00+00:00,2011-11-05 19:03:00+00:00,63.75,7507.4444301998565
37,218389000-thor_cluster-2_location-42,54.36427029411765,5.996334176470589,2011-11-15 01:53:00+00:00,2011-11-17 10:16:00+00:00,56.38333333333333,2843.2255816597494
41,218389000-thor_cluster-2_location-46,54.354577500000005,5.980427375,2012-07-18 00:52:00+00:00,2012-07-21 10:40:00+00:00,81.8,1786.6069099297715
42,218389000-thor_cluster-2_location-47,54.355115769230764,5.9533583269230785,2013-04-27 08:16:00+00:00,2013-05-01 20:07:00+00:00,107.85,2869.095830856883
43,218389000-thor_cluster-2_location-48,54.344765,5.951091227272728,2013-05-02 03:07:00+00:00,2013-05-03 13:28:00+00:00,34.35,2481.0259351873583
44,218389000-thor_cluster-2_location-49,54.363671249999996,5.940690125,2013-05-04 12:28:00+00:00,2013-05-05 09:19:00+00:00,20.85,4109.4741946466565
46,218389000-thor_cluster-2_location-50,54.336716875,5.9541274375,2013-05-05 17:40:00+00:00,2013-05-06 20:01:00+00:00,26.35,2221.1701653029886
47,218389000-thor_cluster-2_location-51,54.33306888888889,5.940622833333334,2013-05-07 06:46:00+00:00,2013-05-09 05:31:00+00:00,46.75,3153.5906411821425
48,218389000-thor_cluster-2_location-52,54.34071,5.9406507500000005,2013-05-11 06:34:00+00:00,2013-05-12 09:13:00+00:00,26.65,3082.999102137073
49,218389000-thor_cluster-2_location-53,54.35601666666666,5.940674866666667,2013-05-13 08:22:00+00:00,2013-05-16 05:12:00+00:00,68.83333333333333,3602.597558864879
